step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,75.6,system,
10000,13.381,0.931,0.571,9.15,process_tree,3.83,process_tree,614.12
20000,19.991,0.97,0.669,16.357142857142858,process_tree,3.98,process_tree,639.0
30000,26.776,0.889,0.585,16.364285714285717,process_tree,4.11,process_tree,660.33
40000,33.676,0.873,0.539,11.192857142857141,process_tree,4.26,process_tree,684.04
50000,40.591,0.847,0.558,19.364285714285717,process_tree,4.4,process_tree,705.51
60000,47.428,0.871,0.517,33.721428571428575,process_tree,4.52,process_tree,726.0
70000,54.616,0.883,0.58,37.857142857142854,process_tree,4.65,process_tree,746.93
80000,61.401,0.847,0.523,10.214285714285714,process_tree,4.82,process_tree,773.39
90000,68.406,0.881,0.557,9.214285714285714,process_tree,4.95,process_tree,794.39
100000,75.146,0.875,0.542,16.25714285714286,process_tree,5.06,process_tree,811.83
110000,81.294,0.851,0.551,13.257142857142856,process_tree,5.2,process_tree,834.25
120000,86.998,0.899,0.535,24.914285714285715,process_tree,5.34,process_tree,857.61
130000,92.563,0.915,0.577,15.342857142857143,process_tree,5.47,process_tree,878.15
140000,98.113,0.891,0.563,14.278571428571428,process_tree,5.6,process_tree,898.52
150000,103.847,0.857,0.555,11.192857142857145,process_tree,5.74,process_tree,920.8
160000,109.729,0.876,0.545,19.400000000000002,process_tree,5.87,process_tree,941.84
170000,115.352,0.861,0.533,22.457142857142856,process_tree,6.01,process_tree,964.2
180000,120.823,0.876,0.597,15.357142857142858,process_tree,6.14,process_tree,985.31
190000,126.306,0.868,0.557,35.76428571428571,process_tree,6.28,process_tree,1007.72
200000,132.076,0.867,0.541,19.428571428571427,process_tree,6.41,process_tree,1029.13
210000,137.481,0.881,0.568,10.228571428571428,process_tree,6.55,process_tree,1051.49
220000,143.014,0.821,0.485,18.292857142857144,process_tree,6.69,process_tree,1073.51
230000,148.646,0.892,0.592,29.678571428571427,process_tree,6.82,process_tree,1094.73
240000,154.278,0.848,0.495,8.95,process_tree,6.96,process_tree,1116.74
250000,160.319,0.9,0.558,16.521428571428572,process_tree,7.09,process_tree,1138.15
260000,166.002,0.933,0.686,18.264285714285712,process_tree,7.23,process_tree,1160.14
270000,171.595,0.851,0.557,9.192857142857141,process_tree,7.36,process_tree,1181.51
280000,177.116,0.897,0.614,9.192857142857145,process_tree,7.5,process_tree,1203.36
290000,182.813,0.882,0.557,21.435714285714287,process_tree,7.63,process_tree,1224.55
300000,188.58,0.845,0.539,9.2,process_tree,7.77,process_tree,1247.18
310000,194.305,0.907,0.586,37.81428571428571,process_tree,7.91,process_tree,1268.86
320000,200.579,0.893,0.57,14.285714285714286,process_tree,8.04,process_tree,1290.11
330000,206.355,0.935,0.627,29.62142857142857,process_tree,8.18,process_tree,1312.23
340000,211.914,0.911,0.577,9.214285714285714,process_tree,8.31,process_tree,1333.7
350000,217.475,0.904,0.582,15.464285714285714,process_tree,8.45,process_tree,1355.47
360000,222.92,0.873,0.579,25.535714285714285,process_tree,8.58,process_tree,1377.52
370000,228.51,0.927,0.613,9.135714285714286,process_tree,8.72,process_tree,1399.15
380000,234.036,0.892,0.539,10.85,process_tree,8.85,process_tree,1420.63
390000,351.61,0.89,0.59,14.792857142857143,process_tree,5.25,process_tree,842.02
400000,357.912,1.104,0.773,28.47142857142857,process_tree,4.95,process_tree,794.65
410000,364.537,0.998,0.623,16.314285714285713,process_tree,4.86,process_tree,780.25
420000,370.965,1.023,0.654,18.32857142857143,process_tree,4.82,process_tree,773.96
430000,377.602,1.027,0.695,21.042857142857144,process_tree,4.83,process_tree,775.93
440000,383.908,1.045,0.629,30.528571428571432,process_tree,4.88,process_tree,782.98
450000,390.389,1.068,0.695,22.349999999999998,process_tree,4.92,process_tree,790.3
460000,396.791,1.001,0.658,11.257142857142856,process_tree,4.98,process_tree,798.5
470000,403.473,1.047,0.734,12.214285714285714,process_tree,5.1,process_tree,818.22
480000,409.834,1.031,0.677,12.264285714285716,process_tree,5.24,process_tree,841.01
490000,416.217,1.072,0.744,22.49285714285714,process_tree,5.35,process_tree,857.98
500000,422.338,1.019,0.691,6.085714285714286,process_tree,5.6,process_tree,899.08
510000,428.908,1.067,0.658,19.349999999999998,process_tree,5.81,process_tree,932.01
520000,435.655,1.045,0.711,18.357142857142858,process_tree,5.56,process_tree,892.36
530000,442.037,1.027,0.64,16.314285714285713,process_tree,5.69,process_tree,913.31
540000,448.277,0.994,0.699,9.192857142857141,process_tree,5.83,process_tree,935.66
550000,454.695,0.983,0.696,19.357142857142858,process_tree,5.96,process_tree,956.64
560000,461.334,1.027,0.702,27.45714285714286,process_tree,6.1,process_tree,978.84
570000,467.799,1.007,0.676,17.335714285714285,process_tree,6.23,process_tree,999.99
580000,474.155,0.999,0.611,23.42142857142857,process_tree,6.37,process_tree,1022.12
590000,480.573,1.006,0.601,8.185714285714285,process_tree,6.5,process_tree,1043.6
600000,487.502,1.015,0.681,21.478571428571428,process_tree,6.64,process_tree,1066.06
610000,493.82,1.058,0.718,10.200000000000001,process_tree,6.78,process_tree,1087.74
620000,499.94,1.076,0.693,17.400000000000002,process_tree,6.9,process_tree,1108.03
630000,506.433,0.994,0.634,17.764285714285712,process_tree,7.04,process_tree,1130.38
640000,512.861,1.013,0.692,34.75,process_tree,7.18,process_tree,1152.64
650000,519.894,1.045,0.767,54.23571428571428,process_tree,7.32,process_tree,1174.08
660000,526.356,1.034,0.655,17.335714285714285,process_tree,7.36,process_tree,1180.5
670000,532.701,0.993,0.626,9.192857142857141,process_tree,7.49,process_tree,1202.16
680000,538.83,1.089,0.752,9.214285714285714,process_tree,7.62,process_tree,1223.43
690000,545.351,0.985,0.639,10.171428571428573,process_tree,7.76,process_tree,1245.77
700000,551.891,1.049,0.688,14.314285714285713,process_tree,7.9,process_tree,1267.66
710000,558.156,1.106,0.736,26.449999999999996,process_tree,8.03,process_tree,1289.17
720000,565.055,1.01,0.687,20.557142857142853,process_tree,8.17,process_tree,1310.57
730000,571.311,1.007,0.636,17.407142857142855,process_tree,8.3,process_tree,1332.32
740000,577.427,1.043,0.678,28.607142857142858,process_tree,8.44,process_tree,1353.93
750000,583.755,1.018,0.647,12.192857142857141,process_tree,8.57,process_tree,1375.71
760000,590.038,1.049,0.691,9.214285714285714,process_tree,8.7,process_tree,1396.63
770000,596.454,0.985,0.639,34.56428571428571,process_tree,8.84,process_tree,1418.79
780000,715.129,0.985,0.629,18.27857142857143,process_tree,5.82,process_tree,934.0
790000,721.308,1.333,0.876,28.635714285714283,process_tree,5.63,process_tree,903.37
800000,727.67,1.287,0.833,18.900000000000002,process_tree,5.42,process_tree,870.23
810000,734.016,1.365,0.797,14.635714285714286,process_tree,5.44,process_tree,873.17
820000,740.102,1.305,0.776,13.299999999999999,process_tree,5.52,process_tree,885.82
830000,746.581,1.291,0.842,9.214285714285714,process_tree,5.59,process_tree,897.47
840000,752.692,1.203,0.762,12.285714285714286,process_tree,5.64,process_tree,905.77
850000,759.004,1.295,0.824,15.235714285714284,process_tree,5.73,process_tree,920.32
860000,765.213,1.263,0.877,12.257142857142856,process_tree,5.79,process_tree,928.67
870000,771.672,1.331,0.837,15.292857142857144,process_tree,5.88,process_tree,943.88
880000,777.879,1.291,0.801,37.56428571428571,process_tree,6.01,process_tree,965.29
