step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,61.6,system,
10000,28.682,1.45,0.901,9.171428571428573,process_tree,3.75,process_tree,601.45
20000,42.747,2.415,1.529,10.207142857142857,process_tree,3.77,process_tree,605.64
30000,54.285,4.331,3.87,7.164285714285714,process_tree,3.77,process_tree,605.68
40000,67.361,5.637,4.665,8.121428571428572,process_tree,3.77,process_tree,605.85
50000,79.097,9.024,9.712,11.264285714285714,process_tree,3.78,process_tree,606.28
60000,90.463,9.52,9.426,13.299999999999999,process_tree,3.78,process_tree,606.12
70000,101.403,9.962,8.416,8.192857142857143,process_tree,3.78,process_tree,607.28
80000,112.424,7.771,5.492,10.235714285714286,process_tree,3.78,process_tree,607.45
90000,124.242,9.269,6.805,10.142857142857142,process_tree,3.78,process_tree,606.93
100000,135.67,18.261,16.74,24.150000000000002,process_tree,3.77,process_tree,605.86
110000,146.406,15.409,14.099,9.15,process_tree,3.78,process_tree,606.09
120000,157.363,15.754,11.118,13.242857142857144,process_tree,3.78,process_tree,606.02
130000,167.692,16.795,11.017,22.442857142857143,process_tree,3.78,process_tree,606.27
140000,177.782,41.759,34.379,7.164285714285714,process_tree,3.78,process_tree,606.94
150000,189.117,48.48,34.186,28.65,process_tree,3.78,process_tree,606.71
160000,201.225,27.423,26.698,20.37857142857143,process_tree,3.69,process_tree,591.97
170000,212.454,31.253,20.899,14.257142857142854,process_tree,3.69,process_tree,591.8
180000,223.479,41.318,32.716,8.114285714285714,process_tree,3.69,process_tree,592.82
190000,235.419,48.5,37.159,8.178571428571429,process_tree,3.69,process_tree,591.92
200000,246.353,50.5,32.62,21.37142857142857,process_tree,3.69,process_tree,592.23
210000,258.286,23.39,28.07,15.357142857142858,process_tree,3.69,process_tree,592.99
220000,269.312,39.911,27.111,10.142857142857142,process_tree,3.69,process_tree,592.82
230000,280.439,29.343,34.914,10.171428571428573,process_tree,3.7,process_tree,593.18
