step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,48.0,system,
10000,20.661,1.249,0.695,10.228571428571428,process_tree,3.77,process_tree,604.39
20000,28.555,1.553,0.968,17.335714285714285,process_tree,3.77,process_tree,605.79
30000,37.017,2.303,1.713,24.535714285714285,process_tree,3.78,process_tree,606.25
40000,43.971,4.249,3.431,13.271428571428572,process_tree,3.78,process_tree,606.66
50000,50.524,12.7,11.238,9.192857142857141,process_tree,3.78,process_tree,606.35
60000,57.179,36.824,26.359,7.164285714285714,process_tree,3.78,process_tree,607.29
70000,65.795,77.638,27.521,26.464285714285715,process_tree,3.78,process_tree,606.72
80000,73.339,70.979,37.825,10.235714285714286,process_tree,3.79,process_tree,608.11
90000,80.968,49.606,38.818,11.25,process_tree,3.79,process_tree,607.64
100000,88.272,100.0,0.0,10.171428571428573,process_tree,3.79,process_tree,608.01
110000,95.82,73.728,35.0,11.407142857142858,process_tree,3.79,process_tree,607.59
120000,103.617,23.074,18.301,5.357142857142857,process_tree,3.79,process_tree,607.59
130000,112.134,27.928,20.949,12.221428571428573,process_tree,3.79,process_tree,608.61
140000,119.544,79.371,29.247,9.207142857142857,process_tree,3.79,process_tree,608.12
150000,127.195,100.0,0.0,25.571428571428573,process_tree,3.79,process_tree,608.73
160000,134.854,94.511,10.342,11.242857142857144,process_tree,3.79,process_tree,607.8
170000,142.187,84.07,25.184,20.407142857142855,process_tree,3.79,process_tree,608.65
180000,149.64,100.0,0.0,17.264285714285712,process_tree,3.79,process_tree,608.17
190000,157.185,100.0,0.0,6.085714285714286,process_tree,3.79,process_tree,608.75
200000,165.909,100.0,0.0,21.485714285714288,process_tree,3.79,process_tree,608.83
210000,173.43,100.0,0.0,24.50714285714286,process_tree,3.79,process_tree,609.06
220000,180.902,100.0,0.0,13.299999999999999,process_tree,3.79,process_tree,608.68
