step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,46.4,system,
10000,17.732,1.452,0.902,8.114285714285714,process_tree,3.75,process_tree,601.85
20000,31.067,3.701,2.601,8.114285714285714,process_tree,3.77,process_tree,604.42
30000,43.411,6.75,6.045,7.164285714285714,process_tree,3.76,process_tree,603.3
40000,56.263,14.936,11.317,10.192857142857141,process_tree,3.76,process_tree,603.33
50000,67.813,48.335,35.734,7.164285714285714,process_tree,3.76,process_tree,603.34
60000,79.983,74.807,32.44,6.085714285714286,process_tree,3.76,process_tree,603.6
70000,92.581,40.3,28.63,9.2,process_tree,3.76,process_tree,603.45
80000,104.771,46.06,36.943,8.178571428571429,process_tree,3.76,process_tree,603.45
90000,116.467,45.497,35.547,9.214285714285714,process_tree,3.76,process_tree,603.39
100000,128.649,30.792,21.614,7.164285714285714,process_tree,3.76,process_tree,603.7
110000,141.495,49.287,36.266,6.0928571428571425,process_tree,3.76,process_tree,603.2
120000,153.914,59.438,43.937,12.257142857142856,process_tree,3.76,process_tree,603.47
130000,165.696,32.553,29.142,8.114285714285714,process_tree,3.76,process_tree,604.11
140000,178.201,71.119,34.751,7.164285714285714,process_tree,3.76,process_tree,603.9
150000,191.066,28.889,25.255,9.135714285714284,process_tree,3.76,process_tree,603.53
160000,202.619,32.811,20.115,7.164285714285714,process_tree,3.76,process_tree,604.18
170000,214.897,70.85,43.443,7.164285714285714,process_tree,3.77,process_tree,604.67
180000,226.821,73.245,29.535,13.278571428571428,process_tree,3.76,process_tree,603.2
190000,239.374,51.843,39.654,8.178571428571429,process_tree,3.76,process_tree,603.12
200000,251.981,77.633,32.917,16.099999999999998,process_tree,3.76,process_tree,603.28
210000,263.656,85.814,34.748,9.214285714285714,process_tree,3.77,process_tree,604.44
220000,276.314,89.35,27.663,6.25,process_tree,3.76,process_tree,604.12
230000,288.567,100.0,0.0,31.728571428571428,process_tree,3.76,process_tree,603.48
240000,301.888,75.608,42.256,17.264285714285712,process_tree,3.67,process_tree,589.21
250000,313.174,73.769,35.807,7.164285714285714,process_tree,3.67,process_tree,589.68
260000,325.558,100.0,0.0,7.164285714285714,process_tree,3.67,process_tree,589.45
270000,337.618,80.207,39.587,8.178571428571429,process_tree,3.67,process_tree,589.7
280000,349.687,99.04,2.88,34.75,process_tree,3.67,process_tree,589.7
290000,362.287,100.0,0.0,15.285714285714286,process_tree,3.67,process_tree,589.43
300000,373.544,100.0,0.0,6.142857142857143,process_tree,3.68,process_tree,590.27
310000,385.751,91.683,27.583,7.1571428571428575,process_tree,3.67,process_tree,589.41
320000,397.815,100.0,0.0,6.085714285714286,process_tree,3.67,process_tree,589.74
330000,410.265,75.106,43.117,19.514285714285712,process_tree,3.67,process_tree,589.16
340000,423.069,100.0,0.0,22.514285714285712,process_tree,3.67,process_tree,589.61
350000,434.417,81.918,38.358,7.164285714285714,process_tree,3.68,process_tree,590.02
360000,446.653,72.154,42.636,7.164285714285714,process_tree,3.68,process_tree,590.2
370000,458.77,91.717,27.473,9.192857142857141,process_tree,3.67,process_tree,589.29
380000,470.853,90.12,29.64,29.635714285714283,process_tree,3.67,process_tree,589.62
390000,482.779,80.2,39.601,7.164285714285714,process_tree,3.67,process_tree,589.26
400000,494.529,100.0,0.0,6.142857142857143,process_tree,3.67,process_tree,588.92
410000,506.989,78.567,40.126,7.1000000000000005,process_tree,3.67,process_tree,589.31
420000,518.906,96.542,11.47,10.200000000000001,process_tree,3.67,process_tree,589.16
430000,530.957,48.71,38.142,13.278571428571428,process_tree,3.67,process_tree,589.52
440000,542.502,78.657,40.869,7.1000000000000005,process_tree,3.68,process_tree,590.57
450000,555.31,53.142,49.394,7.1000000000000005,process_tree,3.68,process_tree,590.12
460000,567.856,77.023,41.95,8.114285714285714,process_tree,3.68,process_tree,590.51
470000,579.608,100.0,0.0,7.1000000000000005,process_tree,3.67,process_tree,589.57
480000,591.699,86.143,33.959,15.335714285714285,process_tree,3.67,process_tree,589.27
490000,604.492,74.469,35.075,28.635714285714283,process_tree,3.67,process_tree,589.3
500000,616.621,79.744,24.428,7.164285714285714,process_tree,3.73,process_tree,598.92
510000,629.073,84.669,35.954,7.121428571428572,process_tree,3.74,process_tree,599.64
