step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,47.3,system,
10000,12.246,1.19,0.657,7.164285714285714,process_tree,3.73,process_tree,598.78
20000,20.014,1.68,0.987,32.699999999999996,process_tree,3.74,process_tree,600.76
30000,27.586,2.713,2.019,26.599999999999998,process_tree,3.74,process_tree,600.62
40000,34.444,3.872,2.461,24.457142857142856,process_tree,3.75,process_tree,601.36
50000,40.762,5.918,4.522,16.3,process_tree,3.75,process_tree,601.25
60000,47.444,19.179,21.325,25.542857142857144,process_tree,3.76,process_tree,603.47
70000,54.132,50.495,42.003,10.228571428571428,process_tree,3.76,process_tree,604.21
80000,60.688,74.782,41.265,7.1000000000000005,process_tree,3.77,process_tree,604.82
90000,67.592,94.225,15.279,10.207142857142857,process_tree,3.77,process_tree,605.31
100000,74.777,100.0,0.0,26.55,process_tree,3.76,process_tree,604.03
110000,81.972,100.0,0.0,23.37857142857143,process_tree,3.77,process_tree,604.61
120000,88.892,100.0,0.0,12.242857142857142,process_tree,3.77,process_tree,604.61
130000,96.048,91.692,27.556,21.478571428571428,process_tree,3.77,process_tree,604.86
140000,102.365,100.0,0.0,7.1000000000000005,process_tree,3.77,process_tree,604.37
150000,109.421,100.0,0.0,9.192857142857141,process_tree,3.76,process_tree,602.86
160000,115.952,100.0,0.0,24.521428571428572,process_tree,3.76,process_tree,604.2
170000,122.886,100.0,0.0,29.614285714285717,process_tree,3.76,process_tree,604.16
180000,129.834,100.0,0.0,18.37142857142857,process_tree,3.77,process_tree,605.07
190000,136.906,91.692,27.556,10.221428571428572,process_tree,3.78,process_tree,605.95
200000,143.774,72.982,44.122,8.178571428571429,process_tree,3.77,process_tree,605.22
210000,150.589,100.0,0.0,8.121428571428572,process_tree,3.77,process_tree,605.59
220000,157.418,84.723,35.828,10.428571428571429,process_tree,3.77,process_tree,605.46
230000,164.416,90.927,28.69,34.74285714285714,process_tree,3.77,process_tree,605.61
240000,171.005,100.0,0.0,18.335714285714285,process_tree,3.78,process_tree,605.93
250000,177.669,100.0,0.0,27.564285714285717,process_tree,3.77,process_tree,605.75
260000,184.609,100.0,0.0,22.714285714285715,process_tree,3.77,process_tree,605.61
270000,190.918,80.38,39.241,7.164285714285714,process_tree,3.77,process_tree,605.61
280000,197.691,100.0,0.0,9.15,process_tree,3.77,process_tree,605.43
290000,205.023,100.0,0.0,30.657142857142855,process_tree,3.77,process_tree,605.42
300000,211.819,100.0,0.0,45.0,process_tree,3.77,process_tree,605.43
310000,218.611,84.846,35.542,18.264285714285712,process_tree,3.78,process_tree,605.93
320000,225.492,88.911,31.364,30.707142857142856,process_tree,3.77,process_tree,605.27
330000,231.92,100.0,0.0,7.164285714285714,process_tree,3.78,process_tree,605.99
340000,238.98,100.0,0.0,6.085714285714286,process_tree,3.77,process_tree,605.49
350000,246.119,84.708,35.864,21.478571428571428,process_tree,3.76,process_tree,603.88
360000,253.063,85.743,34.923,35.57142857142857,process_tree,3.78,process_tree,606.11
370000,259.777,91.717,27.473,8.135714285714286,process_tree,3.78,process_tree,606.09
380000,266.79,100.0,0.0,9.192857142857141,process_tree,3.78,process_tree,606.09
390000,273.785,88.944,31.27,14.271428571428572,process_tree,3.78,process_tree,606.0
400000,280.163,100.0,0.0,7.107142857142857,process_tree,3.77,process_tree,605.82
410000,287.151,91.683,27.583,6.085714285714286,process_tree,3.77,process_tree,605.45
420000,293.93,100.0,0.0,8.178571428571429,process_tree,3.77,process_tree,605.51
430000,300.814,91.683,27.583,13.264285714285714,process_tree,3.77,process_tree,604.92
440000,307.3,100.0,0.0,20.435714285714287,process_tree,3.78,process_tree,606.1
450000,314.084,100.0,0.0,34.8,process_tree,3.78,process_tree,606.0
460000,320.974,100.0,0.0,10.171428571428573,process_tree,3.77,process_tree,604.89
470000,327.688,91.683,27.583,5.071428571428571,process_tree,3.78,process_tree,606.22
480000,334.513,100.0,0.0,6.142857142857143,process_tree,3.78,process_tree,606.56
490000,341.563,91.692,27.556,19.357142857142858,process_tree,3.78,process_tree,606.63
500000,348.595,100.0,0.0,30.692857142857143,process_tree,3.83,process_tree,614.77
510000,355.784,100.0,0.0,16.32857142857143,process_tree,3.84,process_tree,615.66
520000,362.588,100.0,0.0,22.521428571428572,process_tree,3.85,process_tree,617.15
530000,369.542,78.65,40.882,39.90714285714286,process_tree,3.85,process_tree,617.96
540000,375.932,100.0,0.0,7.164285714285714,process_tree,3.84,process_tree,616.12
550000,383.006,91.683,27.583,7.164285714285714,process_tree,3.85,process_tree,617.35
560000,390.099,75.288,42.805,35.51428571428571,process_tree,3.85,process_tree,618.23
570000,396.72,100.0,0.0,26.57857142857143,process_tree,3.86,process_tree,618.78
580000,403.651,100.0,0.0,11.892857142857142,process_tree,3.85,process_tree,617.53
590000,410.814,100.0,0.0,15.271428571428572,process_tree,3.85,process_tree,618.27
600000,417.024,100.0,0.0,7.121428571428572,process_tree,3.85,process_tree,618.36
610000,423.991,100.0,0.0,6.142857142857143,process_tree,3.84,process_tree,616.99
