step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,47.2,system,
10000,14.035,1.137,0.686,18.342857142857145,process_tree,3.77,process_tree,604.34
20000,22.371,1.138,0.696,9.157142857142857,process_tree,3.79,process_tree,608.12
30000,30.822,1.2,0.779,10.228571428571428,process_tree,3.78,process_tree,607.25
40000,39.331,1.34,0.795,27.478571428571428,process_tree,3.79,process_tree,608.96
50000,47.512,1.4,0.909,11.378571428571428,process_tree,3.79,process_tree,608.11
60000,56.454,1.52,0.918,17.335714285714285,process_tree,3.79,process_tree,608.09
70000,65.296,1.639,0.958,20.41428571428571,process_tree,3.79,process_tree,607.77
80000,73.505,2.032,1.133,47.714285714285715,process_tree,3.79,process_tree,607.84
90000,82.062,2.119,1.269,20.457142857142856,process_tree,3.79,process_tree,608.54
100000,89.98,2.388,1.39,8.178571428571429,process_tree,3.79,process_tree,608.37
110000,97.929,2.793,1.713,7.107142857142857,process_tree,3.79,process_tree,608.4
120000,106.023,2.847,1.9,15.342857142857143,process_tree,3.8,process_tree,609.27
130000,113.667,3.032,2.144,25.542857142857144,process_tree,3.79,process_tree,608.61
140000,121.083,3.656,2.631,8.178571428571429,process_tree,3.79,process_tree,608.82
150000,129.521,3.463,2.875,14.314285714285713,process_tree,3.79,process_tree,608.77
160000,137.163,3.803,2.875,13.278571428571428,process_tree,3.8,process_tree,609.57
170000,145.63,4.322,3.792,40.607142857142854,process_tree,3.8,process_tree,609.76
180000,153.411,5.292,4.127,11.25,process_tree,3.8,process_tree,609.57
190000,161.505,5.142,3.986,17.264285714285712,process_tree,3.8,process_tree,609.77
200000,169.267,6.223,6.062,23.535714285714285,process_tree,3.71,process_tree,595.09
210000,176.74,6.799,6.285,7.164285714285714,process_tree,3.71,process_tree,596.02
220000,184.432,8.505,8.449,7.1000000000000005,process_tree,3.71,process_tree,596.04
230000,191.749,7.864,8.373,7.1000000000000005,process_tree,3.71,process_tree,595.96
240000,199.714,8.786,7.971,6.142857142857143,process_tree,3.72,process_tree,596.57
250000,209.095,8.675,9.44,22.464285714285715,process_tree,3.72,process_tree,596.55
260000,216.903,12.214,12.727,18.357142857142858,process_tree,3.72,process_tree,596.57
