step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,55.8,system,
10000,33.17,1.228,0.76,12.242857142857144,process_tree,3.76,process_tree,603.57
20000,54.064,1.758,1.165,9.228571428571428,process_tree,3.77,process_tree,605.82
30000,74.515,3.075,2.097,13.278571428571428,process_tree,3.78,process_tree,606.05
40000,99.781,5.663,5.356,12.207142857142856,process_tree,3.78,process_tree,606.63
50000,118.971,10.484,9.846,19.457142857142856,process_tree,3.78,process_tree,606.99
60000,138.057,69.667,32.752,9.214285714285714,process_tree,3.79,process_tree,608.45
70000,156.993,100.0,0.0,7.164285714285714,process_tree,3.79,process_tree,608.28
80000,181.182,92.742,16.266,6.135714285714286,process_tree,3.79,process_tree,608.68
90000,200.471,96.73,9.81,11.22857142857143,process_tree,3.79,process_tree,609.06
100000,219.86,96.275,12.354,19.378571428571426,process_tree,3.8,process_tree,609.47
110000,238.712,100.0,0.0,7.164285714285714,process_tree,3.8,process_tree,609.41
120000,263.024,100.0,0.0,13.214285714285714,process_tree,3.8,process_tree,609.48
130000,282.002,100.0,0.0,11.207142857142856,process_tree,3.8,process_tree,609.65
140000,301.62,95.492,14.952,8.142857142857142,process_tree,3.8,process_tree,610.01
150000,326.105,69.929,41.904,10.235714285714286,process_tree,3.8,process_tree,610.28
160000,345.729,87.95,22.657,10.242857142857144,process_tree,3.8,process_tree,610.27
170000,364.733,100.0,0.0,11.242857142857142,process_tree,3.8,process_tree,610.3
180000,383.834,100.0,0.0,12.457142857142857,process_tree,3.8,process_tree,610.41
190000,407.596,79.436,39.392,14.314285714285715,process_tree,3.8,process_tree,610.34
200000,426.538,78.825,37.866,21.47142857142857,process_tree,3.8,process_tree,610.54
210000,445.182,50.9,49.119,14.257142857142856,process_tree,3.81,process_tree,610.75
220000,464.206,100.0,0.0,7.1000000000000005,process_tree,3.8,process_tree,610.49
230000,488.06,72.721,43.178,11.257142857142856,process_tree,3.8,process_tree,610.6
240000,506.977,86.2,33.821,21.47142857142857,process_tree,3.8,process_tree,610.6
250000,526.315,100.0,0.0,10.235714285714286,process_tree,3.8,process_tree,610.53
260000,545.418,62.294,47.273,6.142857142857143,process_tree,3.8,process_tree,610.34
270000,568.973,88.45,30.558,8.178571428571429,process_tree,3.81,process_tree,610.71
280000,588.263,85.031,35.117,11.214285714285714,process_tree,3.81,process_tree,610.87
290000,607.43,84.517,34.677,16.15,process_tree,3.81,process_tree,610.98
300000,628.314,82.1,37.972,21.392857142857142,process_tree,3.81,process_tree,611.21
310000,637.454,100.0,0.0,17.507142857142856,process_tree,3.81,process_tree,611.46
320000,645.403,80.393,39.224,9.200000000000001,process_tree,3.81,process_tree,611.77
330000,653.593,80.35,39.305,11.221428571428572,process_tree,3.81,process_tree,611.63
340000,663.091,100.0,0.0,21.442857142857143,process_tree,3.81,process_tree,611.62
350000,671.046,83.45,37.007,28.414285714285715,process_tree,3.8,process_tree,610.57
360000,679.023,73.907,41.345,14.299999999999999,process_tree,3.81,process_tree,611.28
370000,687.007,76.058,41.49,7.1000000000000005,process_tree,3.81,process_tree,611.58
380000,696.674,91.745,26.103,29.678571428571427,process_tree,3.81,process_tree,610.99
390000,704.844,90.71,27.87,15.335714285714285,process_tree,3.81,process_tree,611.11
400000,712.938,100.0,0.0,15.271428571428572,process_tree,3.81,process_tree,611.16
410000,722.809,100.0,0.0,8.178571428571429,process_tree,3.81,process_tree,611.19
420000,730.935,100.0,0.0,20.400000000000002,process_tree,3.81,process_tree,611.23
430000,738.956,100.0,0.0,8.121428571428572,process_tree,3.81,process_tree,611.02
440000,747.36,100.0,0.0,7.164285714285714,process_tree,3.81,process_tree,611.52
