step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,59.0,system,
10000,25.366,1.502,1.125,9.128571428571428,process_tree,3.72,process_tree,597.8
20000,41.936,4.751,4.993,6.085714285714286,process_tree,3.75,process_tree,602.6
30000,58.652,18.407,16.143,7.164285714285714,process_tree,3.76,process_tree,603.34
40000,74.757,53.367,39.945,7.164285714285714,process_tree,3.76,process_tree,603.12
50000,91.25,56.04,40.011,11.257142857142858,process_tree,3.76,process_tree,603.63
60000,108.072,83.483,31.347,8.114285714285714,process_tree,3.76,process_tree,603.72
70000,123.8,81.219,30.595,10.221428571428572,process_tree,3.77,process_tree,604.3
80000,140.496,66.181,32.945,13.242857142857144,process_tree,3.76,process_tree,603.45
90000,157.74,63.027,37.304,6.25,process_tree,3.77,process_tree,604.44
100000,174.919,82.918,36.302,7.164285714285714,process_tree,3.76,process_tree,604.11
110000,192.152,68.48,34.237,15.299999999999999,process_tree,3.77,process_tree,604.39
120000,206.301,70.1,36.986,7.164285714285714,process_tree,3.77,process_tree,604.46
130000,221.29,85.982,31.019,7.1000000000000005,process_tree,3.76,process_tree,603.96
140000,235.44,82.291,21.507,7.1000000000000005,process_tree,3.76,process_tree,604.07
150000,249.768,100.0,0.0,18.442857142857143,process_tree,3.77,process_tree,604.72
160000,265.477,68.893,34.987,7.164285714285714,process_tree,3.76,process_tree,604.27
170000,282.457,74.35,31.292,7.164285714285714,process_tree,3.76,process_tree,603.96
180000,297.776,100.0,0.0,9.214285714285714,process_tree,3.77,process_tree,605.27
190000,314.604,91.109,28.116,6.142857142857143,process_tree,3.77,process_tree,605.54
200000,331.279,91.783,27.252,6.142857142857143,process_tree,3.77,process_tree,605.59
210000,347.724,100.0,0.0,7.164285714285714,process_tree,3.78,process_tree,606.54
220000,364.685,79.114,35.238,16.05,process_tree,3.78,process_tree,606.28
230000,380.696,90.973,28.547,9.128571428571428,process_tree,3.78,process_tree,606.29
240000,397.498,100.0,0.0,19.38571428571429,process_tree,3.78,process_tree,606.52
250000,414.677,100.0,0.0,7.1000000000000005,process_tree,3.78,process_tree,606.34
260000,431.835,81.646,36.138,10.164285714285713,process_tree,3.78,process_tree,606.73
270000,446.789,100.0,0.0,16.314285714285713,process_tree,3.78,process_tree,606.73
280000,461.407,91.925,26.782,9.135714285714284,process_tree,3.78,process_tree,606.57
290000,476.668,100.0,0.0,9.15,process_tree,3.77,process_tree,605.77
300000,492.061,47.17,48.4,8.171428571428573,process_tree,3.78,process_tree,606.3
