step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,47.0,system,
10000,16.357,1.26,0.734,23.521428571428572,process_tree,3.72,process_tree,597.63
20000,27.108,1.818,0.998,11.62857142857143,process_tree,3.74,process_tree,600.0
30000,37.625,3.292,2.482,22.407142857142855,process_tree,3.75,process_tree,601.58
40000,48.062,4.06,3.883,10.235714285714286,process_tree,3.75,process_tree,601.57
50000,58.488,5.522,5.629,8.4,process_tree,3.76,process_tree,603.34
60000,68.779,8.592,7.936,7.1571428571428575,process_tree,3.76,process_tree,603.79
70000,77.545,37.453,34.632,9.5,process_tree,3.76,process_tree,604.14
80000,87.325,69.85,40.051,31.52142857142857,process_tree,3.76,process_tree,604.07
90000,96.019,77.915,36.914,7.164285714285714,process_tree,3.76,process_tree,604.09
100000,105.292,100.0,0.0,7.1000000000000005,process_tree,3.76,process_tree,604.25
110000,114.609,75.725,35.037,16.357142857142858,process_tree,3.76,process_tree,604.1
120000,123.819,62.277,38.13,7.164285714285714,process_tree,3.76,process_tree,604.16
130000,133.012,100.0,0.0,21.442857142857143,process_tree,3.76,process_tree,603.72
140000,143.108,82.725,35.959,7.164285714285714,process_tree,3.77,process_tree,604.55
150000,152.715,100.0,0.0,6.085714285714286,process_tree,3.76,process_tree,604.12
160000,162.257,100.0,0.0,36.800000000000004,process_tree,3.77,process_tree,604.3
170000,171.467,99.089,2.577,18.349999999999998,process_tree,3.76,process_tree,604.09
180000,181.507,100.0,0.0,10.242857142857144,process_tree,3.76,process_tree,604.25
190000,191.073,100.0,0.0,25.607142857142858,process_tree,3.76,process_tree,603.37
200000,200.68,100.0,0.0,8.121428571428572,process_tree,3.77,process_tree,604.53
