step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,42.2,system,
10000,12.087,1.189,0.694,8.135714285714286,process_tree,3.83,process_tree,614.54
20000,18.498,1.23,0.725,16.092857142857145,process_tree,3.97,process_tree,637.11
30000,25.039,1.193,0.663,33.535714285714285,process_tree,4.12,process_tree,660.47
40000,31.553,1.13,0.657,9.157142857142857,process_tree,4.25,process_tree,681.8
50000,38.206,1.178,0.686,17.242857142857144,process_tree,4.39,process_tree,703.81
60000,45.12,1.143,0.682,35.621428571428574,process_tree,4.54,process_tree,728.15
70000,51.874,1.184,0.704,18.321428571428573,process_tree,4.66,process_tree,748.43
80000,58.342,1.102,0.626,25.207142857142856,process_tree,4.8,process_tree,770.29
90000,64.893,1.18,0.729,33.75,process_tree,4.94,process_tree,792.52
100000,71.36,1.181,0.639,25.535714285714285,process_tree,5.08,process_tree,814.7
110000,77.87,1.207,0.78,16.314285714285713,process_tree,5.23,process_tree,839.76
120000,84.54,1.153,0.691,17.335714285714285,process_tree,5.33,process_tree,855.95
130000,91.036,1.153,0.684,22.735714285714288,process_tree,5.46,process_tree,876.25
140000,97.565,1.205,0.767,16.214285714285715,process_tree,5.6,process_tree,898.31
150000,104.315,1.23,0.82,20.442857142857147,process_tree,5.73,process_tree,919.48
160000,110.826,1.241,0.858,21.32857142857143,process_tree,5.87,process_tree,941.89
170000,117.27,1.129,0.702,11.257142857142856,process_tree,6.0,process_tree,962.5
180000,123.643,1.172,0.74,18.400000000000002,process_tree,6.14,process_tree,985.17
190000,130.394,1.234,0.775,19.407142857142855,process_tree,6.27,process_tree,1006.14
200000,136.898,1.163,0.756,18.32857142857143,process_tree,6.41,process_tree,1028.51
210000,143.352,1.198,0.745,18.407142857142855,process_tree,6.54,process_tree,1050.02
220000,149.913,1.19,0.779,14.278571428571428,process_tree,6.68,process_tree,1071.95
230000,156.352,1.208,0.761,16.35,process_tree,6.81,process_tree,1093.49
240000,163.377,1.164,0.738,25.592857142857145,process_tree,6.94,process_tree,1114.54
250000,169.85,1.166,0.705,14.321428571428571,process_tree,7.08,process_tree,1136.32
260000,176.32,1.203,0.693,23.521428571428572,process_tree,7.22,process_tree,1158.48
270000,182.77,1.198,0.722,8.428571428571429,process_tree,7.35,process_tree,1179.57
280000,189.187,1.164,0.683,31.514285714285712,process_tree,7.49,process_tree,1201.74
290000,195.803,1.148,0.672,8.3,process_tree,7.62,process_tree,1223.37
300000,202.791,1.18,0.703,10.178571428571429,process_tree,7.76,process_tree,1245.26
