step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,44.5,system,
10000,13.743,1.335,0.813,21.32857142857143,process_tree,3.74,process_tree,600.68
20000,22.66,2.639,1.73,17.342857142857145,process_tree,3.75,process_tree,602.48
30000,30.89,8.81,10.007,19.335714285714285,process_tree,3.76,process_tree,603.17
40000,38.53,100.0,0.0,10.185714285714285,process_tree,3.76,process_tree,603.91
50000,47.324,100.0,0.0,10.171428571428573,process_tree,3.76,process_tree,603.79
60000,55.856,100.0,0.0,27.428571428571427,process_tree,3.77,process_tree,604.96
70000,63.843,100.0,0.0,9.192857142857141,process_tree,3.77,process_tree,604.46
80000,72.05,100.0,0.0,24.50714285714286,process_tree,3.76,process_tree,604.25
90000,79.919,100.0,0.0,38.892857142857146,process_tree,3.77,process_tree,605.14
100000,86.821,100.0,0.0,8.057142857142857,process_tree,3.77,process_tree,605.3
110000,95.304,100.0,0.0,8.178571428571429,process_tree,3.77,process_tree,605.23
120000,104.12,100.0,0.0,13.278571428571428,process_tree,3.77,process_tree,605.82
130000,114.399,100.0,0.0,9.585714285714285,process_tree,3.77,process_tree,605.08
140000,124.508,91.7,27.528,16.35,process_tree,3.77,process_tree,604.88
150000,134.79,100.0,0.0,26.55,process_tree,3.77,process_tree,605.7
160000,143.842,100.0,0.0,7.1499999999999995,process_tree,3.77,process_tree,605.08
170000,154.074,100.0,0.0,11.235714285714286,process_tree,3.77,process_tree,605.34
180000,164.65,100.0,0.0,17.335714285714285,process_tree,3.77,process_tree,605.5
190000,173.556,100.0,0.0,9.192857142857141,process_tree,3.77,process_tree,605.1
200000,184.155,100.0,0.0,8.128571428571428,process_tree,3.78,process_tree,605.88
