step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,38.9,system,
10000,12.938,1.059,0.698,6.085714285714286,process_tree,3.72,process_tree,597.72
20000,21.182,1.409,0.848,6.085714285714286,process_tree,3.74,process_tree,599.81
30000,29.512,1.881,1.105,7.164285714285714,process_tree,3.74,process_tree,600.08
40000,37.848,2.543,1.594,6.142857142857143,process_tree,3.74,process_tree,600.47
50000,45.58,3.31,2.241,9.214285714285714,process_tree,3.74,process_tree,600.41
60000,52.861,4.139,2.94,7.1000000000000005,process_tree,3.74,process_tree,600.52
70000,59.81,5.699,5.137,23.342857142857145,process_tree,3.74,process_tree,600.66
80000,67.129,8.494,7.48,18.32857142857143,process_tree,3.65,process_tree,586.31
90000,74.203,12.262,13.076,17.392857142857142,process_tree,3.65,process_tree,586.57
100000,81.57,23.338,19.67,32.75,process_tree,3.65,process_tree,586.59
110000,88.705,14.628,13.827,16.37857142857143,process_tree,3.66,process_tree,586.66
120000,95.937,34.959,30.539,7.1000000000000005,process_tree,3.65,process_tree,586.61
130000,103.188,85.836,28.785,7.1000000000000005,process_tree,3.66,process_tree,586.63
140000,110.457,100.0,0.0,7.1499999999999995,process_tree,3.65,process_tree,586.55
150000,117.797,100.0,0.0,22.457142857142856,process_tree,3.66,process_tree,586.86
160000,125.037,100.0,0.0,14.271428571428572,process_tree,3.66,process_tree,586.82
170000,131.935,100.0,0.0,21.335714285714285,process_tree,3.65,process_tree,586.51
180000,138.046,80.31,39.381,7.164285714285714,process_tree,3.66,process_tree,587.04
190000,145.081,91.018,28.403,7.164285714285714,process_tree,3.66,process_tree,586.83
200000,151.71,100.0,0.0,8.185714285714285,process_tree,3.66,process_tree,587.03
210000,158.867,58.289,48.911,8.142857142857142,process_tree,3.66,process_tree,587.4
220000,165.688,83.492,36.914,23.342857142857145,process_tree,3.66,process_tree,587.18
230000,172.837,73.62,43.746,23.035714285714285,process_tree,3.66,process_tree,586.86
240000,179.939,32.636,46.214,7.1000000000000005,process_tree,3.66,process_tree,587.34
250000,187.375,100.0,0.0,7.164285714285714,process_tree,3.66,process_tree,587.54
260000,194.7,89.044,30.987,7.164285714285714,process_tree,3.66,process_tree,586.93
270000,201.306,100.0,0.0,17.264285714285712,process_tree,3.66,process_tree,587.24
280000,208.762,84.738,35.792,11.235714285714286,process_tree,3.66,process_tree,587.48
290000,216.023,100.0,0.0,37.621428571428574,process_tree,3.66,process_tree,587.51
300000,223.099,88.922,31.333,15.299999999999999,process_tree,3.66,process_tree,587.85
310000,229.944,78.8,40.597,22.321428571428573,process_tree,3.66,process_tree,587.65
