step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,57.1,system,
10000,18.913,1.302,0.742,9.207142857142857,process_tree,3.77,process_tree,605.36
20000,30.439,2.872,2.32,15.357142857142858,process_tree,3.79,process_tree,608.0
30000,42.27,8.103,6.741,16.385714285714286,process_tree,3.79,process_tree,608.21
40000,54.039,49.557,33.484,7.1000000000000005,process_tree,3.79,process_tree,608.71
50000,65.655,47.056,35.569,7.164285714285714,process_tree,3.79,process_tree,608.92
60000,77.887,63.576,38.97,7.164285714285714,process_tree,3.79,process_tree,608.11
70000,89.478,75.95,31.985,8.178571428571429,process_tree,3.8,process_tree,610.3
80000,101.838,72.708,33.608,12.207142857142856,process_tree,3.8,process_tree,609.91
90000,113.774,19.815,23.492,11.22857142857143,process_tree,3.79,process_tree,608.67
100000,125.521,26.453,21.223,11.22857142857143,process_tree,3.79,process_tree,608.25
110000,137.257,37.341,36.5,20.657142857142855,process_tree,3.79,process_tree,608.36
120000,149.172,17.319,13.105,18.364285714285717,process_tree,3.79,process_tree,608.38
130000,161.461,79.221,30.286,19.442857142857143,process_tree,3.8,process_tree,610.14
140000,173.209,68.993,40.073,32.47142857142857,process_tree,3.8,process_tree,610.11
150000,184.974,44.592,32.443,26.62142857142857,process_tree,3.8,process_tree,609.79
160000,196.827,93.2,20.4,14.221428571428573,process_tree,3.8,process_tree,610.1
170000,208.648,68.477,40.254,18.321428571428573,process_tree,3.8,process_tree,609.67
180000,220.784,100.0,0.0,17.342857142857145,process_tree,3.8,process_tree,609.88
190000,232.721,91.817,27.141,33.785714285714285,process_tree,3.8,process_tree,609.97
200000,243.354,100.0,0.0,10.235714285714286,process_tree,3.8,process_tree,610.09
210000,255.184,91.842,27.058,12.178571428571429,process_tree,3.8,process_tree,610.63
220000,267.55,91.867,26.975,6.085714285714286,process_tree,3.8,process_tree,610.16
230000,281.101,74.885,37.112,8.185714285714285,process_tree,3.8,process_tree,610.16
240000,293.002,87.044,30.825,10.235714285714286,process_tree,3.8,process_tree,610.05
250000,304.946,71.576,44.097,7.164285714285714,process_tree,3.81,process_tree,610.74
260000,316.679,40.894,40.995,6.142857142857143,process_tree,3.81,process_tree,610.71
270000,328.693,84.769,35.72,13.285714285714286,process_tree,3.81,process_tree,610.96
280000,340.467,85.743,34.923,11.242857142857142,process_tree,3.81,process_tree,611.26
290000,352.735,42.731,49.043,22.42142857142857,process_tree,3.8,process_tree,610.22
300000,364.972,21.445,33.619,9.207142857142857,process_tree,3.81,process_tree,611.63
310000,376.766,59.343,45.966,10.207142857142857,process_tree,3.81,process_tree,612.07
320000,388.439,65.047,47.327,21.178571428571427,process_tree,3.81,process_tree,612.04
330000,400.451,75.119,43.096,25.37142857142857,process_tree,3.82,process_tree,612.6
340000,413.041,100.0,0.0,22.02857142857143,process_tree,3.82,process_tree,612.45
350000,424.975,82.064,38.049,15.314285714285715,process_tree,3.8,process_tree,610.66
360000,436.964,94.56,16.32,32.93571428571428,process_tree,3.82,process_tree,612.45
370000,447.631,72.964,44.151,9.821428571428571,process_tree,3.82,process_tree,612.64
380000,459.521,84.862,35.503,6.142857142857143,process_tree,3.82,process_tree,612.31
390000,471.965,70.394,38.541,7.1000000000000005,process_tree,3.81,process_tree,612.26
400000,483.816,53.774,46.983,10.221428571428572,process_tree,3.82,process_tree,612.32
410000,495.734,100.0,0.0,10.235714285714286,process_tree,3.81,process_tree,611.51
420000,507.49,79.375,37.526,7.171428571428572,process_tree,3.82,process_tree,612.33
430000,519.405,83.958,35.872,10.221428571428572,process_tree,3.81,process_tree,610.71
440000,533.108,2.653,10.185,22.407142857142855,process_tree,3.81,process_tree,610.91
450000,546.487,1.538,1.186,13.25,process_tree,3.81,process_tree,610.73
460000,559.218,2.27,1.563,33.75,process_tree,3.81,process_tree,611.02
470000,571.516,4.42,2.329,16.321428571428573,process_tree,3.81,process_tree,610.87
480000,583.778,5.503,2.83,15.285714285714286,process_tree,3.81,process_tree,611.5
490000,596.461,6.992,2.841,31.400000000000002,process_tree,3.8,process_tree,610.54
500000,609.22,6.337,2.672,29.67142857142857,process_tree,3.78,process_tree,606.01
510000,621.652,7.61,2.675,28.635714285714283,process_tree,3.78,process_tree,607.41
520000,634.189,8.712,2.511,31.707142857142856,process_tree,3.78,process_tree,606.29
530000,646.462,11.669,3.681,24.55,process_tree,3.78,process_tree,607.04
540000,658.883,15.843,3.186,7.1571428571428575,process_tree,3.78,process_tree,607.11
550000,671.19,17.36,10.081,20.457142857142856,process_tree,3.78,process_tree,607.23
560000,683.0,98.0,6.633,32.699999999999996,process_tree,3.78,process_tree,607.45
570000,695.016,27.1,42.817,36.457142857142856,process_tree,3.78,process_tree,606.63
580000,707.238,38.186,45.445,19.364285714285717,process_tree,3.79,process_tree,607.7
590000,718.406,61.31,44.859,7.164285714285714,process_tree,3.78,process_tree,607.13
600000,730.283,63.232,45.12,7.164285714285714,process_tree,3.78,process_tree,607.1
610000,742.291,85.136,33.042,7.1000000000000005,process_tree,3.78,process_tree,607.41
