step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,72.8,system,
10000,14.752,1.124,0.67,10.228571428571428,process_tree,3.83,process_tree,614.31
20000,21.986,1.114,0.633,12.271428571428572,process_tree,3.97,process_tree,637.54
30000,29.474,1.127,0.673,16.357142857142858,process_tree,4.12,process_tree,661.11
40000,36.851,1.129,0.651,13.242857142857142,process_tree,4.25,process_tree,682.18
50000,44.507,1.163,0.678,23.428571428571427,process_tree,4.39,process_tree,704.17
60000,51.799,1.174,0.704,14.314285714285713,process_tree,4.51,process_tree,724.12
70000,59.887,1.161,0.753,27.592857142857145,process_tree,4.66,process_tree,748.59
80000,67.352,1.16,0.776,28.599999999999998,process_tree,4.8,process_tree,770.57
90000,75.437,1.22,0.814,9.12857142857143,process_tree,4.94,process_tree,792.84
100000,84.662,1.122,0.666,9.192857142857141,process_tree,5.08,process_tree,814.91
110000,93.574,1.091,0.673,26.62142857142857,process_tree,5.23,process_tree,839.7
120000,102.003,1.143,0.739,21.45,process_tree,5.33,process_tree,855.68
130000,109.918,1.139,0.702,9.192857142857145,process_tree,5.46,process_tree,876.41
140000,118.249,1.096,0.686,12.285714285714286,process_tree,5.6,process_tree,898.16
150000,127.232,1.154,0.713,25.585714285714285,process_tree,5.73,process_tree,919.46
160000,135.023,1.091,0.579,16.321428571428573,process_tree,5.87,process_tree,942.13
170000,266.025,1.242,0.788,14.264285714285714,process_tree,4.63,process_tree,743.8
180000,273.183,1.248,0.743,18.285714285714285,process_tree,4.63,process_tree,743.13
190000,280.237,1.308,0.839,8.178571428571429,process_tree,4.67,process_tree,749.72
200000,287.697,1.288,0.773,26.599999999999998,process_tree,4.69,process_tree,752.38
210000,295.192,1.265,0.737,15.242857142857144,process_tree,4.75,process_tree,762.71
220000,302.641,1.369,0.843,14.285714285714286,process_tree,4.81,process_tree,771.96
230000,310.946,1.201,0.757,12.264285714285714,process_tree,4.85,process_tree,778.58
240000,318.913,1.277,0.843,10.228571428571428,process_tree,4.91,process_tree,787.38
250000,327.274,1.222,0.74,16.314285714285717,process_tree,5.03,process_tree,808.01
260000,335.311,1.308,0.802,10.014285714285714,process_tree,5.17,process_tree,829.09
270000,343.227,1.324,0.841,15.299999999999999,process_tree,5.31,process_tree,852.75
280000,351.861,1.27,0.789,8.178571428571429,process_tree,5.34,process_tree,857.05
290000,359.755,1.27,0.784,10.214285714285714,process_tree,5.48,process_tree,879.0
300000,367.928,1.257,0.778,11.178571428571429,process_tree,5.61,process_tree,901.08
310000,376.536,1.285,0.844,10.228571428571428,process_tree,5.75,process_tree,922.2
320000,384.566,1.27,0.858,18.407142857142862,process_tree,5.88,process_tree,943.94
330000,527.432,1.756,1.201,18.264285714285712,process_tree,4.74,process_tree,761.16
