step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,45.7,system,
10000,22.24,1.318,0.849,23.428571428571427,process_tree,3.74,process_tree,599.86
20000,31.409,3.45,3.602,15.292857142857143,process_tree,3.75,process_tree,601.92
30000,38.901,9.541,10.452,17.335714285714285,process_tree,3.75,process_tree,601.94
40000,47.358,92.233,25.759,14.321428571428571,process_tree,3.75,process_tree,602.3
50000,54.651,100.0,0.0,13.242857142857142,process_tree,3.75,process_tree,602.33
60000,61.931,100.0,0.0,6.142857142857143,process_tree,3.75,process_tree,602.21
70000,70.895,100.0,0.0,49.09285714285714,process_tree,3.75,process_tree,602.21
80000,78.55,100.0,0.0,8.178571428571429,process_tree,3.75,process_tree,602.18
90000,87.607,100.0,0.0,26.607142857142858,process_tree,3.75,process_tree,602.12
100000,95.879,100.0,0.0,10.235714285714286,process_tree,3.75,process_tree,602.16
110000,104.608,100.0,0.0,10.364285714285714,process_tree,3.75,process_tree,602.18
120000,113.049,75.167,43.013,10.235714285714286,process_tree,3.75,process_tree,602.45
130000,120.37,100.0,0.0,7.164285714285714,process_tree,3.75,process_tree,602.27
140000,128.959,100.0,0.0,34.90714285714286,process_tree,3.75,process_tree,602.44
150000,137.095,80.2,39.601,7.1000000000000005,process_tree,3.75,process_tree,602.52
160000,145.362,84.831,35.577,16.95714285714286,process_tree,3.75,process_tree,602.43
170000,153.224,100.0,0.0,8.114285714285714,process_tree,3.75,process_tree,602.6
180000,162.054,100.0,0.0,16.3,process_tree,3.76,process_tree,603.29
190000,171.009,82.073,38.03,12.221428571428573,process_tree,3.76,process_tree,603.39
200000,179.78,90.05,29.85,11.207142857142856,process_tree,3.76,process_tree,603.4
210000,188.362,75.2,42.956,20.457142857142856,process_tree,3.76,process_tree,603.34
220000,197.164,34.176,46.557,40.94285714285714,process_tree,3.76,process_tree,603.44
230000,204.69,50.355,49.645,21.428571428571427,process_tree,3.76,process_tree,603.46
240000,212.62,66.925,46.775,7.164285714285714,process_tree,3.76,process_tree,603.39
250000,221.13,87.588,32.84,27.478571428571428,process_tree,3.76,process_tree,603.52
260000,229.747,80.127,39.747,23.400000000000002,process_tree,3.76,process_tree,603.41
270000,237.254,92.369,26.434,14.264285714285714,process_tree,3.76,process_tree,603.44
280000,245.398,91.742,27.39,27.578571428571426,process_tree,3.76,process_tree,603.38
290000,253.908,88.911,31.364,16.342857142857145,process_tree,3.76,process_tree,603.59
300000,262.504,75.167,43.013,22.414285714285715,process_tree,3.76,process_tree,603.45
310000,270.005,100.0,0.0,11.228571428571428,process_tree,3.76,process_tree,603.38
320000,277.473,100.0,0.0,7.1000000000000005,process_tree,3.76,process_tree,603.43
330000,286.595,92.323,26.594,10.450000000000001,process_tree,3.76,process_tree,603.44
340000,294.091,100.0,0.0,8.314285714285715,process_tree,3.76,process_tree,603.57
350000,302.386,100.0,0.0,15.292857142857144,process_tree,3.76,process_tree,604.07
360000,310.388,100.0,0.0,7.107142857142857,process_tree,3.76,process_tree,604.07
370000,318.758,100.0,0.0,19.349999999999998,process_tree,3.76,process_tree,603.94
380000,326.015,85.75,34.905,9.15,process_tree,3.76,process_tree,603.95
390000,334.445,100.0,0.0,32.707142857142856,process_tree,3.77,process_tree,604.71
400000,342.459,78.707,40.773,10.207142857142857,process_tree,3.77,process_tree,605.05
410000,351.063,53.82,49.371,6.085714285714286,process_tree,3.77,process_tree,605.17
420000,359.491,50.45,49.551,15.335714285714285,process_tree,3.77,process_tree,605.1
430000,368.28,60.58,48.281,6.142857142857143,process_tree,3.77,process_tree,604.97
440000,378.352,63.721,47.501,9.15,process_tree,3.77,process_tree,604.97
450000,387.007,86.064,34.14,6.142857142857143,process_tree,3.77,process_tree,605.06
460000,396.648,100.0,0.0,9.157142857142857,process_tree,3.77,process_tree,605.04
470000,405.149,85.8,34.783,25.52857142857143,process_tree,3.77,process_tree,604.93
480000,412.4,100.0,0.0,27.578571428571426,process_tree,3.77,process_tree,604.92
490000,419.582,71.593,44.916,8.114285714285714,process_tree,3.77,process_tree,604.92
500000,428.66,66.978,46.701,45.17857142857143,process_tree,3.81,process_tree,610.89
510000,438.642,85.907,34.521,14.271428571428572,process_tree,3.83,process_tree,613.9
520000,446.724,91.683,27.583,36.528571428571425,process_tree,3.83,process_tree,614.36
530000,456.297,85.814,34.748,18.349999999999998,process_tree,3.83,process_tree,614.79
540000,464.937,89.111,30.798,17.35,process_tree,3.83,process_tree,615.15
550000,473.767,91.683,27.583,11.192857142857145,process_tree,3.83,process_tree,615.29
560000,482.118,80.407,39.198,9.192857142857141,process_tree,3.83,process_tree,615.3
570000,490.454,65.211,45.641,30.678571428571427,process_tree,3.83,process_tree,615.31
580000,498.052,64.973,46.363,29.514285714285712,process_tree,3.84,process_tree,615.51
590000,507.606,34.279,41.478,33.74285714285714,process_tree,3.83,process_tree,615.46
600000,516.266,64.281,41.442,10.235714285714286,process_tree,3.84,process_tree,615.54
610000,525.57,97.355,8.366,26.564285714285713,process_tree,3.84,process_tree,615.53
620000,534.63,100.0,0.0,15.299999999999999,process_tree,3.83,process_tree,615.5
630000,543.488,100.0,0.0,6.142857142857143,process_tree,3.84,process_tree,615.58
640000,552.73,100.0,0.0,29.45,process_tree,3.84,process_tree,615.58
650000,560.447,100.0,0.0,6.085714285714286,process_tree,3.84,process_tree,615.66
660000,569.433,100.0,0.0,27.45714285714286,process_tree,3.84,process_tree,615.57
