step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,46.1,system,
10000,14.467,1.331,0.782,11.192857142857141,process_tree,3.72,process_tree,597.23
20000,23.248,1.96,1.098,7.164285714285714,process_tree,3.64,process_tree,583.91
30000,31.29,2.789,1.972,8.185714285714285,process_tree,3.64,process_tree,584.29
40000,39.149,4.629,3.676,6.25,process_tree,3.65,process_tree,585.05
50000,47.174,7.075,6.509,8.185714285714285,process_tree,3.65,process_tree,585.9
60000,55.056,9.574,8.992,6.142857142857143,process_tree,3.66,process_tree,586.62
70000,62.446,15.224,13.728,16.314285714285713,process_tree,3.66,process_tree,586.77
80000,69.418,28.283,18.658,15.285714285714286,process_tree,3.66,process_tree,587.46
90000,77.03,28.694,27.384,19.428571428571427,process_tree,3.66,process_tree,588.05
100000,84.87,38.135,34.516,6.142857142857143,process_tree,3.66,process_tree,588.01
110000,92.141,41.629,35.484,20.407142857142862,process_tree,3.66,process_tree,588.15
120000,100.938,24.159,21.875,7.1000000000000005,process_tree,3.66,process_tree,588.12
130000,109.372,34.168,32.875,14.307142857142859,process_tree,3.66,process_tree,587.82
140000,116.555,39.403,36.077,10.142857142857142,process_tree,3.67,process_tree,588.5
150000,125.218,28.317,27.411,12.235714285714286,process_tree,3.67,process_tree,588.58
160000,133.736,53.041,35.871,7.164285714285714,process_tree,3.67,process_tree,588.48
170000,142.004,100.0,0.0,7.164285714285714,process_tree,3.66,process_tree,588.11
180000,150.184,65.615,43.747,10.178571428571429,process_tree,3.67,process_tree,588.26
190000,158.675,67.569,42.767,7.164285714285714,process_tree,3.66,process_tree,588.2
200000,167.515,56.94,37.69,26.442857142857143,process_tree,3.67,process_tree,588.43
210000,176.402,35.556,34.803,7.1000000000000005,process_tree,3.67,process_tree,588.57
220000,184.828,28.112,28.556,23.67142857142857,process_tree,3.67,process_tree,588.46
230000,192.155,62.788,36.73,6.085714285714286,process_tree,3.67,process_tree,588.33
240000,199.914,24.592,19.824,6.142857142857143,process_tree,3.67,process_tree,588.47
