step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,76.9,system,
1010000,11.088,2.64,1.959,14.328571428571427,process_tree,3.91,process_tree,626.75
1020000,17.246,2.397,1.927,21.49285714285714,process_tree,4.05,process_tree,649.98
1030000,22.888,2.529,1.889,25.57857142857143,process_tree,4.19,process_tree,673.09
1040000,28.63,2.706,2.025,38.892857142857146,process_tree,4.32,process_tree,693.92
1050000,34.517,2.666,2.259,19.428571428571427,process_tree,4.47,process_tree,716.96
1060000,40.108,2.46,1.701,27.45714285714286,process_tree,4.62,process_tree,740.97
1070000,45.355,2.613,2.248,15.299999999999999,process_tree,4.75,process_tree,762.12
1080000,50.537,2.708,1.968,20.464285714285715,process_tree,4.87,process_tree,782.39
1090000,56.315,2.671,2.274,21.435714285714287,process_tree,5.01,process_tree,803.3
1100000,63.552,2.7,2.041,9.214285714285714,process_tree,5.16,process_tree,827.38
1110000,70.882,2.526,1.738,24.550000000000004,process_tree,5.3,process_tree,851.34
1120000,78.522,2.684,2.165,24.542857142857144,process_tree,5.4,process_tree,867.13
1130000,86.952,2.65,2.09,12.242857142857144,process_tree,5.55,process_tree,890.54
1140000,97.619,2.637,2.008,21.435714285714287,process_tree,5.67,process_tree,909.71
1150000,105.933,2.569,1.95,8.121428571428572,process_tree,5.8,process_tree,930.09
1160000,113.459,2.66,2.01,23.514285714285716,process_tree,5.94,process_tree,952.71
1170000,121.035,2.648,2.063,8.178571428571429,process_tree,6.07,process_tree,973.59
1180000,130.39,2.509,1.909,22.342857142857145,process_tree,6.2,process_tree,995.45
1190000,137.346,2.445,1.997,10.235714285714286,process_tree,6.34,process_tree,1016.88
1200000,145.396,2.697,1.951,8.121428571428572,process_tree,6.47,process_tree,1038.88
1210000,152.99,2.567,2.066,17.07857142857143,process_tree,6.6,process_tree,1059.66
1220000,161.392,2.732,2.273,16.63571428571429,process_tree,6.74,process_tree,1082.22
1230000,168.47,2.774,2.075,7.1571428571428575,process_tree,6.88,process_tree,1103.45
1240000,175.57,2.638,2.163,9.15,process_tree,7.01,process_tree,1124.37
1250000,182.801,2.516,2.239,10.707142857142857,process_tree,7.14,process_tree,1146.22
1260000,190.013,2.533,2.131,18.400000000000002,process_tree,7.28,process_tree,1168.57
1270000,198.52,2.707,2.135,12.85,process_tree,7.41,process_tree,1189.23
1280000,206.041,2.564,2.044,19.342857142857145,process_tree,7.55,process_tree,1211.53
1290000,213.525,2.804,2.416,15.328571428571431,process_tree,7.68,process_tree,1233.0
1300000,220.74,2.58,2.088,16.335714285714285,process_tree,7.81,process_tree,1253.39
1310000,228.33,2.583,2.018,19.42142857142857,process_tree,7.94,process_tree,1275.14
1320000,235.854,2.731,2.21,28.47142857142857,process_tree,8.09,process_tree,1297.89
1330000,244.795,2.515,2.209,17.307142857142857,process_tree,8.22,process_tree,1318.57
1340000,252.186,2.562,1.968,8.185714285714285,process_tree,8.35,process_tree,1340.26
1350000,633.783,2.743,2.433,29.66428571428571,process_tree,5.31,process_tree,853.01
1360000,639.963,5.609,5.332,14.285714285714286,process_tree,5.02,process_tree,805.76
1370000,646.128,5.782,4.992,13.285714285714286,process_tree,4.98,process_tree,798.66
1380000,652.467,6.072,6.414,10.192857142857141,process_tree,4.98,process_tree,799.1
1390000,658.663,5.865,5.422,12.264285714285714,process_tree,4.97,process_tree,797.05
1400000,664.937,5.746,5.755,37.82142857142857,process_tree,5.02,process_tree,804.89
1410000,671.309,6.765,6.597,20.41428571428571,process_tree,5.06,process_tree,811.76
1420000,677.802,5.549,5.257,14.435714285714285,process_tree,5.12,process_tree,821.27
1430000,683.87,5.951,5.691,21.435714285714287,process_tree,5.21,process_tree,836.3
1440000,690.197,5.952,5.932,15.285714285714286,process_tree,5.3,process_tree,849.84
1450000,696.426,6.433,6.129,19.45,process_tree,5.39,process_tree,864.62
1460000,702.796,5.498,5.032,19.357142857142858,process_tree,5.52,process_tree,886.43
1470000,709.411,5.224,4.795,30.692857142857143,process_tree,5.63,process_tree,902.81
1480000,715.722,6.636,6.812,34.57857142857143,process_tree,5.56,process_tree,892.98
1490000,722.344,6.362,5.498,14.492857142857142,process_tree,5.7,process_tree,914.48
1500000,729.032,6.065,6.027,25.585714285714285,process_tree,5.83,process_tree,935.36
1510000,735.445,5.55,4.684,20.42142857142857,process_tree,5.96,process_tree,957.34
1520000,741.708,6.072,5.684,17.37142857142857,process_tree,6.09,process_tree,978.03
1530000,748.562,5.223,5.094,9.157142857142857,process_tree,6.23,process_tree,999.57
1540000,755.067,4.652,4.734,21.435714285714287,process_tree,6.37,process_tree,1021.8
1550000,761.373,6.065,5.173,9.200000000000001,process_tree,6.49,process_tree,1042.08
1560000,767.678,5.899,5.419,17.321428571428573,process_tree,6.62,process_tree,1063.18
1570000,775.01,5.48,5.301,18.428571428571427,process_tree,6.75,process_tree,1084.11
1580000,874.18,6.139,5.33,20.37857142857143,process_tree,6.8,process_tree,1090.99
1590000,881.026,6.195,6.353,9.028571428571428,process_tree,6.94,process_tree,1113.22
1600000,888.023,7.281,7.548,11.328571428571431,process_tree,7.07,process_tree,1134.72
1610000,894.885,5.709,5.457,16.278571428571432,process_tree,7.2,process_tree,1156.23
1620000,902.193,5.949,6.674,12.221428571428572,process_tree,7.34,process_tree,1178.64
1630000,908.894,6.026,5.727,16.25,process_tree,7.47,process_tree,1198.62
1640000,915.531,6.061,7.365,19.428571428571427,process_tree,7.61,process_tree,1221.27
1650000,922.128,5.893,4.549,11.22857142857143,process_tree,7.74,process_tree,1242.82
1660000,928.509,6.447,5.991,23.557142857142857,process_tree,7.88,process_tree,1264.03
1670000,935.157,5.558,4.643,25.585714285714285,process_tree,8.01,process_tree,1285.44
1680000,942.84,6.685,6.764,31.72142857142857,process_tree,8.14,process_tree,1306.77
1690000,949.448,6.352,5.99,21.45,process_tree,8.28,process_tree,1328.27
1700000,1154.81,6.984,6.939,18.364285714285717,process_tree,5.25,process_tree,842.72
1710000,1159.555,24.521,22.103,27.464285714285715,process_tree,5.05,process_tree,810.45
1720000,1163.985,33.388,31.77,28.599999999999998,process_tree,4.97,process_tree,797.27
1730000,1168.291,39.527,35.009,19.428571428571427,process_tree,4.99,process_tree,800.8
1740000,1172.955,22.331,19.372,12.257142857142856,process_tree,5.01,process_tree,804.46
1750000,1178.176,23.074,20.362,17.335714285714285,process_tree,5.03,process_tree,807.33
1760000,1183.264,25.954,23.148,17.47142857142857,process_tree,5.09,process_tree,817.11
1770000,1188.212,26.919,24.265,17.385714285714286,process_tree,5.17,process_tree,829.96
1780000,1192.905,37.4,30.674,41.621428571428574,process_tree,5.29,process_tree,848.7
1790000,1198.044,21.689,22.593,27.635714285714283,process_tree,5.4,process_tree,865.92
1800000,1202.749,38.048,28.168,25.542857142857144,process_tree,5.45,process_tree,875.14
1810000,1207.839,28.044,30.332,22.42142857142857,process_tree,5.51,process_tree,884.61
1820000,1212.462,28.588,26.84,15.328571428571431,process_tree,5.61,process_tree,901.02
1830000,1217.143,29.55,24.465,17.37857142857143,process_tree,5.48,process_tree,878.76
1840000,1222.255,22.707,23.647,12.264285714285714,process_tree,5.61,process_tree,899.89
1850000,1227.038,23.398,22.832,27.62142857142857,process_tree,5.74,process_tree,920.91
1860000,1231.828,30.07,24.471,13.400000000000002,process_tree,5.87,process_tree,942.89
1870000,1236.524,20.444,21.368,19.292857142857144,process_tree,6.0,process_tree,963.72
1880000,1241.539,29.738,28.326,13.285714285714286,process_tree,6.14,process_tree,985.53
1890000,1246.457,23.541,20.177,29.67142857142857,process_tree,6.27,process_tree,1006.88
1900000,1251.306,32.447,23.755,7.164285714285714,process_tree,6.41,process_tree,1028.37
1910000,1256.186,33.104,27.651,7.164285714285714,process_tree,6.54,process_tree,1049.53
1920000,1261.291,42.03,33.779,12.271428571428572,process_tree,6.67,process_tree,1070.32
1930000,1266.126,33.403,26.409,18.37857142857143,process_tree,6.81,process_tree,1092.7
1940000,1270.979,30.669,23.743,26.457142857142856,process_tree,6.94,process_tree,1113.31
1950000,1275.797,25.792,23.918,22.385714285714283,process_tree,7.07,process_tree,1135.25
1960000,1281.203,34.478,24.793,20.82857142857143,process_tree,7.21,process_tree,1156.82
1970000,1285.797,25.006,21.962,29.607142857142858,process_tree,7.34,process_tree,1178.39
1980000,1290.53,29.214,30.213,19.442857142857143,process_tree,7.47,process_tree,1198.66
1990000,1295.36,32.717,23.665,12.021428571428572,process_tree,7.6,process_tree,1220.56
2000000,1300.142,28.421,27.409,21.33571428571429,process_tree,7.74,process_tree,1242.56
2010000,1304.911,36.507,33.176,13.307142857142859,process_tree,7.87,process_tree,1263.6
2020000,1310.214,35.368,27.367,25.585714285714285,process_tree,8.01,process_tree,1284.93
2030000,1314.886,28.85,20.415,13.278571428571427,process_tree,8.14,process_tree,1306.14
2040000,1319.766,29.985,29.184,36.55714285714286,process_tree,8.27,process_tree,1327.52
2050000,1497.843,23.103,22.094,18.32857142857143,process_tree,5.53,process_tree,888.21
2060000,1503.803,70.447,38.799,12.37142857142857,process_tree,5.26,process_tree,844.89
2070000,1509.587,79.04,28.866,16.37142857142857,process_tree,5.25,process_tree,842.77
2080000,1515.687,71.819,37.89,15.292857142857143,process_tree,5.23,process_tree,839.99
2090000,1521.984,66.377,40.957,22.47142857142857,process_tree,5.27,process_tree,845.44
2100000,1529.139,82.385,27.162,15.221428571428573,process_tree,5.28,process_tree,847.81
2110000,1536.13,79.2,32.165,8.178571428571429,process_tree,5.33,process_tree,855.73
2120000,1542.912,83.3,31.919,13.292857142857143,process_tree,5.37,process_tree,862.44
2130000,1550.477,80.119,31.443,16.307142857142857,process_tree,5.45,process_tree,874.75
2140000,1557.695,80.23,25.238,11.22857142857143,process_tree,5.56,process_tree,892.59
2150000,1564.579,75.579,31.685,28.65,process_tree,5.68,process_tree,911.93
2160000,1571.015,85.53,25.193,19.428571428571427,process_tree,5.74,process_tree,921.97
2170000,1577.491,75.687,36.927,7.164285714285714,process_tree,5.49,process_tree,880.46
2180000,1584.676,65.964,37.145,31.178571428571427,process_tree,5.52,process_tree,886.02
2190000,1591.841,75.569,29.472,40.67142857142858,process_tree,5.61,process_tree,901.08
2200000,1599.079,85.13,20.311,9.185714285714285,process_tree,5.74,process_tree,921.79
2210000,1605.7,85.942,27.567,19.45,process_tree,5.88,process_tree,944.0
2220000,1611.734,83.544,31.254,14.442857142857141,process_tree,6.01,process_tree,965.37
2230000,1617.757,94.06,17.82,21.457142857142856,process_tree,6.15,process_tree,986.59
2240000,1624.553,68.943,31.761,25.45,process_tree,6.28,process_tree,1007.31
2250000,1630.54,82.8,29.209,22.50714285714286,process_tree,6.41,process_tree,1029.55
2260000,1636.562,73.125,34.919,14.278571428571427,process_tree,6.55,process_tree,1050.51
2270000,1642.756,71.754,35.569,15.242857142857144,process_tree,6.68,process_tree,1072.39
2280000,1650.16,82.862,28.381,13.299999999999999,process_tree,6.81,process_tree,1093.5
2290000,1656.867,80.058,32.012,9.157142857142857,process_tree,6.94,process_tree,1114.63
2300000,1664.451,67.994,38.824,8.185714285714287,process_tree,7.08,process_tree,1136.79
2310000,1671.033,80.136,29.452,19.42142857142857,process_tree,7.21,process_tree,1157.74
2320000,1677.651,79.475,33.333,19.285714285714285,process_tree,7.34,process_tree,1178.43
2330000,1685.345,73.35,34.23,34.607142857142854,process_tree,7.48,process_tree,1201.09
2340000,1691.685,85.892,31.777,17.35,process_tree,7.61,process_tree,1222.02
2350000,1697.724,96.483,7.91,10.700000000000001,process_tree,7.75,process_tree,1243.17
2360000,1704.811,70.1,31.612,14.264285714285714,process_tree,7.88,process_tree,1265.07
2370000,1710.957,77.975,32.33,31.7,process_tree,8.02,process_tree,1286.48
2380000,1717.021,94.109,14.986,14.207142857142857,process_tree,8.15,process_tree,1307.76
2390000,1724.109,78.647,33.83,26.55,process_tree,8.28,process_tree,1328.98
2400000,2100.524,72.018,39.315,14.6,process_tree,4.51,process_tree,723.52
2410000,2107.476,100.0,0.0,15.828571428571427,process_tree,4.31,process_tree,691.73
2420000,2114.062,94.9,16.128,20.414285714285715,process_tree,4.31,process_tree,692.07
2430000,2120.535,92.24,23.28,10.200000000000001,process_tree,4.33,process_tree,694.92
2440000,2126.914,88.527,24.342,22.521428571428572,process_tree,4.34,process_tree,696.14
2450000,2133.837,92.242,25.731,14.321428571428571,process_tree,4.38,process_tree,702.2
2460000,2140.999,100.0,0.0,8.178571428571429,process_tree,4.42,process_tree,709.13
2470000,2147.334,100.0,0.0,9.2,process_tree,4.48,process_tree,719.54
2480000,2154.118,100.0,0.0,15.328571428571427,process_tree,4.54,process_tree,729.21
2490000,2160.332,100.0,0.0,16.20714285714286,process_tree,4.65,process_tree,745.69
2500000,2166.99,92.517,24.819,7.1000000000000005,process_tree,4.78,process_tree,766.43
2510000,2173.961,82.046,35.09,24.542857142857144,process_tree,4.92,process_tree,789.66
2520000,2180.321,100.0,0.0,16.37142857142857,process_tree,4.53,process_tree,726.47
2530000,2187.281,100.0,0.0,13.299999999999999,process_tree,4.56,process_tree,731.62
2540000,2195.187,91.791,25.959,10.185714285714285,process_tree,4.64,process_tree,745.17
2550000,2201.717,98.23,5.31,20.392857142857142,process_tree,4.78,process_tree,766.39
2560000,2208.896,86.491,22.278,25.385714285714283,process_tree,4.91,process_tree,788.04
2570000,2215.459,88.95,24.709,19.42142857142857,process_tree,5.04,process_tree,809.52
2580000,2222.061,100.0,0.0,18.442857142857143,process_tree,5.17,process_tree,830.51
2590000,2227.935,92.18,23.46,21.442857142857143,process_tree,5.31,process_tree,851.67
2600000,2235.17,100.0,0.0,19.364285714285717,process_tree,5.44,process_tree,873.51
2610000,2241.731,91.9,25.614,19.407142857142855,process_tree,5.57,process_tree,893.93
2620000,2248.241,97.43,7.71,18.357142857142858,process_tree,5.71,process_tree,916.42
2630000,2254.685,95.591,13.943,11.2,process_tree,5.84,process_tree,937.73
2640000,2262.265,89.338,28.21,23.357142857142858,process_tree,5.97,process_tree,958.3
2650000,2269.606,100.0,0.0,24.50714285714286,process_tree,5.71,process_tree,916.77
2660000,2277.037,100.0,0.0,15.35,process_tree,5.85,process_tree,938.14
2670000,2283.981,100.0,0.0,9.15,process_tree,5.97,process_tree,958.8
2680000,2290.902,95.0,15.0,15.335714285714285,process_tree,6.11,process_tree,980.46
2690000,2297.986,94.0,18.0,35.771428571428565,process_tree,6.24,process_tree,1001.21
2700000,2304.278,92.767,20.459,19.307142857142857,process_tree,6.37,process_tree,1022.47
2710000,2310.654,100.0,0.0,19.435714285714287,process_tree,6.51,process_tree,1044.03
2720000,2316.913,100.0,0.0,14.314285714285713,process_tree,6.64,process_tree,1065.67
2730000,2323.351,98.136,5.893,11.228571428571428,process_tree,6.77,process_tree,1086.73
2740000,2329.955,100.0,0.0,16.371428571428574,process_tree,6.9,process_tree,1107.88
2750000,2643.039,100.0,0.0,19.457142857142856,process_tree,4.01,process_tree,643.25
