step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,66.7,system,
10000,18.748,1.194,0.727,22.49285714285714,process_tree,3.82,process_tree,612.57
20000,29.033,1.269,0.74,8.178571428571429,process_tree,3.83,process_tree,614.19
30000,39.438,1.288,0.842,7.164285714285714,process_tree,3.83,process_tree,614.21
40000,52.02,1.46,0.926,23.49285714285714,process_tree,3.83,process_tree,614.48
50000,62.403,1.595,0.996,20.457142857142856,process_tree,3.83,process_tree,614.74
60000,72.377,1.797,1.065,19.357142857142858,process_tree,3.83,process_tree,615.21
70000,84.862,2.095,1.393,20.464285714285715,process_tree,3.83,process_tree,615.12
80000,94.771,2.21,1.419,11.221428571428573,process_tree,3.83,process_tree,615.06
90000,105.108,2.382,1.619,19.099999999999998,process_tree,3.83,process_tree,615.46
100000,114.989,2.884,1.972,7.164285714285714,process_tree,3.83,process_tree,615.02
110000,127.844,2.999,2.007,19.392857142857142,process_tree,3.84,process_tree,615.68
120000,138.21,3.362,2.327,18.364285714285717,process_tree,3.84,process_tree,616.32
130000,147.84,4.592,3.458,21.45,process_tree,3.84,process_tree,616.35
140000,160.339,5.231,4.081,21.435714285714287,process_tree,3.84,process_tree,616.39
150000,169.952,5.335,4.419,17.357142857142858,process_tree,3.84,process_tree,616.98
160000,179.21,7.311,6.193,28.485714285714288,process_tree,3.85,process_tree,617.6
170000,191.782,9.778,7.739,14.321428571428571,process_tree,3.85,process_tree,618.03
180000,201.436,11.139,9.275,14.314285714285713,process_tree,3.86,process_tree,618.82
190000,210.524,15.446,14.641,8.185714285714285,process_tree,3.86,process_tree,619.65
200000,220.038,16.307,15.669,6.25,process_tree,3.86,process_tree,619.93
210000,232.373,11.919,10.443,16.3,process_tree,3.86,process_tree,619.67
220000,241.702,11.672,9.36,31.557142857142857,process_tree,3.86,process_tree,619.9
230000,250.915,14.144,13.082,9.192857142857141,process_tree,3.86,process_tree,620.03
240000,262.862,20.417,21.926,29.678571428571427,process_tree,3.86,process_tree,619.66
250000,271.638,21.919,17.633,26.557142857142857,process_tree,3.86,process_tree,620.24
260000,280.302,27.465,26.62,35.81428571428571,process_tree,3.87,process_tree,620.97
270000,289.162,30.988,27.51,30.707142857142856,process_tree,3.87,process_tree,620.74
280000,300.678,26.432,19.031,12.264285714285714,process_tree,3.87,process_tree,620.74
290000,309.829,54.367,39.792,39.65,process_tree,3.87,process_tree,621.37
300000,318.236,49.7,32.236,21.49285714285714,process_tree,3.87,process_tree,621.59
310000,330.893,36.525,33.026,25.52857142857143,process_tree,3.87,process_tree,620.59
320000,339.617,52.435,39.714,22.485714285714284,process_tree,3.87,process_tree,621.92
