step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,57.7,system,
10000,11.594,1.111,0.724,7.1000000000000005,process_tree,3.84,process_tree,616.06
20000,19.503,1.05,0.679,17.335714285714285,process_tree,3.87,process_tree,621.37
30000,27.499,1.046,0.677,8.121428571428572,process_tree,3.87,process_tree,621.77
40000,35.191,1.168,0.707,22.50714285714286,process_tree,3.87,process_tree,621.14
50000,42.991,1.317,0.82,7.164285714285714,process_tree,3.88,process_tree,621.95
60000,50.846,1.365,0.839,13.192857142857141,process_tree,3.88,process_tree,623.14
70000,58.524,1.551,0.925,11.22857142857143,process_tree,3.87,process_tree,621.5
80000,66.177,1.654,1.026,19.385714285714283,process_tree,3.88,process_tree,622.58
90000,73.678,1.709,0.988,7.107142857142857,process_tree,3.88,process_tree,622.14
100000,81.176,1.798,0.976,12.264285714285716,process_tree,3.88,process_tree,622.86
110000,89.173,1.85,1.012,13.242857142857144,process_tree,3.87,process_tree,621.25
120000,96.955,2.03,1.184,21.307142857142857,process_tree,3.88,process_tree,622.52
130000,104.462,2.053,1.254,19.864285714285717,process_tree,3.88,process_tree,622.11
140000,112.171,2.254,1.359,18.792857142857144,process_tree,3.82,process_tree,612.96
150000,119.409,2.267,1.295,24.542857142857144,process_tree,3.83,process_tree,613.9
160000,126.753,2.384,1.576,30.650000000000002,process_tree,3.82,process_tree,613.85
170000,134.002,2.617,1.533,35.57142857142857,process_tree,3.82,process_tree,613.7
180000,141.319,2.762,1.648,6.142857142857143,process_tree,3.82,process_tree,613.28
190000,148.552,2.607,1.793,30.50714285714286,process_tree,3.82,process_tree,613.51
200000,156.171,2.793,1.864,26.449999999999996,process_tree,3.82,process_tree,613.2
210000,163.498,2.796,1.878,27.478571428571428,process_tree,3.83,process_tree,614.18
220000,170.633,3.178,2.067,10.171428571428573,process_tree,3.82,process_tree,613.51
230000,177.913,2.926,1.987,7.164285714285714,process_tree,3.82,process_tree,613.19
240000,185.042,3.019,2.191,35.614285714285714,process_tree,3.82,process_tree,612.78
250000,192.681,3.387,2.311,22.464285714285715,process_tree,3.82,process_tree,613.67
260000,199.905,3.513,2.438,19.442857142857143,process_tree,3.83,process_tree,614.13
270000,207.124,3.579,2.361,36.614285714285714,process_tree,3.82,process_tree,613.88
280000,214.729,3.562,2.565,29.67142857142857,process_tree,3.82,process_tree,613.89
290000,221.882,3.907,2.717,20.407142857142855,process_tree,3.83,process_tree,614.24
300000,229.163,3.547,2.761,8.178571428571429,process_tree,3.82,process_tree,613.66
310000,236.31,3.468,2.883,19.392857142857142,process_tree,3.83,process_tree,614.36
320000,243.374,4.119,3.168,31.50714285714286,process_tree,3.82,process_tree,613.3
330000,250.528,3.871,2.658,11.25,process_tree,3.82,process_tree,612.97
340000,257.643,3.923,3.36,9.37857142857143,process_tree,3.83,process_tree,614.01
350000,264.697,4.578,3.681,10.207142857142857,process_tree,3.83,process_tree,613.96
360000,272.091,4.22,3.309,9.15,process_tree,3.83,process_tree,613.92
370000,279.469,4.872,3.999,21.314285714285713,process_tree,3.83,process_tree,615.33
380000,286.55,4.808,4.237,36.614285714285714,process_tree,3.83,process_tree,614.91
390000,291.733,5.26,4.003,7.164285714285714,process_tree,3.84,process_tree,616.11
400000,298.757,4.819,3.835,7.164285714285714,process_tree,3.84,process_tree,616.09
410000,305.849,5.042,4.619,11.221428571428572,process_tree,3.84,process_tree,616.12
420000,312.874,4.878,4.023,9.214285714285714,process_tree,3.84,process_tree,616.55
430000,320.032,5.653,4.727,18.407142857142862,process_tree,3.84,process_tree,616.22
440000,327.148,5.236,4.261,15.335714285714285,process_tree,3.85,process_tree,617.91
450000,334.131,5.229,4.47,18.357142857142858,process_tree,3.84,process_tree,616.34
460000,341.198,5.802,4.582,14.321428571428571,process_tree,3.84,process_tree,616.49
470000,348.317,5.779,5.301,32.714285714285715,process_tree,3.84,process_tree,617.02
480000,355.23,5.383,5.273,31.7,process_tree,3.84,process_tree,616.42
490000,362.006,6.646,5.656,9.15,process_tree,3.84,process_tree,616.63
500000,368.946,6.366,5.286,32.75,process_tree,3.88,process_tree,623.01
510000,375.893,7.432,6.197,9.214285714285714,process_tree,3.9,process_tree,625.66
520000,383.026,6.82,7.152,31.72142857142857,process_tree,3.9,process_tree,625.34
530000,389.818,8.885,10.141,18.392857142857142,process_tree,3.9,process_tree,626.71
540000,396.901,8.104,7.874,8.185714285714285,process_tree,3.9,process_tree,626.63
550000,404.136,9.665,9.983,17.385714285714283,process_tree,3.9,process_tree,626.65
560000,411.029,9.229,9.437,12.407142857142858,process_tree,3.9,process_tree,626.43
570000,418.227,8.837,9.401,21.457142857142856,process_tree,3.92,process_tree,628.74
580000,425.117,9.124,7.659,14.264285714285714,process_tree,3.9,process_tree,626.57
590000,431.801,11.385,13.121,29.52142857142857,process_tree,3.91,process_tree,628.15
600000,438.472,12.597,16.141,23.33571428571429,process_tree,3.91,process_tree,627.79
610000,445.426,11.33,11.338,18.364285714285717,process_tree,3.91,process_tree,628.33
620000,452.268,14.432,13.415,20.442857142857147,process_tree,3.91,process_tree,628.18
630000,459.349,14.711,15.356,22.50714285714286,process_tree,3.92,process_tree,628.41
640000,466.582,13.629,13.832,16.25714285714286,process_tree,3.91,process_tree,628.1
650000,473.231,21.136,21.878,32.74285714285714,process_tree,3.91,process_tree,627.94
660000,479.95,16.495,18.939,12.271428571428572,process_tree,3.92,process_tree,629.0
670000,486.972,18.226,20.968,10.207142857142857,process_tree,3.91,process_tree,628.21
680000,493.862,15.946,17.741,29.50714285714286,process_tree,3.92,process_tree,629.32
690000,500.454,16.018,19.385,41.971428571428575,process_tree,3.92,process_tree,628.46
700000,507.32,19.871,21.317,47.07142857142857,process_tree,3.92,process_tree,628.63
710000,514.238,19.231,20.741,8.171428571428573,process_tree,3.91,process_tree,627.74
720000,520.923,23.753,27.131,19.357142857142858,process_tree,3.93,process_tree,631.42
730000,528.29,22.524,26.365,14.285714285714286,process_tree,3.94,process_tree,631.64
740000,535.138,40.817,33.057,14.271428571428572,process_tree,3.93,process_tree,631.05
750000,540.1,35.073,32.482,7.164285714285714,process_tree,3.92,process_tree,629.27
760000,546.676,43.243,36.191,7.164285714285714,process_tree,3.92,process_tree,629.07
770000,553.47,32.679,31.486,7.164285714285714,process_tree,3.92,process_tree,628.49
780000,560.225,30.497,34.145,9.192857142857141,process_tree,3.92,process_tree,629.07
790000,567.019,44.957,36.477,41.54285714285714,process_tree,3.92,process_tree,629.08
800000,573.653,46.59,35.615,15.314285714285713,process_tree,3.92,process_tree,628.84
810000,580.277,26.95,31.578,16.314285714285713,process_tree,3.92,process_tree,628.87
820000,587.347,47.196,39.341,27.635714285714283,process_tree,3.92,process_tree,628.66
830000,594.29,32.257,36.35,26.449999999999996,process_tree,3.91,process_tree,628.29
840000,601.031,41.165,33.716,21.478571428571428,process_tree,3.92,process_tree,628.34
850000,607.974,59.841,37.35,8.185714285714285,process_tree,3.92,process_tree,628.84
860000,614.733,40.295,37.302,20.37857142857143,process_tree,3.92,process_tree,629.23
870000,621.598,50.964,41.717,13.471428571428572,process_tree,3.92,process_tree,628.35
