step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,39.2,system,
10000,17.192,1.273,0.758,20.37142857142857,process_tree,3.74,process_tree,600.96
20000,28.948,2.479,1.822,13.25,process_tree,3.77,process_tree,604.5
30000,40.042,5.986,4.741,10.049999999999999,process_tree,3.78,process_tree,605.99
40000,50.872,9.856,9.495,27.478571428571428,process_tree,3.78,process_tree,606.63
50000,61.882,13.811,16.133,16.321428571428573,process_tree,3.69,process_tree,592.2
60000,72.602,13.365,11.378,17.37142857142857,process_tree,3.69,process_tree,592.92
70000,82.203,24.335,24.891,7.164285714285714,process_tree,3.7,process_tree,593.59
80000,92.841,26.194,23.458,7.164285714285714,process_tree,3.7,process_tree,593.18
90000,104.127,8.317,11.854,8.114285714285714,process_tree,3.7,process_tree,594.3
100000,114.716,12.879,12.823,9.214285714285714,process_tree,3.7,process_tree,594.34
110000,126.113,13.348,20.222,7.164285714285714,process_tree,3.7,process_tree,593.37
120000,137.195,20.586,30.3,7.1000000000000005,process_tree,3.7,process_tree,593.74
130000,148.348,11.052,20.993,13.292857142857143,process_tree,3.7,process_tree,594.24
140000,159.242,16.287,22.523,14.964285714285714,process_tree,3.7,process_tree,594.07
150000,170.86,12.739,12.344,17.400000000000002,process_tree,3.7,process_tree,594.37
160000,181.576,16.765,14.264,13.549999999999999,process_tree,3.7,process_tree,593.86
170000,192.36,18.454,13.637,9.299999999999999,process_tree,3.71,process_tree,595.55
180000,203.515,63.618,28.158,34.74285714285714,process_tree,3.7,process_tree,594.47
190000,214.731,21.169,25.953,18.32857142857143,process_tree,3.7,process_tree,594.18
200000,224.518,39.178,28.138,8.114285714285714,process_tree,3.71,process_tree,595.3
210000,235.508,49.427,33.882,6.085714285714286,process_tree,3.7,process_tree,594.45
220000,246.384,15.599,24.345,7.1000000000000005,process_tree,3.7,process_tree,594.64
230000,257.949,9.079,6.455,7.164285714285714,process_tree,3.71,process_tree,595.15
240000,268.369,13.776,6.3,9.192857142857141,process_tree,3.7,process_tree,594.12
250000,279.75,17.323,14.547,7.164285714285714,process_tree,3.71,process_tree,595.23
260000,290.657,48.517,32.13,7.1000000000000005,process_tree,3.71,process_tree,595.0
270000,301.955,26.105,20.135,19.357142857142858,process_tree,3.71,process_tree,595.47
280000,312.838,17.089,25.467,6.085714285714286,process_tree,3.71,process_tree,594.88
290000,323.085,95.982,12.707,37.81428571428571,process_tree,3.71,process_tree,595.73
300000,334.029,60.0,37.5,10.171428571428569,process_tree,3.71,process_tree,595.54
310000,345.291,57.593,41.557,23.342857142857145,process_tree,3.71,process_tree,596.04
320000,356.441,21.745,33.158,15.299999999999999,process_tree,3.71,process_tree,595.78
330000,367.012,17.763,25.572,34.72857142857143,process_tree,3.71,process_tree,596.08
340000,377.75,13.028,17.681,10.242857142857144,process_tree,3.71,process_tree,595.73
350000,388.279,23.289,26.043,27.614285714285717,process_tree,3.71,process_tree,595.96
360000,397.879,16.2,15.883,7.1000000000000005,process_tree,3.72,process_tree,596.41
370000,407.706,15.18,22.612,8.121428571428572,process_tree,3.72,process_tree,596.71
380000,418.987,5.066,14.564,7.164285714285714,process_tree,3.71,process_tree,595.38
390000,430.369,15.068,15.644,7.1000000000000005,process_tree,3.71,process_tree,595.39
400000,441.299,13.786,7.676,7.992857142857143,process_tree,3.71,process_tree,595.8
410000,452.418,15.068,7.055,14.221428571428572,process_tree,3.71,process_tree,596.09
420000,463.343,17.878,16.628,14.321428571428571,process_tree,3.71,process_tree,595.6
430000,474.426,17.865,15.101,11.242857142857142,process_tree,3.71,process_tree,594.79
440000,485.497,13.905,15.426,17.314285714285713,process_tree,3.71,process_tree,596.09
450000,496.265,19.052,15.757,17.364285714285717,process_tree,3.71,process_tree,595.42
460000,507.135,28.99,20.048,20.42142857142857,process_tree,3.71,process_tree,595.32
470000,518.089,15.834,16.539,16.064285714285713,process_tree,3.71,process_tree,595.28
480000,529.255,15.248,11.025,31.67142857142857,process_tree,3.71,process_tree,595.23
490000,540.216,18.631,12.151,21.47142857142857,process_tree,3.71,process_tree,595.75
500000,551.094,18.458,15.332,19.42142857142857,process_tree,3.76,process_tree,604.06
510000,561.876,38.1,34.846,13.242857142857144,process_tree,3.78,process_tree,606.12
520000,572.985,34.4,37.357,20.364285714285717,process_tree,3.77,process_tree,605.07
530000,583.094,69.2,43.659,11.242857142857142,process_tree,3.77,process_tree,604.91
540000,594.199,28.484,35.983,12.285714285714286,process_tree,3.78,process_tree,606.43
550000,605.068,28.258,28.819,15.307142857142859,process_tree,3.78,process_tree,606.35
560000,614.85,5.46,13.779,7.164285714285714,process_tree,3.78,process_tree,607.21
570000,627.729,1.081,2.786,7.142857142857143,process_tree,3.79,process_tree,607.75
580000,639.487,4.594,8.52,7.164285714285714,process_tree,3.78,process_tree,607.36
590000,651.364,5.004,6.562,14.900000000000002,process_tree,3.79,process_tree,608.16
600000,662.305,12.154,14.883,7.164285714285714,process_tree,3.78,process_tree,607.42
610000,672.972,10.82,13.553,9.128571428571428,process_tree,3.79,process_tree,607.66
620000,683.849,5.27,7.931,7.164285714285714,process_tree,3.78,process_tree,607.34
630000,695.166,7.158,8.305,7.107142857142857,process_tree,3.8,process_tree,609.15
640000,706.312,7.616,5.938,7.164285714285714,process_tree,3.79,process_tree,607.52
650000,717.103,13.107,9.846,7.164285714285714,process_tree,3.79,process_tree,607.98
660000,727.764,7.59,5.831,7.164285714285714,process_tree,3.79,process_tree,607.52
670000,738.691,8.218,4.083,9.214285714285714,process_tree,3.79,process_tree,608.14
680000,751.34,5.777,3.154,20.37857142857143,process_tree,3.78,process_tree,606.63
690000,762.034,6.337,3.307,14.221428571428572,process_tree,3.79,process_tree,607.83
700000,772.818,8.26,3.974,22.407142857142855,process_tree,3.79,process_tree,608.47
710000,784.118,10.843,6.504,22.400000000000002,process_tree,3.79,process_tree,608.2
720000,793.201,13.513,7.943,9.214285714285714,process_tree,3.79,process_tree,607.77
730000,803.407,12.957,10.597,7.164285714285714,process_tree,3.78,process_tree,607.0
740000,814.587,14.275,14.17,7.1000000000000005,process_tree,3.79,process_tree,608.15
750000,825.916,19.502,20.351,7.1000000000000005,process_tree,3.79,process_tree,607.95
760000,837.193,4.955,11.6,7.164285714285714,process_tree,3.79,process_tree,607.59
770000,848.086,6.099,8.641,14.285714285714286,process_tree,3.78,process_tree,607.16
780000,860.514,1.439,3.258,7.164285714285714,process_tree,3.79,process_tree,607.58
790000,872.396,1.41,2.687,7.164285714285714,process_tree,3.79,process_tree,608.5
800000,885.972,1.108,2.374,17.492857142857144,process_tree,3.79,process_tree,607.82
810000,898.546,0.759,1.822,14.207142857142857,process_tree,3.79,process_tree,607.61
820000,910.933,0.829,1.505,18.428571428571427,process_tree,3.78,process_tree,606.71
830000,923.173,1.571,3.54,15.342857142857143,process_tree,3.78,process_tree,607.36
840000,934.084,5.93,12.687,20.41428571428571,process_tree,3.78,process_tree,607.44
850000,945.487,3.501,6.212,17.357142857142858,process_tree,3.78,process_tree,607.2
860000,956.904,5.366,5.544,10.207142857142857,process_tree,3.78,process_tree,607.3
870000,968.071,5.663,4.371,7.164285714285714,process_tree,3.78,process_tree,606.43
880000,979.378,7.63,5.455,17.335714285714285,process_tree,3.78,process_tree,606.78
890000,990.457,9.761,6.07,25.45,process_tree,3.78,process_tree,606.72
900000,1001.797,11.303,6.241,31.41428571428571,process_tree,3.78,process_tree,607.32
910000,1013.084,16.234,12.989,11.2,process_tree,3.78,process_tree,607.46
920000,1024.072,35.679,34.176,20.364285714285717,process_tree,3.78,process_tree,607.01
930000,1032.987,31.485,32.635,7.164285714285714,process_tree,3.79,process_tree,608.28
940000,1046.413,1.753,9.791,21.307142857142857,process_tree,3.78,process_tree,607.39
950000,1059.269,0.434,0.391,12.37142857142857,process_tree,3.78,process_tree,606.58
960000,1071.653,0.455,0.402,13.27142857142857,process_tree,3.78,process_tree,606.2
970000,1083.509,0.426,0.325,10.799999999999999,process_tree,3.78,process_tree,606.41
980000,1096.02,0.404,0.261,30.692857142857143,process_tree,3.78,process_tree,606.62
990000,1108.872,0.448,0.269,10.242857142857144,process_tree,3.78,process_tree,606.86
1000000,1121.752,0.436,0.306,11.25,process_tree,3.78,process_tree,606.23
1010000,1134.869,0.442,0.298,15.285714285714286,process_tree,3.78,process_tree,606.88
1020000,1147.225,0.407,0.291,10.228571428571428,process_tree,3.79,process_tree,607.84
1030000,1160.113,0.42,0.284,7.164285714285714,process_tree,3.78,process_tree,606.79
1040000,1173.083,0.441,0.275,7.164285714285714,process_tree,3.79,process_tree,607.68
1050000,1187.292,0.414,0.302,14.421428571428573,process_tree,3.78,process_tree,607.02
1060000,1200.199,0.387,0.293,9.207142857142857,process_tree,3.78,process_tree,606.55
1070000,1212.889,0.379,0.297,11.692857142857141,process_tree,3.79,process_tree,607.62
1080000,1225.935,0.428,0.284,20.37857142857143,process_tree,3.78,process_tree,606.28
1090000,1238.922,0.45,0.281,20.75714285714286,process_tree,3.79,process_tree,607.87
1100000,1251.869,0.458,0.282,9.214285714285714,process_tree,3.78,process_tree,606.41
1110000,1264.534,0.494,0.284,15.342857142857143,process_tree,3.78,process_tree,607.39
1120000,1277.167,0.503,0.295,17.27857142857143,process_tree,3.78,process_tree,606.67
1130000,1290.144,0.495,0.274,9.192857142857141,process_tree,3.78,process_tree,606.52
1140000,1302.874,0.498,0.283,7.1000000000000005,process_tree,3.78,process_tree,606.42
1150000,1316.891,0.513,0.3,18.407142857142855,process_tree,3.79,process_tree,608.2
1160000,1329.925,0.459,0.339,9.185714285714285,process_tree,3.78,process_tree,606.08
