step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.3,system,
10000,15.711,1.654,1.19,12.285714285714286,process_tree,3.76,process_tree,604.21
20000,26.776,4.551,3.978,16.4,process_tree,3.79,process_tree,608.52
30000,37.412,12.731,13.722,18.771428571428572,process_tree,3.81,process_tree,611.57
40000,47.388,38.01,33.172,9.214285714285714,process_tree,3.81,process_tree,612.22
50000,56.973,35.813,34.579,12.285714285714286,process_tree,3.81,process_tree,612.18
60000,67.119,48.8,35.724,7.107142857142857,process_tree,3.82,process_tree,612.3
70000,76.945,74.138,33.002,11.164285714285715,process_tree,3.82,process_tree,612.39
80000,88.208,1.673,9.228,35.51428571428571,process_tree,3.81,process_tree,610.84
90000,100.034,0.492,0.405,6.142857142857143,process_tree,3.81,process_tree,611.79
100000,112.285,1.148,2.163,14.25,process_tree,3.82,process_tree,612.36
110000,123.048,4.438,9.003,8.114285714285714,process_tree,3.81,process_tree,612.21
120000,132.743,9.483,14.378,12.278571428571427,process_tree,3.8,process_tree,610.42
130000,141.833,26.647,37.835,13.285714285714286,process_tree,3.81,process_tree,612.16
140000,152.117,76.173,39.645,7.1000000000000005,process_tree,3.82,process_tree,612.49
150000,162.091,83.458,36.989,9.214285714285714,process_tree,3.82,process_tree,612.86
160000,171.478,100.0,0.0,18.342857142857145,process_tree,3.82,process_tree,612.86
170000,181.746,91.064,28.259,23.442857142857143,process_tree,3.82,process_tree,612.47
180000,191.29,65.129,47.216,10.235714285714286,process_tree,3.82,process_tree,612.94
190000,201.016,83.238,32.353,11.235714285714286,process_tree,3.82,process_tree,612.47
200000,211.534,76.92,38.265,8.121428571428572,process_tree,3.81,process_tree,611.57
210000,221.261,61.433,47.396,7.1000000000000005,process_tree,3.82,process_tree,613.11
220000,231.074,100.0,0.0,28.435714285714287,process_tree,3.82,process_tree,612.68
230000,241.087,78.9,33.774,7.1000000000000005,process_tree,3.81,process_tree,611.68
240000,250.618,78.264,35.172,23.400000000000002,process_tree,3.82,process_tree,612.54
250000,260.318,76.279,39.649,6.085714285714286,process_tree,3.81,process_tree,611.79
260000,270.296,85.323,34.106,7.1000000000000005,process_tree,3.82,process_tree,613.16
270000,280.535,71.593,35.777,12.285714285714286,process_tree,3.82,process_tree,613.23
280000,289.615,100.0,0.0,29.52142857142857,process_tree,3.82,process_tree,612.73
290000,299.562,90.16,29.52,16.335714285714285,process_tree,3.82,process_tree,613.24
300000,309.744,100.0,0.0,8.114285714285714,process_tree,3.82,process_tree,613.32
310000,319.402,100.0,0.0,7.164285714285714,process_tree,3.82,process_tree,613.17
320000,329.894,100.0,0.0,6.142857142857143,process_tree,3.82,process_tree,613.38
330000,339.417,95.308,15.561,7.1000000000000005,process_tree,3.82,process_tree,613.38
340000,348.513,100.0,0.0,7.164285714285714,process_tree,3.82,process_tree,613.41
350000,358.873,81.531,33.828,10.142857142857142,process_tree,3.82,process_tree,613.02
360000,368.557,100.0,0.0,7.271428571428571,process_tree,3.82,process_tree,613.48
370000,378.129,100.0,0.0,6.085714285714286,process_tree,3.82,process_tree,613.68
380000,388.632,100.0,0.0,7.164285714285714,process_tree,3.82,process_tree,612.7
390000,398.245,92.967,23.327,11.157142857142857,process_tree,3.83,process_tree,614.08
400000,407.84,2.971,11.074,11.25,process_tree,3.83,process_tree,614.12
410000,418.167,8.068,19.879,6.085714285714286,process_tree,3.83,process_tree,614.06
420000,428.368,32.748,44.578,5.071428571428571,process_tree,3.83,process_tree,614.09
430000,438.329,75.15,43.042,30.464285714285715,process_tree,3.82,process_tree,613.88
440000,447.768,46.742,46.368,20.478571428571428,process_tree,3.82,process_tree,613.37
450000,458.068,45.259,43.923,17.25,process_tree,3.83,process_tree,614.12
460000,468.139,47.406,47.791,14.328571428571431,process_tree,3.82,process_tree,613.81
470000,477.977,73.46,44.012,22.27857142857143,process_tree,3.81,process_tree,612.06
480000,488.306,100.0,0.0,10.207142857142857,process_tree,3.82,process_tree,613.77
490000,498.473,80.153,39.694,6.142857142857143,process_tree,3.83,process_tree,614.27
500000,507.833,59.172,39.611,7.1000000000000005,process_tree,3.89,process_tree,624.2
510000,517.898,56.165,31.526,6.142857142857143,process_tree,3.89,process_tree,624.52
520000,527.171,63.927,38.665,7.1000000000000005,process_tree,3.89,process_tree,624.84
530000,537.276,100.0,0.0,6.142857142857143,process_tree,3.89,process_tree,624.85
540000,547.404,26.834,42.789,8.192857142857143,process_tree,3.89,process_tree,624.76
550000,557.26,90.02,29.94,7.164285714285714,process_tree,3.89,process_tree,624.95
560000,567.409,89.642,27.686,11.264285714285714,process_tree,3.89,process_tree,624.04
570000,576.26,71.356,39.784,8.192857142857143,process_tree,3.9,process_tree,625.15
580000,586.819,72.05,40.132,7.164285714285714,process_tree,3.89,process_tree,624.77
590000,596.343,66.675,39.225,7.164285714285714,process_tree,3.89,process_tree,624.95
600000,606.288,46.931,49.143,9.214285714285714,process_tree,3.89,process_tree,624.98
610000,616.137,67.344,46.211,11.242857142857142,process_tree,3.9,process_tree,625.64
620000,626.25,40.272,46.721,9.15,process_tree,3.9,process_tree,626.13
630000,636.356,6.101,21.033,6.142857142857143,process_tree,3.91,process_tree,626.8
640000,647.086,2.371,11.988,10.235714285714286,process_tree,3.9,process_tree,626.39
650000,657.298,23.844,38.809,11.87142857142857,process_tree,3.9,process_tree,625.62
660000,666.485,92.385,26.38,7.164285714285714,process_tree,3.9,process_tree,625.81
670000,676.275,91.738,26.262,6.142857142857143,process_tree,3.9,process_tree,626.15
