step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.5,system,
10000,13.967,1.125,0.672,14.200000000000001,process_tree,3.72,process_tree,596.95
20000,23.629,1.446,0.782,7.1000000000000005,process_tree,3.73,process_tree,599.11
30000,32.612,2.414,1.554,8.121428571428572,process_tree,3.74,process_tree,599.6
40000,41.324,3.014,2.221,9.192857142857141,process_tree,3.74,process_tree,599.76
50000,49.857,4.419,3.733,7.107142857142857,process_tree,3.74,process_tree,599.97
60000,58.297,4.223,3.894,13.242857142857144,process_tree,3.74,process_tree,600.42
70000,66.774,5.027,4.01,9.192857142857141,process_tree,3.74,process_tree,600.8
80000,75.302,6.073,5.473,22.457142857142856,process_tree,3.74,process_tree,600.8
90000,83.056,12.72,10.519,8.314285714285715,process_tree,3.75,process_tree,602.56
100000,91.61,35.557,32.084,10.171428571428573,process_tree,3.76,process_tree,603.34
110000,99.585,25.9,21.513,24.42142857142857,process_tree,3.76,process_tree,602.75
120000,107.755,20.052,19.385,18.257142857142856,process_tree,3.76,process_tree,603.89
130000,115.755,26.92,27.398,7.142857142857143,process_tree,3.76,process_tree,603.43
140000,123.574,28.082,31.631,7.164285714285714,process_tree,3.76,process_tree,603.06
150000,131.796,19.411,15.091,10.235714285714286,process_tree,3.76,process_tree,603.4
160000,139.564,17.8,13.2,11.185714285714285,process_tree,3.76,process_tree,602.82
170000,147.849,29.734,34.919,26.449999999999996,process_tree,3.76,process_tree,602.93
180000,155.529,17.705,14.968,6.142857142857143,process_tree,3.76,process_tree,603.36
190000,163.518,35.073,26.028,8.178571428571429,process_tree,3.76,process_tree,603.6
200000,171.499,66.114,31.204,17.392857142857142,process_tree,3.76,process_tree,603.15
210000,179.379,17.236,19.811,15.071428571428571,process_tree,3.76,process_tree,603.21
220000,187.302,19.667,17.881,7.164285714285714,process_tree,3.76,process_tree,603.89
230000,195.489,15.918,18.125,18.271428571428572,process_tree,3.76,process_tree,603.41
240000,204.22,18.865,9.666,32.57857142857143,process_tree,3.76,process_tree,604.02
250000,212.228,67.714,38.189,16.314285714285713,process_tree,3.76,process_tree,603.15
260000,219.991,98.678,3.74,36.771428571428565,process_tree,3.76,process_tree,603.97
270000,228.231,100.0,0.0,8.121428571428572,process_tree,3.76,process_tree,603.99
280000,236.732,100.0,0.0,6.25,process_tree,3.76,process_tree,603.14
290000,244.583,100.0,0.0,7.164285714285714,process_tree,3.76,process_tree,603.64
300000,253.256,100.0,0.0,12.178571428571429,process_tree,3.76,process_tree,603.9
