step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,69.7,system,
10000,13.228,0.996,0.63,8.185714285714285,process_tree,3.76,process_tree,602.72
20000,22.367,1.411,0.834,7.128571428571428,process_tree,3.77,process_tree,604.61
30000,30.054,1.801,1.029,9.157142857142857,process_tree,3.77,process_tree,604.93
40000,38.794,2.605,1.773,8.185714285714285,process_tree,3.77,process_tree,605.38
50000,46.066,4.129,3.384,7.1000000000000005,process_tree,3.78,process_tree,606.21
60000,54.612,7.129,6.944,26.592857142857145,process_tree,3.78,process_tree,606.67
70000,62.654,16.612,18.418,8.17142857142857,process_tree,3.78,process_tree,606.64
80000,69.536,59.756,37.472,22.107142857142858,process_tree,3.78,process_tree,606.96
90000,77.376,93.055,14.769,21.47142857142857,process_tree,3.78,process_tree,607.31
100000,84.117,100.0,0.0,7.1000000000000005,process_tree,3.79,process_tree,607.61
110000,92.01,100.0,0.0,12.2,process_tree,3.79,process_tree,608.0
120000,98.882,91.75,27.362,8.192857142857143,process_tree,3.79,process_tree,608.05
130000,106.599,84.754,35.755,12.392857142857142,process_tree,3.79,process_tree,608.72
140000,114.974,100.0,0.0,24.521428571428572,process_tree,3.79,process_tree,608.94
150000,121.719,91.75,27.362,33.72142857142857,process_tree,3.79,process_tree,608.96
160000,129.584,100.0,0.0,17.342857142857145,process_tree,3.79,process_tree,608.7
170000,136.553,100.0,0.0,28.321428571428573,process_tree,3.79,process_tree,608.66
180000,144.415,100.0,0.0,32.54285714285714,process_tree,3.79,process_tree,608.77
190000,151.287,100.0,0.0,8.185714285714285,process_tree,3.79,process_tree,608.77
200000,159.096,100.0,0.0,19.364285714285717,process_tree,3.79,process_tree,608.6
