step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.1,system,
10000,13.256,1.135,0.681,12.214285714285714,process_tree,3.73,process_tree,598.62
20000,20.805,1.451,0.888,10.085714285714285,process_tree,3.74,process_tree,600.41
30000,28.996,1.738,1.056,24.50714285714286,process_tree,3.75,process_tree,601.13
40000,36.258,2.578,1.718,10.978571428571428,process_tree,3.75,process_tree,601.07
50000,43.978,3.295,2.397,9.214285714285714,process_tree,3.75,process_tree,601.57
60000,51.491,6.202,5.014,26.592857142857145,process_tree,3.75,process_tree,602.15
70000,58.938,9.001,9.666,7.264285714285714,process_tree,3.75,process_tree,602.52
80000,66.127,19.326,21.541,15.314285714285713,process_tree,3.76,process_tree,603.07
90000,73.388,51.276,40.014,39.635714285714286,process_tree,3.76,process_tree,603.13
100000,80.055,71.9,40.401,11.178571428571429,process_tree,3.76,process_tree,604.25
110000,87.3,83.46,33.874,38.885714285714286,process_tree,3.76,process_tree,603.82
120000,94.663,90.991,28.489,21.478571428571428,process_tree,3.76,process_tree,603.88
130000,101.914,90.991,28.489,19.55,process_tree,3.76,process_tree,603.65
140000,108.88,100.0,0.0,22.41428571428571,process_tree,3.76,process_tree,604.05
150000,116.13,79.131,36.234,9.214285714285714,process_tree,3.76,process_tree,603.76
160000,123.412,87.825,32.212,12.242857142857144,process_tree,3.76,process_tree,603.78
170000,130.547,69.263,45.595,8.121428571428572,process_tree,3.76,process_tree,603.71
180000,137.29,71.958,36.711,9.200000000000001,process_tree,3.76,process_tree,603.76
190000,144.504,56.156,43.957,18.771428571428572,process_tree,3.76,process_tree,603.95
200000,151.587,56.822,48.285,33.58571428571428,process_tree,3.76,process_tree,604.18
210000,158.745,57.771,48.765,8.178571428571429,process_tree,3.77,process_tree,604.41
220000,166.046,91.691,26.276,12.264285714285714,process_tree,3.76,process_tree,604.12
230000,173.26,69.912,44.131,25.457142857142856,process_tree,3.76,process_tree,604.14
240000,180.471,87.763,32.377,14.271428571428572,process_tree,3.76,process_tree,604.09
250000,187.435,67.333,46.2,16.25,process_tree,3.67,process_tree,589.72
260000,194.358,84.862,35.503,12.228571428571428,process_tree,3.68,process_tree,590.02
270000,200.884,100.0,0.0,10.857142857142858,process_tree,3.67,process_tree,589.62
280000,208.168,91.027,28.374,17.392857142857142,process_tree,3.68,process_tree,590.38
290000,215.201,91.942,26.726,34.221428571428575,process_tree,3.68,process_tree,590.39
300000,221.903,100.0,0.0,35.778571428571425,process_tree,3.68,process_tree,590.52
310000,229.447,89.222,30.484,15.335714285714285,process_tree,3.68,process_tree,590.14
320000,235.609,100.0,0.0,6.142857142857143,process_tree,3.68,process_tree,590.31
330000,242.773,60.638,44.305,7.1000000000000005,process_tree,3.68,process_tree,590.55
340000,249.63,70.879,44.422,7.164285714285714,process_tree,3.68,process_tree,590.47
350000,257.063,82.878,32.177,7.1000000000000005,process_tree,3.68,process_tree,590.46
360000,263.698,57.656,47.602,7.164285714285714,process_tree,3.68,process_tree,590.48
370000,270.938,44.444,47.117,7.164285714285714,process_tree,3.68,process_tree,590.72
380000,277.881,62.915,44.805,6.142857142857143,process_tree,3.68,process_tree,591.05
390000,285.528,32.233,33.22,23.485714285714284,process_tree,3.68,process_tree,590.44
400000,292.465,19.609,10.086,17.342857142857145,process_tree,3.68,process_tree,590.72
410000,299.503,25.929,18.678,9.192857142857141,process_tree,3.68,process_tree,590.81
420000,306.395,63.278,28.54,17.335714285714285,process_tree,3.69,process_tree,591.49
430000,313.39,47.627,25.992,26.464285714285715,process_tree,3.68,process_tree,591.12
440000,320.572,100.0,0.0,50.14999999999999,process_tree,3.69,process_tree,591.61
450000,326.964,94.658,17.716,30.55,process_tree,3.69,process_tree,591.89
460000,333.252,91.43,25.71,11.242857142857144,process_tree,3.69,process_tree,592.05
470000,340.264,47.783,33.234,15.299999999999999,process_tree,3.69,process_tree,591.9
480000,347.264,31.662,20.041,7.164285714285714,process_tree,3.69,process_tree,592.17
490000,355.174,53.8,30.588,14.200000000000001,process_tree,3.69,process_tree,591.83
500000,361.508,100.0,0.0,7.164285714285714,process_tree,3.74,process_tree,600.75
510000,368.895,100.0,0.0,6.085714285714286,process_tree,3.75,process_tree,601.65
520000,376.275,60.905,46.038,7.1000000000000005,process_tree,3.75,process_tree,601.85
530000,383.48,100.0,0.0,7.164285714285714,process_tree,3.75,process_tree,601.55
540000,390.598,100.0,0.0,7.164285714285714,process_tree,3.75,process_tree,602.23
550000,397.63,100.0,0.0,4.0928571428571425,process_tree,3.75,process_tree,602.24
560000,404.711,100.0,0.0,6.142857142857143,process_tree,3.75,process_tree,602.61
570000,411.938,100.0,0.0,7.1000000000000005,process_tree,3.76,process_tree,602.84
