step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,61.9,system,
10000,12.274,0.96,0.605,17.32857142857143,process_tree,3.83,process_tree,614.02
20000,19.442,1.017,0.611,9.207142857142857,process_tree,3.84,process_tree,616.25
30000,26.47,1.138,0.727,10.207142857142857,process_tree,3.85,process_tree,617.42
40000,33.503,1.009,0.56,22.50714285714286,process_tree,3.84,process_tree,616.33
50000,40.464,1.242,0.712,23.535714285714285,process_tree,3.84,process_tree,616.39
60000,47.813,1.274,0.698,11.264285714285714,process_tree,3.84,process_tree,616.38
70000,54.865,1.386,0.755,7.107142857142857,process_tree,3.84,process_tree,616.46
80000,61.809,1.439,0.765,11.214285714285714,process_tree,3.84,process_tree,616.2
90000,68.663,1.51,0.739,28.599999999999998,process_tree,3.84,process_tree,616.23
100000,75.551,1.673,0.84,9.15,process_tree,3.84,process_tree,616.79
110000,82.293,1.716,0.906,17.335714285714285,process_tree,3.84,process_tree,616.96
120000,88.86,1.831,0.949,9.214285714285714,process_tree,3.84,process_tree,616.82
130000,95.589,2.096,1.175,8.17142857142857,process_tree,3.85,process_tree,617.26
140000,102.303,2.355,1.278,19.400000000000002,process_tree,3.85,process_tree,617.21
150000,109.231,2.628,1.624,31.550000000000004,process_tree,3.85,process_tree,617.38
160000,115.749,2.729,1.754,25.535714285714285,process_tree,3.85,process_tree,617.55
170000,122.186,3.234,2.404,37.84285714285714,process_tree,3.85,process_tree,617.56
180000,128.778,3.53,2.29,21.385714285714283,process_tree,3.85,process_tree,617.59
190000,135.229,3.666,2.886,22.142857142857142,process_tree,3.85,process_tree,617.84
200000,141.642,4.541,3.417,10.228571428571428,process_tree,3.85,process_tree,617.58
210000,147.981,5.527,4.723,17.307142857142857,process_tree,3.85,process_tree,617.68
220000,154.408,5.767,5.286,26.55,process_tree,3.85,process_tree,617.57
230000,160.697,6.166,5.909,29.449999999999996,process_tree,3.85,process_tree,617.65
240000,167.084,6.967,6.613,14.228571428571428,process_tree,3.85,process_tree,618.21
250000,173.716,7.128,6.705,28.62142857142857,process_tree,3.85,process_tree,618.21
260000,179.808,8.443,9.737,22.485714285714284,process_tree,3.85,process_tree,618.23
270000,186.067,8.682,10.706,12.257142857142856,process_tree,3.85,process_tree,618.36
280000,192.072,13.1,13.175,23.52857142857143,process_tree,3.85,process_tree,618.32
290000,198.197,16.137,15.016,19.27857142857143,process_tree,3.85,process_tree,618.26
300000,204.124,20.476,20.691,26.464285714285715,process_tree,3.85,process_tree,618.27
310000,210.157,17.18,21.298,7.164285714285714,process_tree,3.85,process_tree,618.3
320000,216.157,21.64,24.035,21.357142857142858,process_tree,3.85,process_tree,618.39
330000,222.346,17.198,19.923,32.74285714285714,process_tree,3.86,process_tree,618.91
340000,228.381,37.258,32.819,36.83571428571429,process_tree,3.86,process_tree,618.94
350000,234.92,45.257,34.738,14.278571428571427,process_tree,3.86,process_tree,619.22
360000,241.197,30.366,29.92,6.142857142857143,process_tree,3.86,process_tree,619.34
370000,247.136,61.985,35.858,8.178571428571429,process_tree,3.86,process_tree,619.81
380000,253.316,61.214,37.466,7.164285714285714,process_tree,3.86,process_tree,619.37
390000,259.273,68.553,37.483,6.142857142857143,process_tree,3.86,process_tree,619.48
400000,266.564,93.6,10.49,22.364285714285717,process_tree,3.86,process_tree,620.16
410000,272.425,86.067,26.85,13.299999999999999,process_tree,3.86,process_tree,620.1
420000,278.372,98.3,5.376,12.264285714285716,process_tree,3.86,process_tree,620.3
430000,284.415,89.056,30.956,34.57857142857143,process_tree,3.86,process_tree,619.91
440000,290.347,100.0,0.0,35.67142857142857,process_tree,3.86,process_tree,619.89
450000,296.74,100.0,0.0,9.214285714285714,process_tree,3.86,process_tree,620.19
460000,302.573,92.282,24.407,10.171428571428569,process_tree,3.87,process_tree,621.15
470000,308.714,100.0,0.0,37.871428571428574,process_tree,3.87,process_tree,621.52
480000,314.559,100.0,0.0,18.400000000000002,process_tree,3.87,process_tree,620.98
490000,320.523,100.0,0.0,28.5,process_tree,3.87,process_tree,620.92
500000,326.51,98.74,3.78,10.207142857142857,process_tree,3.9,process_tree,625.37
510000,332.754,100.0,0.0,34.79285714285714,process_tree,3.93,process_tree,631.51
