step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,48.3,system,
10000,12.436,1.193,0.755,8.285714285714286,process_tree,3.82,process_tree,612.36
20000,19.549,1.322,0.766,28.41428571428571,process_tree,3.83,process_tree,614.36
30000,26.873,1.562,0.994,16.321428571428573,process_tree,3.83,process_tree,614.48
40000,35.087,1.912,1.152,38.642857142857146,process_tree,3.83,process_tree,614.66
50000,42.071,2.648,2.01,24.414285714285715,process_tree,3.83,process_tree,615.21
60000,48.746,3.671,3.061,14.278571428571428,process_tree,3.84,process_tree,616.16
70000,55.149,4.584,3.771,14.314285714285713,process_tree,3.84,process_tree,616.12
80000,62.655,6.262,6.016,12.242857142857144,process_tree,3.84,process_tree,616.79
90000,69.434,11.987,12.465,34.8,process_tree,3.76,process_tree,603.79
100000,75.723,27.493,23.386,16.314285714285713,process_tree,3.76,process_tree,603.52
110000,82.054,42.772,29.868,10.164285714285713,process_tree,3.76,process_tree,603.53
120000,87.801,71.12,39.158,8.185714285714285,process_tree,3.77,process_tree,605.5
130000,95.071,40.388,39.699,39.628571428571426,process_tree,3.76,process_tree,604.18
140000,101.616,80.063,35.423,40.66428571428571,process_tree,3.77,process_tree,604.74
150000,107.651,94.12,17.64,23.50714285714286,process_tree,3.77,process_tree,604.46
160000,113.825,59.155,40.497,7.164285714285714,process_tree,3.77,process_tree,604.93
170000,121.376,90.1,29.7,16.321428571428573,process_tree,3.77,process_tree,604.57
180000,127.214,67.719,35.589,10.185714285714285,process_tree,3.77,process_tree,604.86
190000,133.165,37.1,18.883,19.307142857142853,process_tree,3.77,process_tree,605.08
200000,139.358,55.488,29.154,7.164285714285714,process_tree,3.77,process_tree,604.72
210000,146.708,95.438,12.071,32.54285714285714,process_tree,3.77,process_tree,605.16
220000,152.726,50.468,32.421,22.62142857142857,process_tree,3.77,process_tree,605.35
230000,158.993,44.815,34.036,25.55,process_tree,3.77,process_tree,605.2
240000,165.057,82.95,29.747,7.164285714285714,process_tree,3.77,process_tree,605.66
250000,172.067,87.95,28.364,24.535714285714285,process_tree,3.77,process_tree,605.57
260000,178.838,23.935,25.294,10.214285714285714,process_tree,3.78,process_tree,605.94
270000,185.097,22.595,18.061,34.778571428571425,process_tree,3.78,process_tree,605.91
280000,191.203,43.287,31.342,9.214285714285714,process_tree,3.77,process_tree,605.84
290000,198.577,74.63,29.325,19.357142857142858,process_tree,3.78,process_tree,606.68
300000,205.179,100.0,0.0,28.62857142857143,process_tree,3.77,process_tree,605.59
310000,211.121,49.372,36.099,36.74285714285714,process_tree,3.78,process_tree,606.39
320000,217.877,79.8,27.635,8.185714285714285,process_tree,3.78,process_tree,606.49
330000,224.452,46.655,32.188,13.25,process_tree,3.79,process_tree,607.74
340000,230.578,16.282,13.802,10.435714285714285,process_tree,3.78,process_tree,605.97
350000,237.085,32.219,19.2,21.607142857142858,process_tree,3.78,process_tree,606.02
360000,243.457,50.344,30.361,8.185714285714285,process_tree,3.78,process_tree,606.08
370000,250.668,67.647,35.563,16.25714285714286,process_tree,3.77,process_tree,605.68
380000,256.976,87.736,21.735,28.599999999999998,process_tree,3.78,process_tree,606.13
390000,263.298,68.144,36.925,10.171428571428573,process_tree,3.77,process_tree,605.8
400000,269.699,92.655,23.228,15.307142857142859,process_tree,3.78,process_tree,606.09
410000,276.813,62.705,34.036,34.09285714285714,process_tree,3.78,process_tree,607.39
420000,283.004,68.3,33.902,10.342857142857143,process_tree,3.78,process_tree,606.25
430000,289.098,33.353,25.499,23.52857142857143,process_tree,3.78,process_tree,606.7
440000,295.292,21.566,17.56,11.264285714285714,process_tree,3.78,process_tree,606.49
450000,302.03,51.726,39.403,7.164285714285714,process_tree,3.79,process_tree,607.52
460000,309.191,69.857,27.849,16.349999999999998,process_tree,3.78,process_tree,606.61
470000,315.539,100.0,0.0,17.714285714285715,process_tree,3.78,process_tree,606.76
480000,321.765,75.5,37.981,9.15,process_tree,3.78,process_tree,606.95
490000,327.776,92.65,24.377,7.1000000000000005,process_tree,3.78,process_tree,606.8
500000,335.186,68.853,38.212,14.200000000000001,process_tree,3.81,process_tree,611.46
510000,341.604,100.0,0.0,6.25,process_tree,3.84,process_tree,615.65
520000,347.824,100.0,0.0,26.464285714285715,process_tree,3.84,process_tree,616.02
530000,354.086,84.717,29.309,7.1000000000000005,process_tree,3.84,process_tree,616.96
540000,361.384,87.017,29.128,29.557142857142857,process_tree,3.84,process_tree,616.62
550000,367.252,67.607,35.228,31.514285714285712,process_tree,3.84,process_tree,616.85
560000,373.339,67.538,39.311,11.207142857142856,process_tree,3.85,process_tree,617.2
570000,379.59,43.975,34.561,27.57857142857143,process_tree,3.85,process_tree,617.14
580000,387.446,56.308,32.276,16.29285714285714,process_tree,3.85,process_tree,617.19
590000,393.817,91.95,19.307,29.66428571428571,process_tree,3.85,process_tree,618.33
600000,399.734,69.506,34.635,19.435714285714287,process_tree,3.85,process_tree,617.36
610000,406.094,60.453,29.734,31.678571428571427,process_tree,3.85,process_tree,617.39
620000,413.181,45.114,29.082,31.47142857142857,process_tree,3.84,process_tree,616.87
630000,419.279,68.624,31.15,21.428571428571427,process_tree,3.85,process_tree,617.73
640000,425.086,28.026,13.971,25.457142857142856,process_tree,3.84,process_tree,616.99
650000,431.453,27.394,10.666,17.32857142857143,process_tree,3.85,process_tree,617.41
