step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.8,system,
10000,12.286,1.196,0.717,23.478571428571428,process_tree,3.82,process_tree,612.45
20000,19.355,1.169,0.77,25.385714285714283,process_tree,3.83,process_tree,614.52
30000,26.452,1.183,0.742,8.128571428571428,process_tree,3.83,process_tree,615.21
40000,33.388,1.453,0.949,19.342857142857145,process_tree,3.84,process_tree,615.69
50000,40.523,1.617,1.128,15.292857142857143,process_tree,3.84,process_tree,616.67
60000,47.772,2.094,1.484,17.635714285714286,process_tree,3.84,process_tree,616.02
70000,54.494,2.457,1.946,26.400000000000002,process_tree,3.85,process_tree,617.17
80000,61.198,3.525,2.823,9.335714285714287,process_tree,3.84,process_tree,616.67
90000,67.788,4.23,3.562,14.457142857142857,process_tree,3.84,process_tree,616.57
100000,74.172,6.622,5.792,19.07857142857143,process_tree,3.85,process_tree,617.18
110000,80.241,11.124,11.399,19.27857142857143,process_tree,3.84,process_tree,616.81
120000,86.551,13.323,12.515,9.192857142857141,process_tree,3.84,process_tree,616.71
130000,92.685,9.673,7.252,9.242857142857144,process_tree,3.84,process_tree,616.02
140000,98.962,80.162,28.536,40.92142857142857,process_tree,3.86,process_tree,619.57
150000,105.253,96.642,11.138,13.407142857142857,process_tree,3.85,process_tree,617.29
160000,111.743,100.0,0.0,11.192857142857141,process_tree,3.85,process_tree,617.49
170000,117.966,100.0,0.0,23.478571428571428,process_tree,3.85,process_tree,617.13
180000,124.298,100.0,0.0,6.085714285714286,process_tree,3.86,process_tree,619.72
190000,130.449,100.0,0.0,7.1000000000000005,process_tree,3.85,process_tree,617.58
200000,137.937,100.0,0.0,37.885714285714286,process_tree,3.86,process_tree,619.49
