step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,63.9,system,
10000,13.753,1.592,1.231,18.32857142857143,process_tree,3.7,process_tree,594.61
20000,22.348,4.317,4.336,7.164285714285714,process_tree,3.72,process_tree,597.28
30000,30.492,14.824,16.946,7.164285714285714,process_tree,3.72,process_tree,597.77
40000,38.184,31.809,26.06,10.171428571428573,process_tree,3.72,process_tree,597.7
50000,46.051,42.146,40.813,9.12857142857143,process_tree,3.72,process_tree,597.57
60000,53.861,73.055,44.002,6.142857142857143,process_tree,3.72,process_tree,597.76
70000,61.408,100.0,0.0,17.400000000000002,process_tree,3.72,process_tree,597.71
80000,69.29,100.0,0.0,8.178571428571429,process_tree,3.72,process_tree,597.69
90000,76.898,100.0,0.0,6.25,process_tree,3.72,process_tree,597.56
100000,84.517,90.308,27.395,12.214285714285714,process_tree,3.72,process_tree,597.43
110000,92.937,100.0,0.0,7.164285714285714,process_tree,3.73,process_tree,597.95
120000,100.551,97.989,5.688,36.521428571428565,process_tree,3.73,process_tree,598.07
130000,108.385,90.03,29.91,6.25,process_tree,3.72,process_tree,597.82
140000,115.959,100.0,0.0,7.164285714285714,process_tree,3.72,process_tree,597.79
150000,123.779,87.13,30.091,7.1571428571428575,process_tree,3.72,process_tree,597.66
160000,131.608,84.8,35.649,15.342857142857143,process_tree,3.72,process_tree,597.77
170000,139.604,80.367,39.27,9.142857142857142,process_tree,3.73,process_tree,597.93
180000,147.417,80.18,39.641,13.192857142857141,process_tree,3.73,process_tree,597.9
190000,155.751,100.0,0.0,6.142857142857143,process_tree,3.73,process_tree,597.96
200000,163.242,100.0,0.0,9.192857142857141,process_tree,3.73,process_tree,597.95
210000,171.47,73.127,43.883,32.7,process_tree,3.72,process_tree,597.68
220000,179.161,86.05,34.172,27.642857142857142,process_tree,3.72,process_tree,597.71
230000,186.72,48.356,47.582,7.1000000000000005,process_tree,3.73,process_tree,598.11
240000,194.455,55.733,49.492,26.942857142857143,process_tree,3.73,process_tree,598.06
250000,202.17,37.808,48.174,14.321428571428571,process_tree,3.73,process_tree,597.87
260000,209.947,16.592,36.241,18.428571428571427,process_tree,3.73,process_tree,597.91
270000,218.291,70.735,45.337,11.264285714285714,process_tree,3.73,process_tree,597.93
280000,226.019,37.589,47.87,7.1000000000000005,process_tree,3.73,process_tree,598.27
290000,233.999,90.07,29.79,16.70714285714286,process_tree,3.63,process_tree,583.17
300000,241.991,60.46,48.427,12.285714285714286,process_tree,3.63,process_tree,582.86
310000,249.975,52.565,49.544,6.085714285714286,process_tree,3.63,process_tree,582.76
320000,257.395,61.467,48.304,9.214285714285714,process_tree,3.63,process_tree,582.95
330000,265.087,63.621,47.632,13.25,process_tree,3.63,process_tree,582.92
340000,272.637,55.828,49.386,25.45,process_tree,3.63,process_tree,582.88
350000,280.468,100.0,0.0,41.91428571428571,process_tree,3.63,process_tree,582.88
360000,288.446,91.036,28.346,7.164285714285714,process_tree,3.63,process_tree,582.83
370000,296.087,92.377,26.407,9.15,process_tree,3.63,process_tree,582.95
380000,303.523,100.0,0.0,9.15,process_tree,3.64,process_tree,583.55
390000,311.444,80.2,39.6,10.207142857142857,process_tree,3.64,process_tree,583.78
400000,319.042,100.0,0.0,9.214285714285714,process_tree,3.64,process_tree,583.73
410000,326.805,71.686,44.769,21.32857142857143,process_tree,3.64,process_tree,583.62
420000,334.818,77.062,41.88,20.478571428571428,process_tree,3.64,process_tree,583.48
430000,342.922,80.207,39.587,7.1000000000000005,process_tree,3.64,process_tree,583.98
440000,350.471,100.0,0.0,10.235714285714286,process_tree,3.64,process_tree,583.98
450000,358.299,100.0,0.0,24.357142857142858,process_tree,3.64,process_tree,584.01
460000,365.819,100.0,0.0,8.178571428571429,process_tree,3.64,process_tree,584.04
470000,373.325,100.0,0.0,7.164285714285714,process_tree,3.64,process_tree,583.95
480000,381.041,100.0,0.0,12.285714285714286,process_tree,3.64,process_tree,583.51
