step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,78.0,system,
10000,11.7,1.135,0.68,20.464285714285715,process_tree,3.82,process_tree,612.65
20000,17.805,1.155,0.704,13.192857142857141,process_tree,3.97,process_tree,637.16
30000,24.093,1.156,0.71,27.464285714285715,process_tree,4.11,process_tree,658.84
40000,30.614,1.211,0.737,8.121428571428572,process_tree,4.24,process_tree,679.85
50000,37.083,1.11,0.709,14.314285714285713,process_tree,4.37,process_tree,701.8
60000,43.253,1.196,0.775,15.357142857142858,process_tree,4.52,process_tree,725.23
70000,49.808,1.118,0.728,18.264285714285712,process_tree,4.65,process_tree,746.21
80000,55.976,1.148,0.669,13.271428571428572,process_tree,4.78,process_tree,767.24
90000,62.358,1.118,0.684,9.028571428571428,process_tree,4.92,process_tree,790.16
100000,68.651,1.17,0.741,39.199999999999996,process_tree,5.06,process_tree,811.97
110000,74.673,1.181,0.718,25.57857142857143,process_tree,5.21,process_tree,835.75
120000,81.23,1.174,0.745,17.349999999999998,process_tree,5.31,process_tree,852.88
130000,87.67,1.122,0.691,10.707142857142857,process_tree,5.44,process_tree,873.89
140000,93.867,1.174,0.755,12.264285714285714,process_tree,5.58,process_tree,896.2
150000,99.988,1.165,0.715,25.52857142857143,process_tree,5.72,process_tree,917.66
160000,106.19,1.179,0.707,21.32857142857143,process_tree,5.86,process_tree,939.83
170000,112.155,1.199,0.808,17.335714285714285,process_tree,5.99,process_tree,961.11
180000,118.309,1.091,0.654,8.121428571428572,process_tree,6.12,process_tree,982.93
190000,124.457,1.157,0.69,8.4,process_tree,6.26,process_tree,1004.31
200000,131.214,1.117,0.709,14.257142857142856,process_tree,6.4,process_tree,1026.79
210000,210.609,1.239,0.846,12.492857142857144,process_tree,4.5,process_tree,722.23
220000,216.5,1.437,0.946,7.271428571428571,process_tree,4.44,process_tree,711.95
230000,222.622,1.432,0.95,18.385714285714283,process_tree,4.45,process_tree,713.52
240000,228.686,1.473,1.024,12.242857142857144,process_tree,4.5,process_tree,722.0
250000,234.953,1.499,1.019,33.76428571428571,process_tree,4.55,process_tree,730.59
260000,241.253,1.434,0.956,22.407142857142855,process_tree,4.59,process_tree,736.85
270000,247.384,1.443,0.873,41.728571428571435,process_tree,4.66,process_tree,747.79
280000,253.667,1.48,0.893,17.37142857142857,process_tree,4.78,process_tree,766.62
290000,259.658,1.534,0.959,21.435714285714287,process_tree,4.95,process_tree,794.68
300000,266.022,1.455,0.947,11.192857142857141,process_tree,5.11,process_tree,820.61
