step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,76.8,system,
10000,11.974,1.092,0.71,22.50714285714286,process_tree,3.82,process_tree,613.66
20000,18.217,1.176,0.769,15.285714285714286,process_tree,3.97,process_tree,636.88
30000,24.982,1.114,0.693,16.25,process_tree,4.12,process_tree,660.91
40000,31.654,1.147,0.689,20.057142857142857,process_tree,4.24,process_tree,681.16
50000,38.27,1.164,0.69,24.457142857142856,process_tree,4.39,process_tree,704.25
60000,44.784,1.158,0.696,22.00714285714286,process_tree,4.51,process_tree,723.59
70000,51.372,1.098,0.692,13.87142857142857,process_tree,4.67,process_tree,748.9
80000,58.011,1.186,0.739,16.428571428571427,process_tree,4.8,process_tree,770.39
90000,64.621,1.156,0.735,26.585714285714285,process_tree,4.93,process_tree,791.28
100000,71.252,1.153,0.732,23.635714285714283,process_tree,5.07,process_tree,813.86
110000,77.8,1.126,0.719,13.285714285714286,process_tree,5.18,process_tree,831.9
120000,84.514,1.143,0.722,17.37142857142857,process_tree,5.33,process_tree,855.02
130000,90.926,1.149,0.686,15.35,process_tree,5.48,process_tree,879.25
140000,97.413,1.241,0.804,9.314285714285715,process_tree,5.59,process_tree,896.62
150000,103.907,1.184,0.701,8.121428571428572,process_tree,5.73,process_tree,918.89
160000,110.718,1.134,0.674,23.485714285714284,process_tree,5.86,process_tree,940.45
170000,117.182,1.141,0.71,9.2,process_tree,5.99,process_tree,961.72
180000,123.59,1.173,0.729,31.47142857142857,process_tree,6.13,process_tree,983.54
190000,130.181,1.2,0.724,10.207142857142857,process_tree,6.26,process_tree,1005.22
200000,137.014,1.152,0.712,24.442857142857147,process_tree,6.4,process_tree,1027.12
210000,143.489,1.14,0.718,18.285714285714285,process_tree,6.53,process_tree,1048.81
220000,150.015,1.142,0.696,9.192857142857145,process_tree,6.67,process_tree,1069.73
230000,156.454,1.165,0.719,13.549999999999999,process_tree,6.8,process_tree,1092.1
240000,162.776,1.171,0.659,18.364285714285717,process_tree,6.94,process_tree,1113.64
250000,169.909,1.113,0.71,9.15,process_tree,7.07,process_tree,1134.58
260000,176.496,1.135,0.696,24.542857142857144,process_tree,7.21,process_tree,1157.18
270000,183.031,1.092,0.641,19.335714285714285,process_tree,7.34,process_tree,1178.83
280000,189.698,1.17,0.686,10.242857142857144,process_tree,7.48,process_tree,1200.35
290000,196.203,1.211,0.731,16.985714285714288,process_tree,7.62,process_tree,1222.27
300000,202.573,1.22,0.73,13.257142857142856,process_tree,7.75,process_tree,1244.32
310000,209.822,1.149,0.742,9.214285714285714,process_tree,7.89,process_tree,1266.02
320000,216.318,1.158,0.727,18.164285714285715,process_tree,8.02,process_tree,1286.96
330000,222.875,1.154,0.677,12.978571428571428,process_tree,8.16,process_tree,1308.93
340000,229.639,1.131,0.714,12.285714285714286,process_tree,8.29,process_tree,1330.73
350000,235.994,1.169,0.712,11.178571428571429,process_tree,8.42,process_tree,1352.09
360000,395.675,1.229,0.797,19.414285714285715,process_tree,4.79,process_tree,768.62
370000,401.786,1.436,0.971,36.800000000000004,process_tree,4.74,process_tree,761.36
380000,408.133,1.417,0.927,33.56428571428571,process_tree,4.73,process_tree,759.62
390000,414.423,1.358,0.886,20.442857142857147,process_tree,4.76,process_tree,763.77
400000,420.692,1.46,0.926,17.1,process_tree,4.79,process_tree,768.62
410000,427.255,1.387,0.965,27.614285714285717,process_tree,4.86,process_tree,780.67
420000,433.612,1.408,0.892,7.1000000000000005,process_tree,4.94,process_tree,792.96
430000,440.042,1.464,0.929,28.607142857142858,process_tree,5.0,process_tree,803.01
440000,446.408,1.39,0.933,12.221428571428572,process_tree,5.09,process_tree,817.12
450000,452.654,1.394,0.801,25.542857142857144,process_tree,5.22,process_tree,838.55
460000,459.218,1.412,1.004,26.557142857142853,process_tree,5.41,process_tree,868.04
470000,465.54,1.354,0.923,21.478571428571428,process_tree,5.56,process_tree,891.58
480000,471.832,1.445,0.945,23.478571428571428,process_tree,5.66,process_tree,908.55
490000,478.371,1.444,1.014,17.264285714285712,process_tree,5.43,process_tree,871.75
500000,484.46,1.445,0.912,18.357142857142858,process_tree,5.63,process_tree,904.26
510000,490.53,1.43,0.942,9.192857142857141,process_tree,5.77,process_tree,925.67
520000,497.246,1.389,0.932,31.864285714285717,process_tree,5.9,process_tree,947.34
530000,503.627,1.406,0.927,23.521428571428572,process_tree,6.04,process_tree,968.77
540000,510.071,1.363,0.841,25.457142857142856,process_tree,6.17,process_tree,990.96
550000,516.387,1.414,0.879,15.342857142857143,process_tree,6.31,process_tree,1012.27
560000,522.642,1.426,0.896,7.164285714285714,process_tree,6.44,process_tree,1033.73
