step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,76.7,system,
10000,11.673,1.219,0.777,8.192857142857143,process_tree,3.82,process_tree,612.86
20000,17.864,1.189,0.662,15.278571428571427,process_tree,3.96,process_tree,636.31
30000,23.975,1.197,0.758,14.900000000000002,process_tree,4.11,process_tree,659.42
40000,30.26,1.207,0.721,13.25,process_tree,4.24,process_tree,680.21
50000,36.594,1.256,0.725,19.285714285714285,process_tree,4.37,process_tree,701.95
60000,42.832,1.162,0.704,24.385714285714283,process_tree,4.53,process_tree,726.6
70000,49.383,1.166,0.726,8.121428571428572,process_tree,4.66,process_tree,747.79
80000,55.694,1.146,0.653,19.385714285714283,process_tree,4.8,process_tree,769.81
90000,61.991,1.182,0.723,19.357142857142858,process_tree,4.93,process_tree,791.43
100000,68.388,1.148,0.69,18.357142857142858,process_tree,5.07,process_tree,814.3
110000,74.609,1.168,0.741,22.392857142857142,process_tree,5.22,process_tree,837.94
120000,81.256,1.161,0.723,9.15,process_tree,5.32,process_tree,853.95
130000,87.446,1.184,0.688,28.35,process_tree,5.45,process_tree,874.46
140000,93.474,1.213,0.805,15.314285714285713,process_tree,5.59,process_tree,896.52
150000,100.203,1.12,0.634,17.264285714285712,process_tree,5.72,process_tree,917.96
160000,106.477,1.185,0.706,17.485714285714288,process_tree,5.85,process_tree,939.69
170000,112.892,1.1,0.674,13.242857142857144,process_tree,5.99,process_tree,961.26
180000,119.261,1.194,0.695,10.171428571428573,process_tree,6.13,process_tree,983.2
190000,125.52,1.132,0.687,10.042857142857143,process_tree,6.26,process_tree,1004.2
200000,132.041,1.203,0.726,45.75,process_tree,6.39,process_tree,1026.36
210000,138.341,1.172,0.748,18.42142857142857,process_tree,6.53,process_tree,1048.29
220000,144.534,1.221,0.677,56.91428571428572,process_tree,6.67,process_tree,1070.05
230000,232.001,1.177,0.729,13.25,process_tree,4.84,process_tree,776.07
240000,238.272,1.098,0.648,19.414285714285715,process_tree,4.65,process_tree,745.87
250000,244.517,1.16,0.691,7.992857142857143,process_tree,4.68,process_tree,751.33
260000,250.735,1.143,0.718,15.321428571428571,process_tree,4.67,process_tree,749.19
270000,257.028,1.104,0.623,18.32857142857143,process_tree,4.7,process_tree,754.2
280000,263.364,1.168,0.701,14.292857142857144,process_tree,4.76,process_tree,764.36
290000,269.591,1.148,0.69,19.27857142857143,process_tree,4.82,process_tree,772.97
300000,275.782,1.114,0.726,8.178571428571429,process_tree,4.86,process_tree,779.93
310000,282.294,1.217,0.754,22.464285714285715,process_tree,4.95,process_tree,794.74
320000,288.411,1.21,0.74,7.164285714285714,process_tree,5.11,process_tree,819.84
330000,294.955,1.132,0.621,8.121428571428572,process_tree,5.26,process_tree,843.76
340000,301.279,1.171,0.704,17.335714285714285,process_tree,5.39,process_tree,864.64
350000,307.522,1.149,0.732,17.385714285714283,process_tree,5.49,process_tree,881.61
360000,314.202,1.094,0.681,24.371428571428574,process_tree,5.52,process_tree,885.89
370000,320.391,1.166,0.736,15.292857142857143,process_tree,5.65,process_tree,907.59
380000,326.738,1.127,0.674,23.428571428571427,process_tree,5.79,process_tree,929.56
390000,333.063,1.141,0.705,21.478571428571428,process_tree,5.93,process_tree,951.25
400000,339.769,1.12,0.674,17.392857142857142,process_tree,6.06,process_tree,972.59
410000,346.019,1.137,0.706,10.207142857142857,process_tree,6.2,process_tree,994.66
420000,352.437,1.14,0.708,15.157142857142857,process_tree,6.33,process_tree,1016.2
430000,358.82,1.122,0.639,15.292857142857143,process_tree,6.46,process_tree,1036.72
440000,365.18,1.138,0.74,26.557142857142857,process_tree,6.6,process_tree,1059.1
450000,372.022,1.138,0.737,8.178571428571429,process_tree,6.73,process_tree,1080.41
460000,458.833,1.352,0.867,9.135714285714286,process_tree,4.83,process_tree,775.02
