step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,46.7,system,
10000,11.92,1.164,0.667,6.371428571428572,process_tree,3.83,process_tree,614.95
20000,18.608,1.165,0.703,19.400000000000002,process_tree,3.98,process_tree,638.69
30000,25.291,1.227,0.705,33.550000000000004,process_tree,4.12,process_tree,661.41
40000,32.031,1.239,0.836,12.271428571428572,process_tree,4.26,process_tree,684.5
50000,38.76,1.219,0.758,22.457142857142856,process_tree,4.39,process_tree,704.68
60000,45.287,1.219,0.693,26.592857142857145,process_tree,4.53,process_tree,727.56
70000,52.103,1.179,0.684,33.76428571428571,process_tree,4.66,process_tree,747.71
80000,58.776,1.154,0.729,20.478571428571428,process_tree,4.79,process_tree,768.91
90000,65.618,1.189,0.667,16.37142857142857,process_tree,4.93,process_tree,790.55
100000,72.242,1.165,0.689,27.485714285714288,process_tree,5.06,process_tree,812.48
110000,78.788,1.209,0.759,28.49285714285714,process_tree,5.21,process_tree,835.71
120000,86.04,1.202,0.763,15.328571428571431,process_tree,5.35,process_tree,858.95
130000,92.696,1.139,0.647,25.57857142857143,process_tree,5.46,process_tree,877.09
140000,99.345,1.179,0.767,9.007142857142856,process_tree,5.6,process_tree,898.94
150000,106.52,1.13,0.686,38.864285714285714,process_tree,5.74,process_tree,920.68
160000,113.089,1.189,0.683,11.185714285714285,process_tree,5.87,process_tree,941.72
170000,119.624,1.158,0.678,9.2,process_tree,6.01,process_tree,964.17
180000,126.139,1.185,0.709,18.164285714285715,process_tree,6.14,process_tree,985.35
190000,132.697,1.118,0.609,10.207142857142857,process_tree,6.28,process_tree,1007.49
200000,140.061,1.144,0.64,9.128571428571428,process_tree,6.41,process_tree,1029.1
210000,146.654,1.202,0.677,22.47142857142857,process_tree,6.55,process_tree,1050.92
220000,153.129,1.209,0.742,9.214285714285714,process_tree,6.68,process_tree,1072.68
230000,159.678,1.167,0.661,29.50714285714286,process_tree,6.81,process_tree,1093.26
240000,166.185,1.174,0.7,13.25,process_tree,6.95,process_tree,1116.05
250000,173.61,1.223,0.729,18.400000000000002,process_tree,7.09,process_tree,1137.48
260000,180.088,1.184,0.734,21.485714285714284,process_tree,7.22,process_tree,1158.67
270000,186.619,1.196,0.7,23.407142857142855,process_tree,7.36,process_tree,1180.91
280000,193.289,1.149,0.703,17.335714285714285,process_tree,7.49,process_tree,1202.52
290000,199.924,1.185,0.691,23.400000000000002,process_tree,7.63,process_tree,1224.1
300000,206.525,1.163,0.69,21.464285714285715,process_tree,7.76,process_tree,1245.67
310000,214.063,1.141,0.708,7.164285714285714,process_tree,7.9,process_tree,1268.11
320000,220.563,1.147,0.717,9.15,process_tree,8.03,process_tree,1289.23
330000,227.209,1.152,0.688,19.307142857142853,process_tree,8.16,process_tree,1310.45
340000,233.875,1.165,0.685,13.257142857142856,process_tree,8.3,process_tree,1332.87
350000,240.412,1.2,0.75,24.442857142857147,process_tree,8.44,process_tree,1354.64
360000,246.949,1.201,0.741,17.335714285714285,process_tree,8.58,process_tree,1376.39
370000,253.837,1.184,0.723,20.442857142857147,process_tree,8.71,process_tree,1397.77
380000,261.449,1.186,0.734,21.47142857142857,process_tree,8.85,process_tree,1419.74
390000,267.935,1.223,0.7,18.37142857142857,process_tree,8.98,process_tree,1441.49
400000,274.574,1.127,0.682,21.5,process_tree,9.11,process_tree,1462.73
410000,453.676,1.475,1.029,30.535714285714285,process_tree,5.0,process_tree,802.23
420000,460.156,1.406,0.928,19.435714285714287,process_tree,4.9,process_tree,786.32
430000,466.495,1.556,1.059,23.428571428571427,process_tree,4.91,process_tree,787.88
440000,472.929,1.522,0.992,16.314285714285713,process_tree,4.97,process_tree,796.99
450000,479.357,1.564,0.981,17.385714285714283,process_tree,5.04,process_tree,808.91
460000,485.748,1.611,1.052,12.264285714285716,process_tree,5.1,process_tree,817.78
470000,492.074,1.562,1.089,24.8,process_tree,5.19,process_tree,832.93
480000,498.734,1.529,1.094,18.978571428571428,process_tree,5.26,process_tree,844.71
490000,505.186,1.515,0.922,10.171428571428573,process_tree,5.37,process_tree,861.91
500000,511.908,1.504,1.023,20.457142857142856,process_tree,5.54,process_tree,888.89
510000,518.462,1.559,0.983,11.221428571428572,process_tree,5.76,process_tree,924.92
520000,524.875,1.61,1.067,18.349999999999998,process_tree,5.87,process_tree,942.02
530000,531.619,1.477,1.047,17.321428571428573,process_tree,5.55,process_tree,890.8
540000,538.225,1.476,1.065,16.564285714285713,process_tree,5.68,process_tree,912.19
550000,544.797,1.486,1.011,13.25,process_tree,5.82,process_tree,934.12
560000,551.621,1.509,0.938,18.342857142857145,process_tree,5.96,process_tree,955.99
570000,557.896,1.46,0.918,14.264285714285714,process_tree,6.09,process_tree,977.23
580000,564.296,1.645,1.112,15.307142857142859,process_tree,6.22,process_tree,998.54
590000,570.732,1.502,1.011,17.400000000000002,process_tree,6.36,process_tree,1020.84
600000,577.577,1.491,0.954,24.55,process_tree,6.49,process_tree,1042.0
610000,584.045,1.516,1.077,18.349999999999998,process_tree,6.63,process_tree,1064.29
620000,590.481,1.573,1.023,19.428571428571427,process_tree,6.76,process_tree,1084.68
630000,597.02,1.549,0.975,14.492857142857142,process_tree,6.9,process_tree,1107.32
640000,603.448,1.56,1.016,20.457142857142856,process_tree,7.03,process_tree,1128.98
650000,610.483,1.525,1.021,14.321428571428571,process_tree,7.16,process_tree,1149.88
660000,616.979,1.547,1.083,17.407142857142855,process_tree,7.3,process_tree,1172.07
670000,623.461,1.533,0.991,9.200000000000001,process_tree,7.44,process_tree,1193.69
680000,629.875,1.472,0.937,21.400000000000002,process_tree,7.56,process_tree,1213.89
690000,636.389,1.434,0.943,9.157142857142857,process_tree,7.71,process_tree,1237.1
700000,642.919,1.511,0.973,23.42142857142857,process_tree,7.84,process_tree,1258.23
710000,650.264,1.511,0.935,27.37857142857143,process_tree,7.97,process_tree,1279.72
720000,656.699,1.54,1.014,9.192857142857141,process_tree,8.11,process_tree,1301.17
730000,663.109,1.557,1.061,24.571428571428573,process_tree,8.25,process_tree,1323.4
740000,669.475,1.552,1.027,9.15,process_tree,8.38,process_tree,1344.57
750000,675.93,1.457,0.84,17.514285714285712,process_tree,8.51,process_tree,1366.37
760000,682.368,1.554,0.998,26.464285714285715,process_tree,8.65,process_tree,1388.37
770000,688.819,1.574,1.066,13.285714285714286,process_tree,8.78,process_tree,1409.42
780000,695.298,1.589,1.128,15.314285714285713,process_tree,8.92,process_tree,1431.35
790000,702.509,1.472,0.988,8.185714285714285,process_tree,9.06,process_tree,1453.36
800000,709.023,1.411,0.871,27.614285714285717,process_tree,9.19,process_tree,1474.71
810000,891.303,2.677,2.228,22.407142857142855,process_tree,5.4,process_tree,867.27
820000,897.455,2.58,2.244,26.07857142857143,process_tree,5.28,process_tree,847.89
830000,903.512,3.256,2.922,10.171428571428573,process_tree,5.19,process_tree,833.13
840000,909.602,2.788,2.208,10.15,process_tree,5.25,process_tree,842.79
850000,915.608,2.943,2.347,16.364285714285717,process_tree,5.31,process_tree,852.48
860000,921.795,2.868,2.463,10.235714285714286,process_tree,5.4,process_tree,866.87
870000,927.745,3.283,2.717,29.07857142857143,process_tree,5.46,process_tree,876.4
880000,934.02,2.851,1.981,16.32857142857143,process_tree,5.52,process_tree,886.61
890000,939.995,2.936,2.366,19.385714285714283,process_tree,5.6,process_tree,898.43
900000,946.252,2.966,2.222,21.614285714285717,process_tree,5.69,process_tree,913.73
910000,952.309,2.68,2.326,22.47142857142857,process_tree,5.83,process_tree,935.62
920000,958.326,2.587,2.003,8.178571428571429,process_tree,5.99,process_tree,962.01
930000,964.642,3.035,2.672,7.107142857142857,process_tree,5.45,process_tree,875.11
940000,970.747,2.966,2.386,10.235714285714286,process_tree,5.58,process_tree,896.04
950000,976.783,3.317,2.469,23.521428571428572,process_tree,5.72,process_tree,918.12
960000,983.095,3.285,2.5,17.264285714285712,process_tree,5.85,process_tree,938.96
970000,989.094,2.89,2.296,23.33571428571429,process_tree,5.99,process_tree,961.12
980000,995.198,2.872,2.209,9.192857142857141,process_tree,6.12,process_tree,981.51
990000,1001.388,2.716,1.99,11.192857142857141,process_tree,6.26,process_tree,1003.99
