step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,46.8,system,
10000,11.361,0.957,0.62,44.721428571428575,process_tree,3.83,process_tree,614.68
20000,17.673,0.961,0.643,15.335714285714285,process_tree,3.98,process_tree,638.68
30000,23.573,0.978,0.697,16.349999999999998,process_tree,4.11,process_tree,660.26
40000,29.9,0.965,0.636,17.357142857142858,process_tree,4.26,process_tree,684.18
50000,36.197,0.949,0.634,17.364285714285717,process_tree,4.4,process_tree,706.44
60000,42.261,0.942,0.623,23.535714285714285,process_tree,4.53,process_tree,726.95
70000,48.577,0.928,0.559,11.242857142857142,process_tree,4.66,process_tree,747.57
80000,54.812,0.891,0.626,9.157142857142857,process_tree,4.82,process_tree,773.29
90000,61.187,0.942,0.647,15.242857142857144,process_tree,4.95,process_tree,794.74
100000,67.348,0.93,0.613,25.45,process_tree,5.06,process_tree,811.69
110000,73.555,0.968,0.633,22.5,process_tree,5.2,process_tree,833.96
120000,79.987,0.886,0.572,10.171428571428573,process_tree,5.35,process_tree,857.98
130000,86.078,0.972,0.66,11.192857142857141,process_tree,5.48,process_tree,879.29
140000,92.333,0.943,0.61,18.407142857142862,process_tree,5.59,process_tree,897.71
150000,98.462,0.978,0.648,11.221428571428572,process_tree,5.73,process_tree,919.8
160000,104.794,0.914,0.599,37.85,process_tree,5.86,process_tree,941.3
170000,111.05,0.94,0.604,10.207142857142857,process_tree,6.0,process_tree,963.5
180000,117.262,0.935,0.614,19.442857142857143,process_tree,6.13,process_tree,984.62
190000,123.451,0.932,0.635,8.171428571428573,process_tree,6.27,process_tree,1007.06
200000,130.124,0.926,0.537,10.207142857142857,process_tree,6.41,process_tree,1028.08
210000,136.404,0.938,0.607,21.435714285714287,process_tree,6.55,process_tree,1050.7
220000,142.631,1.066,0.669,23.5,process_tree,6.68,process_tree,1071.96
230000,148.977,0.96,0.644,19.385714285714283,process_tree,6.82,process_tree,1093.84
240000,155.357,0.93,0.605,41.714285714285715,process_tree,6.95,process_tree,1115.68
250000,161.914,0.948,0.599,38.58571428571429,process_tree,7.08,process_tree,1136.98
260000,168.099,0.984,0.638,14.271428571428572,process_tree,7.22,process_tree,1159.04
270000,174.267,0.998,0.684,28.485714285714288,process_tree,7.36,process_tree,1180.52
280000,180.449,0.963,0.617,16.35,process_tree,7.49,process_tree,1202.49
290000,186.615,0.935,0.617,16.321428571428573,process_tree,7.62,process_tree,1223.24
300000,192.773,0.938,0.594,10.228571428571428,process_tree,7.76,process_tree,1245.79
310000,198.804,0.988,0.672,7.1000000000000005,process_tree,7.9,process_tree,1267.51
320000,205.46,0.986,0.632,9.450000000000001,process_tree,8.03,process_tree,1289.21
330000,306.018,0.943,0.614,30.521428571428572,process_tree,4.98,process_tree,799.15
340000,312.115,1.077,0.784,22.457142857142856,process_tree,4.69,process_tree,753.39
350000,318.185,1.079,0.728,8.3,process_tree,4.7,process_tree,753.61
360000,324.189,1.088,0.703,16.414285714285715,process_tree,4.73,process_tree,758.96
370000,330.314,1.006,0.674,33.51428571428571,process_tree,4.77,process_tree,765.52
380000,336.459,1.037,0.741,8.178571428571429,process_tree,4.83,process_tree,775.8
390000,342.662,1.17,0.782,20.407142857142855,process_tree,4.87,process_tree,782.15
400000,348.723,1.145,0.714,22.414285714285715,process_tree,4.91,process_tree,788.73
410000,355.005,1.11,0.715,8.178571428571429,process_tree,5.08,process_tree,814.98
420000,361.125,1.097,0.721,11.242857142857142,process_tree,5.28,process_tree,846.99
430000,367.375,1.068,0.738,17.357142857142858,process_tree,5.38,process_tree,864.14
440000,373.897,1.118,0.806,24.42142857142857,process_tree,5.6,process_tree,898.95
450000,380.071,1.067,0.648,38.557142857142864,process_tree,5.38,process_tree,862.91
460000,386.189,1.116,0.752,22.342857142857138,process_tree,5.51,process_tree,884.45
470000,392.745,1.075,0.732,15.342857142857143,process_tree,5.64,process_tree,905.71
480000,398.717,1.079,0.684,17.435714285714287,process_tree,5.78,process_tree,927.32
490000,404.875,1.065,0.665,22.514285714285712,process_tree,5.91,process_tree,948.42
500000,410.869,1.128,0.77,22.478571428571428,process_tree,6.11,process_tree,981.09
510000,417.502,1.12,0.757,14.321428571428571,process_tree,6.25,process_tree,1002.87
520000,423.622,1.116,0.713,13.25,process_tree,6.39,process_tree,1025.04
530000,429.795,1.061,0.712,6.142857142857143,process_tree,6.52,process_tree,1046.44
540000,436.033,1.052,0.691,27.585714285714285,process_tree,6.66,process_tree,1068.66
550000,442.112,1.079,0.7,13.242857142857144,process_tree,6.79,process_tree,1090.24
560000,448.678,1.113,0.793,13.285714285714286,process_tree,6.92,process_tree,1110.99
570000,454.772,1.107,0.731,15.592857142857143,process_tree,7.06,process_tree,1133.37
580000,460.862,1.056,0.66,8.278571428571428,process_tree,7.2,process_tree,1155.21
590000,466.983,1.159,0.792,17.35,process_tree,7.33,process_tree,1176.13
600000,473.068,1.173,0.801,34.52142857142857,process_tree,7.46,process_tree,1198.05
610000,479.207,1.11,0.737,7.164285714285714,process_tree,7.6,process_tree,1220.1
620000,485.914,1.079,0.706,9.157142857142858,process_tree,7.74,process_tree,1241.61
630000,492.07,1.0,0.681,28.635714285714283,process_tree,7.87,process_tree,1263.02
640000,498.255,1.056,0.651,8.178571428571429,process_tree,8.01,process_tree,1284.91
650000,504.181,1.105,0.788,14.285714285714286,process_tree,8.14,process_tree,1306.7
660000,604.885,1.142,0.789,27.471428571428568,process_tree,5.63,process_tree,903.04
670000,610.74,1.634,1.269,11.192857142857141,process_tree,5.53,process_tree,888.33
680000,616.675,1.567,1.154,27.614285714285717,process_tree,5.48,process_tree,879.7
690000,622.646,1.572,1.119,8.185714285714285,process_tree,5.5,process_tree,882.9
700000,629.104,1.529,1.071,35.58571428571428,process_tree,5.59,process_tree,896.5
710000,635.07,1.522,0.987,13.25,process_tree,5.62,process_tree,902.05
