step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,77.2,system,
10000,11.532,0.957,0.61,16.32857142857143,process_tree,3.81,process_tree,611.85
20000,17.633,0.979,0.575,7.035714285714286,process_tree,3.97,process_tree,636.52
30000,23.489,0.938,0.605,20.907142857142862,process_tree,4.11,process_tree,659.46
40000,29.547,0.993,0.571,25.557142857142857,process_tree,4.24,process_tree,680.82
50000,35.452,1.02,0.615,24.514285714285712,process_tree,4.38,process_tree,702.74
60000,40.945,1.006,0.651,24.814285714285713,process_tree,4.5,process_tree,722.98
70000,47.05,0.916,0.556,13.27142857142857,process_tree,4.66,process_tree,748.19
80000,53.04,0.976,0.592,9.157142857142858,process_tree,4.79,process_tree,769.57
90000,58.712,1.046,0.668,13.242857142857144,process_tree,4.92,process_tree,790.32
100000,64.73,0.947,0.574,16.05,process_tree,5.06,process_tree,812.44
110000,70.596,1.003,0.612,25.564285714285713,process_tree,5.18,process_tree,830.84
120000,76.514,0.997,0.634,20.37857142857143,process_tree,5.32,process_tree,853.48
130000,82.517,0.972,0.59,17.00714285714286,process_tree,5.45,process_tree,875.43
140000,88.42,0.961,0.583,9.192857142857141,process_tree,5.59,process_tree,896.62
150000,94.195,1.016,0.648,13.299999999999999,process_tree,5.72,process_tree,918.09
160000,100.519,0.922,0.561,8.192857142857143,process_tree,5.85,process_tree,939.47
170000,106.625,0.983,0.58,17.178571428571427,process_tree,5.99,process_tree,961.22
180000,112.757,0.957,0.57,15.335714285714285,process_tree,6.13,process_tree,983.4
190000,118.774,1.023,0.607,14.257142857142858,process_tree,6.26,process_tree,1004.94
200000,125.235,1.006,0.586,20.314285714285713,process_tree,6.4,process_tree,1026.56
210000,131.197,0.978,0.598,24.5,process_tree,6.53,process_tree,1048.52
220000,137.085,0.957,0.565,12.221428571428572,process_tree,6.67,process_tree,1069.71
230000,143.011,0.954,0.635,12.242857142857142,process_tree,6.81,process_tree,1092.25
240000,148.708,0.944,0.566,21.428571428571427,process_tree,6.94,process_tree,1113.69
250000,155.049,0.94,0.631,21.478571428571428,process_tree,7.07,process_tree,1134.52
260000,161.054,0.911,0.572,20.442857142857147,process_tree,7.21,process_tree,1157.29
270000,246.912,0.996,0.595,10.314285714285715,process_tree,4.75,process_tree,762.87
280000,252.791,1.114,0.689,8.171428571428573,process_tree,4.63,process_tree,743.36
290000,258.695,1.08,0.693,20.407142857142855,process_tree,4.58,process_tree,735.18
300000,264.757,1.032,0.628,32.74285714285714,process_tree,4.63,process_tree,742.8
310000,270.413,1.056,0.634,28.65,process_tree,4.69,process_tree,752.5
320000,276.434,1.041,0.668,17.32857142857143,process_tree,4.72,process_tree,758.13
330000,282.508,1.068,0.764,11.242857142857144,process_tree,4.79,process_tree,769.15
340000,288.293,1.137,0.744,29.635714285714283,process_tree,4.82,process_tree,773.04
350000,294.292,1.095,0.645,14.328571428571427,process_tree,4.93,process_tree,792.04
360000,300.505,1.041,0.621,9.192857142857145,process_tree,5.1,process_tree,818.61
370000,306.19,1.042,0.648,22.407142857142855,process_tree,5.24,process_tree,840.46
380000,312.493,1.114,0.705,53.214285714285715,process_tree,5.39,process_tree,865.54
390000,318.267,1.098,0.676,12.235714285714286,process_tree,5.35,process_tree,858.13
400000,324.284,1.042,0.666,21.435714285714287,process_tree,5.48,process_tree,879.22
410000,330.533,1.101,0.64,19.392857142857142,process_tree,5.62,process_tree,901.73
420000,336.576,1.048,0.643,18.37142857142857,process_tree,5.75,process_tree,923.16
430000,342.44,1.058,0.716,24.685714285714287,process_tree,5.89,process_tree,945.37
440000,348.188,1.091,0.659,19.557142857142857,process_tree,6.02,process_tree,966.84
450000,354.531,1.034,0.668,20.41428571428571,process_tree,6.16,process_tree,988.75
460000,360.34,1.058,0.652,10.228571428571428,process_tree,6.3,process_tree,1010.63
470000,366.333,1.013,0.619,30.699999999999996,process_tree,6.43,process_tree,1032.05
480000,372.398,1.053,0.684,10.471428571428573,process_tree,6.56,process_tree,1052.97
490000,377.929,1.121,0.739,28.635714285714283,process_tree,6.7,process_tree,1075.55
500000,384.198,1.086,0.704,32.68571428571428,process_tree,6.9,process_tree,1107.89
510000,390.308,1.073,0.68,28.5,process_tree,7.04,process_tree,1129.24
