step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,76.4,system,
10000,11.389,1.211,0.795,24.542857142857144,process_tree,3.81,process_tree,611.71
20000,17.534,1.152,0.684,19.164285714285715,process_tree,3.96,process_tree,636.05
30000,23.699,1.214,0.673,26.592857142857145,process_tree,4.1,process_tree,657.92
40000,29.835,1.282,0.765,19.385714285714283,process_tree,4.23,process_tree,679.07
50000,36.033,1.214,0.711,9.214285714285714,process_tree,4.37,process_tree,700.84
60000,42.57,1.207,0.726,20.442857142857147,process_tree,4.52,process_tree,724.68
70000,72.299,1.241,0.78,27.72142857142857,process_tree,4.25,process_tree,682.91
80000,78.339,1.39,0.848,21.378571428571426,process_tree,4.26,process_tree,683.43
90000,84.384,1.425,0.866,18.400000000000002,process_tree,4.29,process_tree,688.84
100000,90.584,1.332,0.799,18.42142857142857,process_tree,4.32,process_tree,693.82
110000,96.579,1.426,0.916,10.228571428571428,process_tree,4.39,process_tree,704.49
120000,102.859,1.285,0.83,12.585714285714285,process_tree,4.44,process_tree,712.52
130000,108.951,1.318,0.805,20.342857142857145,process_tree,4.56,process_tree,732.34
140000,139.754,1.482,0.9,17.264285714285712,process_tree,4.35,process_tree,698.44
150000,145.616,1.977,1.195,24.535714285714285,process_tree,4.36,process_tree,699.57
160000,151.533,1.874,1.157,19.37142857142857,process_tree,4.38,process_tree,703.6
170000,157.262,1.96,1.318,29.642857142857142,process_tree,4.42,process_tree,709.39
180000,162.87,1.873,1.148,20.485714285714288,process_tree,4.46,process_tree,716.42
190000,168.627,1.979,1.214,9.135714285714286,process_tree,4.52,process_tree,725.12
200000,174.732,2.022,1.381,23.52142857142857,process_tree,4.63,process_tree,743.37
210000,204.793,2.632,2.104,20.585714285714285,process_tree,4.37,process_tree,701.66
220000,210.4,3.941,3.119,15.335714285714285,process_tree,4.39,process_tree,704.78
230000,215.952,3.657,3.288,11.87142857142857,process_tree,4.44,process_tree,712.54
240000,221.467,3.739,2.845,21.435714285714287,process_tree,4.48,process_tree,719.64
250000,227.119,3.604,2.803,13.25,process_tree,4.54,process_tree,727.87
260000,232.186,3.625,2.949,41.957142857142856,process_tree,4.59,process_tree,735.89
270000,237.784,3.584,2.936,18.32857142857143,process_tree,4.64,process_tree,745.21
280000,267.08,5.176,4.991,31.514285714285712,process_tree,4.39,process_tree,704.3
290000,272.364,10.931,12.773,20.442857142857147,process_tree,4.41,process_tree,707.24
300000,277.252,14.287,11.621,10.15,process_tree,4.45,process_tree,714.73
310000,282.442,10.255,10.702,17.37142857142857,process_tree,4.49,process_tree,721.03
320000,287.691,12.005,9.772,38.878571428571426,process_tree,4.53,process_tree,727.32
330000,292.779,10.394,10.706,19.857142857142858,process_tree,4.59,process_tree,735.97
340000,298.066,12.775,13.276,13.257142857142856,process_tree,4.64,process_tree,744.66
350000,326.856,17.703,13.466,16.314285714285713,process_tree,4.36,process_tree,699.64
360000,331.957,61.965,33.552,11.257142857142856,process_tree,4.39,process_tree,705.1
370000,337.082,53.761,35.551,9.214285714285714,process_tree,4.44,process_tree,713.34
380000,342.348,54.857,38.765,23.485714285714288,process_tree,4.49,process_tree,719.92
390000,347.584,41.91,33.114,16.307142857142857,process_tree,4.53,process_tree,727.62
400000,352.863,54.512,35.176,8.95,process_tree,4.6,process_tree,737.72
410000,357.827,40.364,36.956,10.221428571428572,process_tree,4.68,process_tree,750.91
420000,387.528,71.95,35.803,22.428571428571427,process_tree,4.41,process_tree,707.38
430000,392.313,83.1,34.533,20.27857142857143,process_tree,4.44,process_tree,712.99
440000,397.546,97.38,7.86,15.292857142857144,process_tree,4.49,process_tree,720.85
450000,402.644,91.836,19.655,19.45,process_tree,4.53,process_tree,727.36
460000,407.692,77.285,39.82,16.414285714285715,process_tree,4.59,process_tree,736.14
470000,413.043,94.92,15.24,34.57857142857143,process_tree,4.64,process_tree,745.23
480000,418.156,95.391,14.575,30.292857142857144,process_tree,4.71,process_tree,756.54
490000,447.601,100.0,0.0,12.385714285714286,process_tree,4.4,process_tree,705.82
500000,452.642,97.688,6.118,9.15,process_tree,4.46,process_tree,716.09
510000,457.915,100.0,0.0,25.428571428571427,process_tree,4.54,process_tree,729.08
520000,462.909,100.0,0.0,29.164285714285715,process_tree,4.58,process_tree,735.02
530000,468.279,99.188,2.15,26.5,process_tree,4.64,process_tree,744.12
540000,473.552,100.0,0.0,11.192857142857145,process_tree,4.7,process_tree,754.3
550000,502.764,96.085,13.563,26.692857142857147,process_tree,4.47,process_tree,716.71
560000,507.621,100.0,0.0,22.514285714285712,process_tree,4.49,process_tree,720.98
570000,512.751,100.0,0.0,8.121428571428572,process_tree,4.54,process_tree,727.93
580000,517.901,93.125,22.802,21.392857142857142,process_tree,4.6,process_tree,738.04
590000,523.019,100.0,0.0,21.49285714285714,process_tree,4.64,process_tree,744.96
600000,527.451,100.0,0.0,10.242857142857144,process_tree,4.7,process_tree,753.89
610000,532.237,100.0,0.0,16.364285714285717,process_tree,4.76,process_tree,763.5
620000,561.262,100.0,0.0,23.535714285714285,process_tree,4.45,process_tree,714.18
630000,566.278,100.0,0.0,10.235714285714286,process_tree,4.48,process_tree,718.55
