step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,77.5,system,
10000,11.107,1.16,0.721,28.02857142857143,process_tree,3.82,process_tree,612.34
20000,16.452,1.184,0.697,17.464285714285715,process_tree,3.96,process_tree,635.88
30000,22.591,1.075,0.647,11.221428571428572,process_tree,4.11,process_tree,659.84
40000,28.435,1.186,0.68,17.264285714285712,process_tree,4.24,process_tree,681.14
50000,34.214,1.126,0.675,22.50714285714286,process_tree,4.39,process_tree,703.98
60000,39.571,1.125,0.642,21.49285714285714,process_tree,4.51,process_tree,724.02
70000,45.582,1.21,0.762,8.185714285714285,process_tree,4.66,process_tree,748.38
80000,51.388,1.195,0.724,16.17142857142857,process_tree,4.8,process_tree,770.84
90000,57.559,1.126,0.643,14.228571428571428,process_tree,4.93,process_tree,791.59
100000,63.559,1.198,0.703,9.157142857142857,process_tree,5.08,process_tree,815.32
110000,69.395,1.155,0.688,27.57857142857143,process_tree,5.23,process_tree,839.77
120000,75.464,1.162,0.704,11.464285714285714,process_tree,5.33,process_tree,855.79
130000,81.157,1.165,0.735,16.314285714285713,process_tree,5.46,process_tree,876.87
140000,87.104,1.171,0.684,18.364285714285717,process_tree,5.59,process_tree,897.33
150000,92.954,1.157,0.706,8.185714285714285,process_tree,5.72,process_tree,918.41
160000,99.207,1.112,0.679,28.664285714285715,process_tree,5.86,process_tree,940.67
170000,104.899,1.171,0.707,23.485714285714288,process_tree,5.99,process_tree,961.25
180000,110.472,1.131,0.659,24.50714285714286,process_tree,6.13,process_tree,983.62
190000,116.401,1.13,0.66,15.299999999999999,process_tree,6.26,process_tree,1005.27
200000,122.736,1.147,0.671,15.321428571428571,process_tree,6.4,process_tree,1026.98
210000,128.435,1.175,0.715,18.41428571428571,process_tree,6.54,process_tree,1048.91
220000,134.258,1.131,0.619,10.228571428571428,process_tree,6.67,process_tree,1069.8
230000,140.247,1.167,0.69,17.392857142857142,process_tree,6.81,process_tree,1092.43
240000,146.272,1.191,0.677,24.435714285714287,process_tree,6.94,process_tree,1113.51
250000,152.377,1.132,0.716,16.35,process_tree,7.08,process_tree,1135.64
260000,157.945,1.107,0.669,13.214285714285714,process_tree,7.21,process_tree,1157.84
270000,163.761,1.151,0.687,17.00714285714286,process_tree,7.35,process_tree,1179.07
280000,169.764,1.177,0.722,17.32857142857143,process_tree,7.48,process_tree,1200.96
290000,175.741,1.17,0.721,18.400000000000002,process_tree,7.62,process_tree,1222.66
300000,181.358,1.177,0.706,34.90714285714286,process_tree,7.75,process_tree,1244.21
310000,187.742,1.078,0.643,10.228571428571428,process_tree,7.88,process_tree,1265.3
320000,193.404,1.168,0.677,21.07857142857143,process_tree,8.02,process_tree,1287.61
330000,199.406,1.101,0.624,8.121428571428572,process_tree,8.16,process_tree,1308.85
340000,205.48,1.114,0.673,15.285714285714286,process_tree,8.29,process_tree,1330.62
350000,211.414,1.217,0.731,16.357142857142858,process_tree,8.42,process_tree,1352.15
360000,326.532,1.149,0.711,12.221428571428572,process_tree,5.21,process_tree,836.55
370000,332.486,1.333,0.764,19.228571428571428,process_tree,4.85,process_tree,778.12
380000,338.321,1.343,0.757,31.699999999999996,process_tree,4.72,process_tree,757.24
390000,344.283,1.308,0.858,30.65,process_tree,4.67,process_tree,749.88
400000,349.899,1.33,0.784,27.585714285714285,process_tree,4.73,process_tree,759.52
410000,355.809,1.384,0.833,14.37142857142857,process_tree,4.79,process_tree,768.04
420000,361.839,1.37,0.901,18.342857142857145,process_tree,4.83,process_tree,774.56
430000,367.71,1.329,0.897,12.264285714285714,process_tree,4.91,process_tree,788.8
440000,373.835,1.31,0.813,12.264285714285716,process_tree,5.0,process_tree,803.26
450000,379.655,1.276,0.717,11.200000000000001,process_tree,5.17,process_tree,829.73
460000,385.796,1.306,0.753,17.428571428571427,process_tree,5.22,process_tree,837.08
470000,391.656,1.317,0.738,12.214285714285714,process_tree,5.32,process_tree,854.29
480000,397.612,1.321,0.752,21.478571428571428,process_tree,5.46,process_tree,876.54
490000,403.76,1.37,0.762,9.971428571428572,process_tree,5.39,process_tree,865.5
500000,409.558,1.339,0.834,29.442857142857147,process_tree,5.59,process_tree,897.15
510000,415.437,1.341,0.87,20.75714285714286,process_tree,5.73,process_tree,919.84
520000,421.621,1.349,0.82,16.478571428571428,process_tree,5.86,process_tree,941.06
530000,427.448,1.309,0.782,23.5,process_tree,6.0,process_tree,963.52
540000,432.749,1.375,0.821,22.521428571428572,process_tree,6.13,process_tree,984.26
550000,438.62,1.394,0.883,15.314285714285713,process_tree,6.27,process_tree,1005.82
560000,444.281,1.374,0.813,27.578571428571426,process_tree,6.39,process_tree,1026.01
570000,450.026,1.333,0.776,15.292857142857144,process_tree,6.54,process_tree,1049.19
580000,455.725,1.336,0.793,22.478571428571428,process_tree,6.67,process_tree,1070.56
590000,461.728,1.318,0.794,22.47142857142857,process_tree,6.8,process_tree,1091.96
600000,467.664,1.272,0.75,17.335714285714285,process_tree,6.94,process_tree,1114.11
610000,473.275,1.268,0.801,19.385714285714283,process_tree,7.08,process_tree,1135.84
620000,479.453,1.291,0.792,24.55,process_tree,7.21,process_tree,1157.56
630000,485.056,1.341,0.833,7.1000000000000005,process_tree,7.35,process_tree,1179.21
640000,490.871,1.327,0.75,8.178571428571429,process_tree,7.48,process_tree,1200.68
650000,496.62,1.365,0.827,13.285714285714286,process_tree,7.61,process_tree,1221.31
