step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,76.6,system,
10000,11.35,1.06,0.669,21.42142857142857,process_tree,3.82,process_tree,613.19
20000,17.292,1.047,0.672,6.142857142857143,process_tree,3.97,process_tree,637.62
30000,23.39,1.044,0.624,8.178571428571429,process_tree,4.11,process_tree,659.27
40000,29.552,1.098,0.684,29.628571428571426,process_tree,4.26,process_tree,683.28
50000,35.579,1.098,0.661,10.107142857142858,process_tree,4.39,process_tree,705.13
60000,41.455,1.117,0.669,16.321428571428573,process_tree,4.52,process_tree,725.91
70000,47.664,1.038,0.597,15.299999999999999,process_tree,4.65,process_tree,746.93
80000,53.521,1.064,0.681,8.178571428571429,process_tree,4.82,process_tree,774.05
90000,59.691,1.069,0.648,12.27142857142857,process_tree,4.96,process_tree,795.28
100000,65.634,1.048,0.658,26.592857142857138,process_tree,5.09,process_tree,817.11
110000,71.492,1.057,0.651,19.307142857142857,process_tree,5.2,process_tree,834.56
120000,77.579,1.065,0.696,19.349999999999998,process_tree,5.34,process_tree,857.65
130000,83.508,1.058,0.633,18.271428571428572,process_tree,5.47,process_tree,877.59
140000,89.436,1.074,0.638,9.15,process_tree,5.59,process_tree,896.91
150000,95.282,1.153,0.689,7.271428571428571,process_tree,5.73,process_tree,919.46
160000,101.308,1.098,0.656,21.49285714285714,process_tree,5.86,process_tree,940.77
170000,107.231,1.084,0.698,20.442857142857147,process_tree,6.0,process_tree,963.33
180000,113.185,1.035,0.633,25.592857142857145,process_tree,6.13,process_tree,984.1
190000,119.115,1.07,0.637,26.192857142857143,process_tree,6.27,process_tree,1006.41
200000,125.485,1.119,0.722,9.200000000000001,process_tree,6.4,process_tree,1027.47
210000,192.201,1.08,0.64,22.442857142857143,process_tree,4.72,process_tree,758.17
220000,198.022,1.133,0.703,13.299999999999999,process_tree,4.72,process_tree,757.62
230000,203.785,1.124,0.698,11.221428571428572,process_tree,4.72,process_tree,757.15
240000,209.646,1.128,0.705,15.285714285714286,process_tree,4.75,process_tree,761.68
250000,215.78,1.104,0.688,11.357142857142858,process_tree,4.76,process_tree,763.9
260000,221.746,1.133,0.674,11.357142857142858,process_tree,4.81,process_tree,771.61
270000,227.671,1.171,0.797,23.478571428571428,process_tree,4.85,process_tree,777.75
280000,233.625,1.005,0.638,9.314285714285715,process_tree,4.91,process_tree,788.52
290000,239.684,1.148,0.681,17.942857142857143,process_tree,5.02,process_tree,806.05
300000,245.72,1.167,0.726,13.549999999999999,process_tree,5.17,process_tree,829.88
310000,251.905,1.161,0.752,18.414285714285715,process_tree,5.31,process_tree,852.9
320000,257.688,1.102,0.649,20.457142857142856,process_tree,5.44,process_tree,873.7
330000,263.339,1.086,0.637,15.299999999999999,process_tree,5.46,process_tree,876.61
340000,269.399,1.104,0.697,23.400000000000002,process_tree,5.59,process_tree,897.29
350000,275.119,1.145,0.732,36.542857142857144,process_tree,5.73,process_tree,919.8
360000,280.991,1.122,0.699,15.342857142857143,process_tree,5.86,process_tree,940.59
370000,287.046,1.117,0.671,12.392857142857142,process_tree,5.99,process_tree,961.9
380000,293.39,1.08,0.627,23.5,process_tree,6.11,process_tree,981.15
390000,299.08,1.16,0.803,24.37142857142857,process_tree,6.26,process_tree,1004.15
400000,305.036,1.095,0.685,11.200000000000001,process_tree,6.39,process_tree,1025.65
410000,371.655,1.289,0.836,19.735714285714288,process_tree,4.82,process_tree,773.15
420000,377.354,1.472,0.891,18.407142857142855,process_tree,4.73,process_tree,759.39
430000,383.117,1.486,0.878,9.207142857142857,process_tree,4.71,process_tree,755.24
440000,388.846,1.544,0.926,21.442857142857143,process_tree,4.76,process_tree,763.81
450000,394.781,1.431,0.898,13.285714285714286,process_tree,4.8,process_tree,769.66
460000,400.382,1.513,0.985,9.778571428571428,process_tree,4.85,process_tree,777.93
470000,406.153,1.527,0.945,24.45,process_tree,4.88,process_tree,783.16
480000,411.982,1.433,0.857,9.214285714285714,process_tree,4.98,process_tree,799.04
490000,417.847,1.453,0.989,15.292857142857144,process_tree,5.1,process_tree,819.06
500000,423.468,1.477,0.885,17.314285714285713,process_tree,5.25,process_tree,843.25
510000,428.859,1.469,1.107,28.635714285714283,process_tree,5.36,process_tree,860.57
520000,434.466,1.428,0.909,11.192857142857141,process_tree,5.51,process_tree,884.75
530000,440.02,1.498,0.985,12.257142857142858,process_tree,5.48,process_tree,879.48
540000,445.604,1.527,0.909,21.47857142857143,process_tree,5.61,process_tree,900.64
550000,451.38,1.441,0.874,40.61428571428571,process_tree,5.74,process_tree,921.95
560000,457.116,1.457,0.927,18.392857142857142,process_tree,5.88,process_tree,944.48
570000,462.622,1.473,0.899,30.435714285714287,process_tree,6.02,process_tree,965.41
580000,468.386,1.447,0.871,20.314285714285713,process_tree,6.15,process_tree,987.33
590000,474.618,1.549,0.919,38.885714285714286,process_tree,6.29,process_tree,1008.86
600000,480.406,1.573,1.069,9.214285714285714,process_tree,6.42,process_tree,1030.71
610000,547.092,1.66,1.148,25.52857142857143,process_tree,5.21,process_tree,836.36
620000,552.363,2.304,1.516,22.514285714285712,process_tree,5.13,process_tree,823.32
630000,557.559,2.41,1.711,15.328571428571431,process_tree,5.13,process_tree,822.68
640000,563.71,2.621,1.844,7.535714285714286,process_tree,5.15,process_tree,826.92
650000,569.097,2.299,1.556,18.364285714285717,process_tree,5.21,process_tree,836.49
660000,574.838,2.38,1.77,13.264285714285714,process_tree,5.24,process_tree,841.35
670000,580.283,2.318,1.608,9.142857142857142,process_tree,5.28,process_tree,846.9
680000,586.083,2.265,1.616,30.521428571428572,process_tree,5.3,process_tree,850.77
690000,590.907,2.253,1.732,18.342857142857145,process_tree,5.38,process_tree,863.01
700000,596.287,2.329,1.451,26.457142857142856,process_tree,5.47,process_tree,878.6
710000,601.782,2.45,1.657,20.37857142857143,process_tree,5.52,process_tree,885.51
720000,607.159,2.32,1.575,19.364285714285717,process_tree,5.55,process_tree,890.86
730000,612.892,2.293,1.42,17.385714285714286,process_tree,5.45,process_tree,875.06
740000,618.194,2.239,1.646,8.171428571428573,process_tree,5.58,process_tree,896.02
750000,623.526,2.17,1.62,25.428571428571427,process_tree,5.72,process_tree,918.05
760000,629.023,2.253,1.56,23.521428571428572,process_tree,5.85,process_tree,939.12
770000,634.668,2.408,1.759,10.214285714285714,process_tree,5.99,process_tree,961.41
780000,640.116,2.224,1.521,19.321428571428573,process_tree,6.12,process_tree,982.42
790000,645.693,2.216,1.485,12.278571428571428,process_tree,6.26,process_tree,1004.65
800000,650.896,2.298,1.707,19.785714285714285,process_tree,6.39,process_tree,1024.88
810000,718.005,2.422,1.679,11.357142857142858,process_tree,5.31,process_tree,852.83
820000,722.939,5.057,3.735,9.207142857142857,process_tree,5.17,process_tree,830.42
830000,728.306,4.817,4.049,17.392857142857142,process_tree,5.17,process_tree,830.44
840000,733.546,4.787,4.077,25.464285714285715,process_tree,5.19,process_tree,832.71
850000,738.623,5.169,4.3,30.692857142857143,process_tree,5.26,process_tree,844.66
860000,743.563,4.612,4.191,9.192857142857141,process_tree,5.29,process_tree,848.89
870000,749.002,4.993,4.305,18.27857142857143,process_tree,5.33,process_tree,856.0
880000,753.835,5.651,5.306,19.342857142857145,process_tree,5.38,process_tree,863.42
890000,758.988,4.871,4.169,23.357142857142858,process_tree,5.49,process_tree,881.92
900000,764.238,4.826,4.763,28.650000000000002,process_tree,5.56,process_tree,891.77
910000,769.614,4.463,3.738,25.557142857142853,process_tree,5.57,process_tree,893.75
920000,774.86,5.406,4.848,9.192857142857145,process_tree,5.63,process_tree,903.67
930000,780.325,4.874,3.665,20.92142857142857,process_tree,5.7,process_tree,914.41
940000,785.663,5.175,4.103,7.107142857142857,process_tree,5.54,process_tree,889.61
950000,790.916,5.024,4.724,13.235714285714284,process_tree,5.67,process_tree,910.43
960000,796.575,4.749,3.882,8.3,process_tree,5.81,process_tree,932.59
970000,801.419,4.486,3.402,22.0,process_tree,5.94,process_tree,953.83
980000,807.327,5.058,4.197,20.357142857142858,process_tree,6.08,process_tree,975.62
990000,812.257,5.066,4.355,24.385714285714283,process_tree,6.21,process_tree,996.41
1000000,817.782,4.72,4.298,10.171428571428573,process_tree,6.35,process_tree,1019.08
1010000,822.819,4.785,3.977,40.95,process_tree,6.48,process_tree,1039.7
1020000,989.608,9.121,9.416,17.37142857142857,process_tree,5.27,process_tree,845.57
1030000,996.006,11.298,10.915,13.299999999999999,process_tree,5.29,process_tree,849.24
1040000,1002.695,11.23,11.61,11.257142857142856,process_tree,5.34,process_tree,857.4
1050000,1008.702,12.23,12.488,18.342857142857145,process_tree,5.42,process_tree,870.17
1060000,1015.305,11.738,9.723,8.121428571428572,process_tree,5.5,process_tree,883.36
1070000,1022.029,11.937,12.328,27.964285714285715,process_tree,5.57,process_tree,893.18
1080000,1027.784,13.249,14.267,17.335714285714285,process_tree,5.61,process_tree,900.94
1090000,1034.009,12.571,10.917,15.314285714285713,process_tree,5.66,process_tree,908.76
1100000,1040.073,12.759,12.853,29.514285714285712,process_tree,5.73,process_tree,920.31
1110000,1046.589,13.226,12.257,11.2,process_tree,5.77,process_tree,926.04
1120000,1052.751,10.555,9.173,17.27857142857143,process_tree,5.83,process_tree,936.44
1130000,1059.27,12.88,12.784,15.299999999999999,process_tree,5.53,process_tree,887.51
1140000,1065.347,12.995,11.531,22.521428571428572,process_tree,5.57,process_tree,893.3
1150000,1071.329,14.633,14.348,18.364285714285717,process_tree,5.66,process_tree,908.24
1160000,1076.848,15.652,14.696,18.99285714285714,process_tree,5.79,process_tree,929.9
1170000,1083.009,11.656,8.701,24.542857142857144,process_tree,5.93,process_tree,951.43
1180000,1088.991,12.578,10.497,16.32857142857143,process_tree,6.06,process_tree,972.26
1190000,1095.662,13.199,13.09,17.32857142857143,process_tree,6.19,process_tree,993.81
1200000,1101.348,12.169,12.489,10.214285714285714,process_tree,6.33,process_tree,1015.17
1210000,1107.313,11.681,10.314,25.57857142857143,process_tree,6.46,process_tree,1036.57
1220000,1179.475,15.76,12.048,17.35,process_tree,5.33,process_tree,856.16
1230000,1183.943,58.935,32.607,19.428571428571427,process_tree,5.32,process_tree,853.69
1240000,1188.777,64.256,31.704,25.428571428571427,process_tree,5.36,process_tree,859.9
1250000,1193.902,50.884,34.639,16.29285714285714,process_tree,5.42,process_tree,870.43
1260000,1198.691,53.737,40.012,10.207142857142857,process_tree,5.48,process_tree,880.02
1270000,1203.4,44.989,34.649,25.557142857142853,process_tree,5.57,process_tree,893.27
1280000,1208.292,66.562,30.675,22.457142857142856,process_tree,5.6,process_tree,898.94
1290000,1213.177,67.02,32.922,23.092857142857145,process_tree,5.65,process_tree,906.77
1300000,1218.182,49.585,37.218,28.61428571428571,process_tree,5.7,process_tree,914.73
1310000,1222.923,39.165,33.791,12.228571428571428,process_tree,5.75,process_tree,923.29
