step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,56.4,system,
10000,16.207,1.02,0.691,14.321428571428571,process_tree,3.82,process_tree,613.04
20000,22.728,0.985,0.66,9.214285714285714,process_tree,3.97,process_tree,636.66
30000,29.241,0.977,0.65,16.35,process_tree,4.11,process_tree,659.89
40000,36.032,0.989,0.604,21.42142857142857,process_tree,4.25,process_tree,681.36
50000,42.862,0.934,0.661,32.699999999999996,process_tree,4.38,process_tree,702.9
60000,49.347,0.936,0.624,16.335714285714285,process_tree,4.53,process_tree,727.38
70000,56.383,1.015,0.647,19.442857142857143,process_tree,4.65,process_tree,747.1
80000,62.908,1.009,0.636,13.242857142857144,process_tree,4.79,process_tree,768.44
90000,69.853,0.967,0.618,16.3,process_tree,4.93,process_tree,790.93
100000,76.354,0.985,0.636,26.464285714285715,process_tree,5.07,process_tree,813.66
110000,82.759,1.02,0.617,21.392857142857142,process_tree,5.21,process_tree,836.76
120000,89.645,1.014,0.682,12.785714285714286,process_tree,5.33,process_tree,854.76
130000,96.116,0.976,0.598,14.278571428571428,process_tree,5.45,process_tree,875.14
140000,102.62,0.99,0.659,20.400000000000002,process_tree,5.6,process_tree,898.19
150000,109.606,0.946,0.657,17.335714285714285,process_tree,5.72,process_tree,918.54
160000,116.042,1.015,0.742,17.392857142857142,process_tree,5.87,process_tree,941.64
170000,122.693,0.995,0.689,10.171428571428573,process_tree,6.0,process_tree,962.98
180000,284.584,0.964,0.636,19.271428571428572,process_tree,4.79,process_tree,768.79
190000,291.062,1.143,0.742,22.364285714285717,process_tree,4.59,process_tree,736.88
200000,297.585,1.118,0.724,8.185714285714285,process_tree,4.55,process_tree,730.98
210000,304.078,1.179,0.767,18.428571428571427,process_tree,4.58,process_tree,735.3
220000,310.733,1.06,0.629,13.242857142857142,process_tree,4.64,process_tree,744.64
230000,317.097,1.166,0.773,22.514285714285712,process_tree,4.67,process_tree,749.7
240000,323.805,1.079,0.724,13.307142857142859,process_tree,4.73,process_tree,759.16
250000,330.185,1.195,0.75,11.22857142857143,process_tree,4.78,process_tree,767.45
260000,336.851,1.141,0.744,9.207142857142857,process_tree,4.9,process_tree,787.17
270000,343.245,1.174,0.774,17.335714285714285,process_tree,5.03,process_tree,807.17
280000,350.016,1.097,0.714,14.314285714285713,process_tree,5.19,process_tree,833.75
290000,356.3,1.093,0.724,19.42142857142857,process_tree,5.33,process_tree,855.72
300000,362.663,1.13,0.712,32.699999999999996,process_tree,5.35,process_tree,859.0
310000,369.604,1.164,0.779,21.400000000000002,process_tree,5.48,process_tree,879.35
320000,376.219,1.136,0.751,17.335714285714285,process_tree,5.62,process_tree,901.88
330000,383.594,1.135,0.77,15.328571428571427,process_tree,5.75,process_tree,923.35
340000,390.732,1.136,0.756,6.142857142857143,process_tree,5.89,process_tree,944.89
350000,398.638,1.128,0.761,10.214285714285714,process_tree,6.02,process_tree,966.9
360000,542.517,1.147,0.755,31.542857142857144,process_tree,4.84,process_tree,776.7
370000,549.062,1.521,1.018,16.25,process_tree,4.74,process_tree,759.96
380000,555.42,1.545,1.033,34.771428571428565,process_tree,4.7,process_tree,755.08
390000,562.055,1.529,0.95,23.5,process_tree,4.72,process_tree,757.3
400000,568.987,1.545,0.983,14.507142857142856,process_tree,4.75,process_tree,762.5
410000,575.09,1.689,1.046,8.421428571428573,process_tree,4.8,process_tree,770.33
420000,581.486,1.586,1.058,21.435714285714287,process_tree,4.85,process_tree,779.11
430000,587.688,1.594,1.167,20.307142857142853,process_tree,4.9,process_tree,786.98
440000,594.103,1.551,1.072,22.400000000000002,process_tree,4.96,process_tree,795.7
450000,600.481,1.619,1.145,30.521428571428572,process_tree,5.1,process_tree,819.02
460000,607.151,1.612,1.054,17.514285714285712,process_tree,5.25,process_tree,841.93
470000,613.305,1.571,0.989,24.349999999999998,process_tree,5.38,process_tree,863.73
480000,619.516,1.52,0.953,8.178571428571429,process_tree,5.48,process_tree,880.12
490000,626.126,1.56,1.034,35.90714285714286,process_tree,5.49,process_tree,880.5
500000,632.971,1.601,1.074,13.25,process_tree,5.68,process_tree,912.04
510000,640.693,1.604,1.087,17.264285714285712,process_tree,5.82,process_tree,934.61
520000,647.639,1.67,1.18,8.164285714285715,process_tree,5.96,process_tree,956.49
530000,654.586,1.567,1.016,23.535714285714285,process_tree,6.09,process_tree,977.3
540000,807.077,1.645,1.178,17.3,process_tree,5.16,process_tree,827.51
550000,813.237,2.987,2.142,22.457142857142856,process_tree,5.16,process_tree,828.84
560000,819.428,2.504,1.725,12.242857142857144,process_tree,5.19,process_tree,833.28
570000,826.312,2.525,1.764,22.357142857142858,process_tree,5.25,process_tree,842.84
580000,833.032,2.703,2.079,19.385714285714283,process_tree,5.29,process_tree,848.29
590000,839.348,2.436,1.761,9.971428571428572,process_tree,5.35,process_tree,858.09
600000,845.315,2.619,1.901,15.242857142857142,process_tree,5.41,process_tree,869.08
610000,851.609,2.353,1.644,17.335714285714285,process_tree,5.48,process_tree,880.32
620000,857.661,2.619,2.157,40.892857142857146,process_tree,5.52,process_tree,886.55
630000,863.797,2.632,1.951,30.678571428571427,process_tree,5.57,process_tree,894.16
640000,869.728,2.586,1.802,19.378571428571426,process_tree,5.63,process_tree,903.85
650000,876.072,2.68,1.774,28.642857142857142,process_tree,5.68,process_tree,911.26
660000,881.82,2.719,1.861,20.292857142857144,process_tree,5.51,process_tree,884.49
670000,887.668,2.809,1.972,10.171428571428573,process_tree,5.58,process_tree,894.93
680000,893.991,2.828,2.053,38.83571428571429,process_tree,5.71,process_tree,916.54
690000,899.943,2.535,2.014,25.392857142857142,process_tree,5.84,process_tree,937.29
700000,905.919,2.438,1.778,19.45,process_tree,5.98,process_tree,959.75
710000,911.727,2.91,2.094,16.314285714285713,process_tree,6.11,process_tree,980.09
