step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,42.1,system,
10000,11.161,1.116,0.708,15.342857142857143,process_tree,3.82,process_tree,613.12
20000,16.842,1.053,0.694,19.864285714285717,process_tree,3.97,process_tree,636.68
30000,22.784,1.084,0.646,21.32857142857143,process_tree,4.1,process_tree,658.3
40000,29.034,1.089,0.659,25.400000000000002,process_tree,4.25,process_tree,682.03
50000,35.15,1.064,0.636,20.321428571428573,process_tree,4.39,process_tree,704.11
60000,41.09,1.031,0.664,21.47142857142857,process_tree,4.51,process_tree,724.36
70000,47.311,1.077,0.652,19.349999999999998,process_tree,4.67,process_tree,749.77
80000,53.013,1.055,0.618,15.335714285714285,process_tree,4.82,process_tree,772.93
90000,59.031,1.052,0.606,18.1,process_tree,4.95,process_tree,795.05
100000,65.126,1.057,0.646,23.485714285714288,process_tree,5.08,process_tree,815.57
110000,71.039,1.016,0.63,9.15,process_tree,5.19,process_tree,832.88
120000,77.39,1.046,0.673,9.192857142857145,process_tree,5.33,process_tree,855.86
130000,83.382,1.109,0.728,6.142857142857143,process_tree,5.46,process_tree,876.79
140000,89.474,1.058,0.646,26.599999999999998,process_tree,5.59,process_tree,897.26
150000,95.04,1.138,0.742,28.65,process_tree,5.73,process_tree,919.37
160000,101.165,1.031,0.592,27.635714285714283,process_tree,5.86,process_tree,941.12
170000,107.23,1.098,0.714,20.37142857142857,process_tree,6.0,process_tree,962.2
180000,112.946,1.035,0.619,9.15,process_tree,6.13,process_tree,984.18
190000,119.054,1.08,0.625,30.707142857142856,process_tree,6.27,process_tree,1006.2
200000,124.985,1.083,0.699,11.257142857142856,process_tree,6.4,process_tree,1027.26
210000,130.881,1.092,0.658,13.87142857142857,process_tree,6.54,process_tree,1049.55
220000,136.954,1.09,0.727,19.385714285714283,process_tree,6.67,process_tree,1071.28
230000,143.035,1.081,0.603,15.264285714285716,process_tree,6.81,process_tree,1093.18
240000,149.078,1.119,0.693,27.592857142857138,process_tree,6.95,process_tree,1114.84
250000,155.589,1.082,0.703,27.62142857142857,process_tree,7.08,process_tree,1136.47
260000,161.433,1.136,0.743,14.292857142857144,process_tree,7.22,process_tree,1158.14
270000,167.223,1.021,0.648,21.49285714285714,process_tree,7.35,process_tree,1179.85
280000,173.213,1.1,0.721,19.885714285714283,process_tree,7.49,process_tree,1201.6
290000,179.494,1.106,0.697,16.314285714285713,process_tree,7.62,process_tree,1223.46
300000,185.455,1.047,0.639,28.599999999999998,process_tree,7.76,process_tree,1245.32
310000,191.942,1.057,0.632,31.571428571428573,process_tree,7.89,process_tree,1266.97
320000,198.006,1.072,0.663,23.478571428571428,process_tree,8.03,process_tree,1288.07
330000,203.962,1.122,0.661,18.407142857142855,process_tree,8.17,process_tree,1310.48
340000,312.675,1.156,0.742,8.192857142857143,process_tree,5.02,process_tree,806.43
350000,318.311,1.351,0.814,16.314285714285713,process_tree,4.69,process_tree,753.27
360000,324.21,1.286,0.839,26.607142857142858,process_tree,4.65,process_tree,746.16
370000,330.0,1.382,0.826,24.55,process_tree,4.7,process_tree,754.99
380000,335.857,1.334,0.745,12.285714285714286,process_tree,4.75,process_tree,761.71
390000,341.866,1.279,0.832,23.49285714285714,process_tree,4.77,process_tree,765.1
400000,347.674,1.357,0.89,20.435714285714287,process_tree,4.81,process_tree,771.49
410000,353.725,1.228,0.736,25.45,process_tree,4.86,process_tree,779.69
420000,359.757,1.271,0.758,20.564285714285713,process_tree,4.98,process_tree,799.6
430000,365.887,1.248,0.754,10.207142857142857,process_tree,5.18,process_tree,831.75
440000,371.783,1.242,0.766,19.300000000000004,process_tree,5.4,process_tree,866.75
450000,377.743,1.336,0.87,9.15,process_tree,5.54,process_tree,888.87
460000,383.906,1.24,0.769,8.278571428571428,process_tree,5.38,process_tree,863.44
470000,389.74,1.372,0.845,17.514285714285712,process_tree,5.51,process_tree,884.33
480000,395.453,1.32,0.75,11.192857142857141,process_tree,5.65,process_tree,906.15
490000,401.342,1.335,0.839,38.885714285714286,process_tree,5.78,process_tree,928.23
500000,407.273,1.388,0.924,18.285714285714285,process_tree,5.98,process_tree,960.2
510000,413.281,1.323,0.867,17.407142857142855,process_tree,6.12,process_tree,982.3
520000,419.306,1.281,0.777,21.392857142857142,process_tree,6.26,process_tree,1004.35
530000,425.488,1.311,0.829,20.414285714285715,process_tree,6.39,process_tree,1025.94
540000,431.489,1.264,0.791,10.228571428571428,process_tree,6.52,process_tree,1046.9
550000,437.076,1.283,0.736,8.121428571428572,process_tree,6.65,process_tree,1068.01
560000,443.008,1.321,0.809,30.792857142857144,process_tree,6.8,process_tree,1090.72
570000,448.58,1.297,0.757,9.3,process_tree,6.93,process_tree,1112.22
580000,454.739,1.273,0.753,9.214285714285714,process_tree,7.06,process_tree,1133.51
590000,460.699,1.386,0.83,21.428571428571427,process_tree,7.2,process_tree,1155.61
600000,466.766,1.262,0.786,21.32857142857143,process_tree,7.33,process_tree,1176.81
610000,472.906,1.324,0.811,20.321428571428573,process_tree,7.47,process_tree,1198.53
620000,478.717,1.36,0.832,15.35,process_tree,7.6,process_tree,1220.23
