step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,34.5,system,
10000,14.398,1.3,0.693,34.03125,process_tree,1.8,process_tree,589.27
20000,24.422,2.11,1.284,23.975,process_tree,1.81,process_tree,590.63
30000,34.406,4.473,3.498,25.89375,process_tree,1.81,process_tree,591.07
40000,44.276,4.965,4.79,25.0875,process_tree,1.81,process_tree,591.28
50000,54.241,4.011,2.833,25.0875,process_tree,1.81,process_tree,591.53
60000,64.104,7.65,5.711,25.0875,process_tree,1.81,process_tree,591.23
70000,73.833,10.167,7.239,24.85625,process_tree,1.81,process_tree,591.35
80000,83.679,13.702,9.897,24.93125,process_tree,1.81,process_tree,591.17
90000,93.543,14.232,11.568,23.96875,process_tree,1.81,process_tree,591.36
100000,103.343,15.128,12.534,24.85625,process_tree,1.81,process_tree,591.37
110000,113.066,14.9,12.428,23.29375,process_tree,1.81,process_tree,591.3
120000,123.009,14.982,14.138,24.85625,process_tree,1.81,process_tree,591.62
130000,132.857,11.685,7.049,25.0875,process_tree,1.81,process_tree,591.61
140000,142.711,8.259,4.954,24.85625,process_tree,1.81,process_tree,591.59
150000,152.473,11.815,7.636,24.85625,process_tree,1.81,process_tree,591.63
160000,162.252,13.747,9.181,25.0875,process_tree,1.81,process_tree,591.38
170000,172.138,22.862,16.225,24.85625,process_tree,1.81,process_tree,591.8
180000,181.901,46.625,33.83,25.0875,process_tree,1.81,process_tree,591.75
190000,191.702,40.947,32.512,24.85625,process_tree,1.81,process_tree,591.43
200000,201.51,23.916,21.346,18.64375,process_tree,1.81,process_tree,591.75
210000,211.236,24.466,19.62,25.0875,process_tree,1.81,process_tree,591.95
220000,221.019,30.579,24.187,24.85625,process_tree,1.81,process_tree,591.56
230000,230.812,28.997,28.445,25.0875,process_tree,1.81,process_tree,591.48
240000,240.645,17.637,20.284,25.0875,process_tree,1.81,process_tree,591.46
250000,250.455,14.663,8.919,22.19375,process_tree,1.81,process_tree,591.9
260000,260.257,11.162,8.867,22.85625,process_tree,1.81,process_tree,591.57
270000,270.098,42.489,33.082,24.85625,process_tree,1.81,process_tree,591.69
280000,279.934,16.323,14.005,25.974999999999998,process_tree,1.81,process_tree,591.46
290000,289.696,24.313,18.361,25.0875,process_tree,1.81,process_tree,591.78
300000,299.443,37.8,26.441,25.98125,process_tree,1.81,process_tree,591.86
310000,309.312,52.523,40.953,32.074999999999996,process_tree,1.81,process_tree,591.48
320000,319.167,91.091,28.173,25.825,process_tree,1.81,process_tree,591.93
330000,328.789,41.15,38.113,27.599999999999998,process_tree,1.81,process_tree,591.64
340000,338.71,89.156,30.673,40.0875,process_tree,1.81,process_tree,591.71
350000,347.803,49.775,46.469,25.0875,process_tree,1.81,process_tree,591.76
360000,357.575,46.535,38.26,24.85625,process_tree,1.81,process_tree,591.93
370000,367.285,35.253,24.884,24.85625,process_tree,1.81,process_tree,591.86
380000,377.039,29.77,29.902,24.93125,process_tree,1.81,process_tree,591.89
390000,386.734,13.621,14.626,25.2,process_tree,1.81,process_tree,592.15
400000,396.649,10.081,5.832,25.0875,process_tree,1.81,process_tree,591.99
410000,406.477,21.595,18.128,25.0875,process_tree,1.81,process_tree,592.09
420000,416.221,52.165,37.378,25.0875,process_tree,1.81,process_tree,592.0
430000,425.93,26.951,33.452,25.0875,process_tree,1.81,process_tree,591.86
440000,435.714,48.513,36.51,24.85625,process_tree,1.81,process_tree,591.75
450000,445.576,37.152,42.736,24.93125,process_tree,1.81,process_tree,591.89
460000,455.405,25.532,34.762,25.0875,process_tree,1.81,process_tree,591.91
470000,465.401,16.182,15.913,25.0875,process_tree,1.81,process_tree,591.85
480000,475.059,9.624,19.646,23.29375,process_tree,1.81,process_tree,592.1
490000,484.834,13.091,22.448,24.85625,process_tree,1.81,process_tree,591.99
500000,494.651,22.538,33.051,25.0875,process_tree,1.84,process_tree,601.54
510000,504.637,65.059,46.758,24.85625,process_tree,1.85,process_tree,602.9
520000,514.45,18.825,31.609,25.98125,process_tree,1.85,process_tree,602.68
530000,524.281,17.528,20.552,25.974999999999998,process_tree,1.85,process_tree,602.94
540000,534.134,18.581,29.422,24.85625,process_tree,1.85,process_tree,603.04
550000,544.094,10.765,23.346,26.724999999999998,process_tree,1.85,process_tree,603.41
560000,553.938,65.106,44.531,21.5,process_tree,1.85,process_tree,603.31
570000,563.832,57.906,47.628,28.4375,process_tree,1.85,process_tree,603.04
580000,573.855,55.282,48.988,28.9625,process_tree,1.85,process_tree,603.15
590000,583.797,36.76,42.499,23.975,process_tree,1.85,process_tree,603.62
600000,592.877,35.997,36.948,23.96875,process_tree,1.85,process_tree,603.27
610000,602.612,23.743,20.598,25.0875,process_tree,1.85,process_tree,603.38
620000,612.332,17.564,12.342,24.85625,process_tree,1.85,process_tree,603.63
630000,622.089,24.776,17.757,25.89375,process_tree,1.85,process_tree,603.97
640000,632.014,69.463,40.873,24.93125,process_tree,1.85,process_tree,604.5
650000,641.827,47.25,46.769,25.0875,process_tree,1.85,process_tree,604.24
660000,651.705,74.345,41.903,25.0875,process_tree,1.85,process_tree,604.27
670000,661.453,43.892,40.245,25.0875,process_tree,1.85,process_tree,604.48
680000,671.527,33.534,24.022,24.85625,process_tree,1.85,process_tree,604.24
690000,681.44,19.515,13.302,24.1875,process_tree,1.85,process_tree,604.2
700000,691.15,31.607,41.361,25.0875,process_tree,1.85,process_tree,604.45
710000,701.003,10.386,16.605,25.98125,process_tree,1.85,process_tree,604.69
720000,710.885,4.75,3.323,26.65,process_tree,1.85,process_tree,604.8
730000,721.011,4.848,2.802,24.93125,process_tree,1.85,process_tree,604.17
740000,730.961,6.232,3.625,25.75,process_tree,1.85,process_tree,604.41
750000,740.858,6.54,3.678,25.0875,process_tree,1.85,process_tree,604.48
760000,750.616,7.31,2.452,25.0875,process_tree,1.85,process_tree,604.31
770000,760.478,9.073,3.576,25.0875,process_tree,1.85,process_tree,604.25
780000,770.373,9.117,3.103,25.0875,process_tree,1.85,process_tree,604.39
790000,780.173,8.296,3.249,24.85625,process_tree,1.85,process_tree,604.45
800000,790.149,6.263,2.384,25.0875,process_tree,1.85,process_tree,604.73
810000,800.046,8.754,3.595,25.0875,process_tree,1.85,process_tree,604.45
820000,809.945,9.901,5.007,25.2,process_tree,1.85,process_tree,604.9
830000,819.814,16.165,12.524,25.0875,process_tree,1.85,process_tree,604.27
840000,829.759,11.618,7.618,24.85625,process_tree,1.85,process_tree,604.55
850000,839.596,10.334,5.983,25.0875,process_tree,1.85,process_tree,604.31
860000,849.524,8.146,4.29,25.0875,process_tree,1.85,process_tree,604.41
870000,859.467,8.645,4.05,24.85625,process_tree,1.85,process_tree,604.51
880000,869.28,10.884,7.01,25.0875,process_tree,1.85,process_tree,604.4
890000,879.102,10.15,4.707,23.29375,process_tree,1.85,process_tree,604.21
900000,889.199,9.744,6.401,24.93125,process_tree,1.85,process_tree,604.17
910000,898.937,11.901,8.911,21.5,process_tree,1.85,process_tree,604.25
920000,908.823,11.412,9.016,25.0875,process_tree,1.85,process_tree,604.63
930000,918.468,21.008,22.528,22.19375,process_tree,1.85,process_tree,604.29
940000,928.44,12.511,16.742,25.0875,process_tree,1.85,process_tree,604.36
950000,938.259,11.364,7.419,24.85625,process_tree,1.85,process_tree,604.58
960000,947.968,15.34,14.829,25.0875,process_tree,1.85,process_tree,604.43
970000,957.855,20.489,14.085,25.2,process_tree,1.85,process_tree,604.44
980000,967.724,37.874,30.933,25.0875,process_tree,1.85,process_tree,604.54
990000,977.435,50.422,30.993,25.0875,process_tree,1.85,process_tree,604.43
1000000,987.255,48.474,41.283,24.85625,process_tree,1.85,process_tree,604.36
1010000,997.205,23.216,30.529,24.85625,process_tree,1.85,process_tree,604.21
1020000,1007.007,16.126,21.607,24.85625,process_tree,1.85,process_tree,604.43
1030000,1016.767,17.318,14.878,23.89375,process_tree,1.85,process_tree,604.41
1040000,1026.495,21.136,19.884,25.0875,process_tree,1.85,process_tree,604.45
1050000,1036.342,23.089,17.272,24.85625,process_tree,1.85,process_tree,604.76
1060000,1046.27,27.103,28.071,25.0875,process_tree,1.85,process_tree,604.42
1070000,1056.073,21.852,20.049,25.0875,process_tree,1.85,process_tree,604.36
1080000,1065.758,26.624,19.39,24.85625,process_tree,1.85,process_tree,604.42
1090000,1075.498,19.515,15.297,24.85625,process_tree,1.85,process_tree,604.49
1100000,1085.24,27.607,23.362,25.0875,process_tree,1.85,process_tree,604.39
1110000,1095.051,21.798,16.808,24.93125,process_tree,1.85,process_tree,604.49
1120000,1104.831,14.734,10.433,25.0875,process_tree,1.85,process_tree,604.38
1130000,1114.66,13.342,11.94,25.0875,process_tree,1.85,process_tree,604.82
1140000,1124.393,15.591,14.337,24.85625,process_tree,1.85,process_tree,604.16
1150000,1134.353,17.068,18.972,25.0875,process_tree,1.85,process_tree,604.6
1160000,1144.078,15.015,11.992,24.85625,process_tree,1.85,process_tree,604.46
1170000,1153.924,13.625,10.326,24.93125,process_tree,1.85,process_tree,604.53
1180000,1163.66,12.746,8.091,25.0875,process_tree,1.85,process_tree,604.55
1190000,1173.446,16.293,16.336,25.0875,process_tree,1.85,process_tree,604.36
1200000,1183.175,27.067,24.147,24.85625,process_tree,1.85,process_tree,604.13
1210000,1192.926,34.281,28.045,25.0875,process_tree,1.85,process_tree,604.42
1220000,1202.624,26.561,14.59,25.0875,process_tree,1.85,process_tree,604.41
1230000,1212.21,34.333,19.029,24.85625,process_tree,1.85,process_tree,604.43
1240000,1222.058,69.914,38.762,25.0875,process_tree,1.85,process_tree,604.44
1250000,1231.825,26.233,29.644,25.0875,process_tree,1.85,process_tree,604.62
1260000,1241.719,17.762,16.581,25.0875,process_tree,1.85,process_tree,604.54
1270000,1251.47,17.142,11.56,24.93125,process_tree,1.85,process_tree,604.5
1280000,1262.004,16.41,11.971,28.893749999999997,process_tree,1.85,process_tree,604.45
1290000,1271.827,14.921,7.989,46.4,process_tree,1.85,process_tree,604.61
1300000,1281.741,14.715,10.153,25.0875,process_tree,1.85,process_tree,604.69
1310000,1291.477,19.28,11.258,29.5625,process_tree,1.85,process_tree,604.81
1320000,1301.328,16.464,8.736,26.881249999999998,process_tree,1.85,process_tree,604.57
1330000,1310.379,13.063,6.067,25.0875,process_tree,1.85,process_tree,604.49
1340000,1320.261,19.12,15.47,24.85625,process_tree,1.85,process_tree,604.36
1350000,1330.857,19.761,18.68,26.86875,process_tree,1.85,process_tree,604.6
1360000,1340.602,19.738,9.867,51.025,process_tree,1.85,process_tree,604.38
1370000,1350.377,22.13,19.952,33.83125,process_tree,1.85,process_tree,604.84
1380000,1360.247,16.603,13.417,46.756249999999994,process_tree,1.85,process_tree,604.27
1390000,1369.305,13.328,8.699,24.85625,process_tree,1.85,process_tree,604.19
1400000,1379.105,12.569,7.518,25.0875,process_tree,1.85,process_tree,604.43
1410000,1388.964,14.043,10.593,24.85625,process_tree,1.85,process_tree,604.57
1420000,1398.651,17.481,12.806,25.0875,process_tree,1.85,process_tree,604.57
1430000,1408.531,10.519,8.947,24.85625,process_tree,1.85,process_tree,604.67
1440000,1418.547,5.853,6.398,24.85625,process_tree,1.85,process_tree,604.57
1450000,1428.6,7.317,6.944,25.0875,process_tree,1.85,process_tree,604.73
1460000,1438.502,18.176,13.114,24.85625,process_tree,1.85,process_tree,604.93
1470000,1448.244,24.203,20.236,25.0875,process_tree,1.85,process_tree,604.29
1480000,1458.085,41.876,31.432,25.0875,process_tree,1.85,process_tree,604.44
1490000,1467.779,26.421,22.099,25.0875,process_tree,1.85,process_tree,604.93
1500000,1477.632,24.014,31.438,24.85625,process_tree,1.85,process_tree,604.44
1510000,1487.414,13.102,14.815,24.85625,process_tree,1.85,process_tree,604.46
1520000,1497.237,26.434,25.667,25.0875,process_tree,1.85,process_tree,604.56
1530000,1506.951,34.981,31.45,24.85625,process_tree,1.85,process_tree,604.48
1540000,1516.818,10.299,5.95,25.2,process_tree,1.85,process_tree,604.33
1550000,1526.667,10.891,5.468,24.85625,process_tree,1.85,process_tree,604.77
1560000,1536.468,15.125,8.392,24.85625,process_tree,1.85,process_tree,604.43
1570000,1546.2,21.903,15.219,25.0875,process_tree,1.85,process_tree,604.45
1580000,1556.213,24.727,21.557,24.85625,process_tree,1.85,process_tree,604.56
1590000,1566.167,20.382,16.217,24.85625,process_tree,1.85,process_tree,604.37
1600000,1575.897,31.372,24.791,25.0875,process_tree,1.85,process_tree,604.7
1610000,1585.714,24.804,30.06,24.85625,process_tree,1.85,process_tree,604.57
1620000,1595.628,19.58,18.835,24.85625,process_tree,1.85,process_tree,604.93
1630000,1605.399,51.778,35.512,25.0875,process_tree,1.85,process_tree,604.64
1640000,1615.259,29.047,28.064,24.93125,process_tree,1.85,process_tree,604.39
1650000,1625.045,21.274,15.364,24.85625,process_tree,1.85,process_tree,604.55
1660000,1634.799,18.838,11.621,23.96875,process_tree,1.85,process_tree,604.54
1670000,1644.564,47.231,36.483,24.1875,process_tree,1.85,process_tree,604.65
1680000,1654.239,31.007,28.319,25.0875,process_tree,1.85,process_tree,604.64
1690000,1664.117,15.432,8.288,19.7125,process_tree,1.85,process_tree,604.45
1700000,1673.85,22.772,21.255,25.0875,process_tree,1.85,process_tree,604.04
1710000,1683.62,33.824,34.684,23.29375,process_tree,1.85,process_tree,604.8
1720000,1693.377,29.763,16.948,22.85625,process_tree,1.85,process_tree,604.6
1730000,1703.208,44.864,25.273,25.0875,process_tree,1.85,process_tree,604.55
1740000,1713.029,19.535,11.559,25.0875,process_tree,1.85,process_tree,604.45
1750000,1722.788,15.167,5.862,23.96875,process_tree,1.85,process_tree,604.35
1760000,1732.651,17.357,6.398,25.0875,process_tree,1.85,process_tree,604.26
1770000,1742.481,13.225,7.051,25.0875,process_tree,1.85,process_tree,604.68
1780000,1752.24,28.063,15.401,26.0875,process_tree,1.85,process_tree,604.55
1790000,1762.007,45.883,28.673,23.29375,process_tree,1.85,process_tree,604.45
1800000,1771.971,27.579,24.078,23.975,process_tree,1.85,process_tree,604.45
1810000,1781.077,30.307,27.988,24.85625,process_tree,1.85,process_tree,604.54
1820000,1790.895,34.856,28.939,24.93125,process_tree,1.85,process_tree,604.54
1830000,1800.629,35.016,34.403,25.0875,process_tree,1.85,process_tree,604.84
1840000,1810.459,21.203,15.808,24.85625,process_tree,1.85,process_tree,604.4
