step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,36.1,system,
10000,9.996,1.201,0.694,27.61875,process_tree,1.83,process_tree,596.69
20000,16.472,1.52,0.924,50.775,process_tree,1.84,process_tree,599.67
30000,22.066,1.921,1.301,45.4625,process_tree,1.83,process_tree,598.8
40000,28.433,2.995,2.178,34.86875,process_tree,1.84,process_tree,601.24
50000,33.789,4.904,3.969,28.64375,process_tree,1.85,process_tree,603.36
60000,39.038,11.272,11.107,25.0875,process_tree,1.87,process_tree,609.55
70000,45.122,66.6,39.38,42.80625,process_tree,1.86,process_tree,606.26
80000,50.133,94.929,12.422,25.0875,process_tree,1.86,process_tree,606.68
90000,55.975,90.28,29.16,36.65,process_tree,1.86,process_tree,608.88
100000,61.189,86.691,29.675,25.98125,process_tree,1.87,process_tree,609.23
110000,67.104,92.585,25.688,42.849999999999994,process_tree,1.87,process_tree,609.75
120000,72.174,99.708,0.967,27.775,process_tree,1.87,process_tree,609.92
130000,78.023,93.427,20.785,31.09375,process_tree,1.87,process_tree,610.09
140000,83.027,100.0,0.0,30.86875,process_tree,1.87,process_tree,610.17
150000,87.97,100.0,0.0,25.0875,process_tree,1.87,process_tree,610.23
160000,93.904,74.8,38.492,30.2625,process_tree,1.87,process_tree,610.33
170000,98.994,100.0,0.0,24.85625,process_tree,1.87,process_tree,610.45
180000,104.925,100.0,0.0,32.2125,process_tree,1.87,process_tree,610.48
190000,110.14,100.0,0.0,24.85625,process_tree,1.87,process_tree,610.49
200000,115.786,87.675,32.609,35.818749999999994,process_tree,1.87,process_tree,610.51
210000,120.889,91.758,27.335,38.4375,process_tree,1.87,process_tree,610.52
220000,126.972,100.0,0.0,35.756249999999994,process_tree,1.87,process_tree,610.56
230000,131.739,84.785,35.683,26.65625,process_tree,1.87,process_tree,610.57
240000,137.844,91.045,28.317,26.85625,process_tree,1.87,process_tree,610.65
250000,142.899,100.0,0.0,23.975,process_tree,1.87,process_tree,610.81
260000,148.671,100.0,0.0,29.568749999999998,process_tree,1.87,process_tree,610.84
270000,154.042,67.721,36.305,26.862499999999997,process_tree,1.86,process_tree,607.9
280000,158.96,82.642,33.144,25.0875,process_tree,1.87,process_tree,609.8
290000,164.727,93.689,17.851,30.41875,process_tree,1.87,process_tree,610.31
300000,169.768,100.0,0.0,31.0875,process_tree,1.87,process_tree,610.7
310000,175.844,100.0,0.0,27.775,process_tree,1.87,process_tree,610.87
320000,180.771,100.0,0.0,27.59375,process_tree,1.87,process_tree,610.87
330000,187.01,94.655,13.278,39.40625,process_tree,1.87,process_tree,611.69
340000,191.905,100.0,0.0,43.525,process_tree,1.87,process_tree,611.74
350000,197.531,100.0,0.0,26.65,process_tree,1.87,process_tree,611.74
360000,202.573,100.0,0.0,25.75,process_tree,1.87,process_tree,611.74
370000,208.494,100.0,0.0,30.80625,process_tree,1.87,process_tree,611.76
380000,213.34,100.0,0.0,34.15625,process_tree,1.87,process_tree,611.78
