step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,42.2,system,
10000,10.201,1.124,0.639,41.175,process_tree,1.82,process_tree,593.11
20000,17.41,1.217,0.715,36.50625,process_tree,1.83,process_tree,596.45
30000,23.378,1.463,0.827,36.724999999999994,process_tree,1.82,process_tree,594.98
40000,30.228,1.854,1.08,42.775,process_tree,1.82,process_tree,595.58
50000,36.086,2.449,1.412,25.0875,process_tree,1.83,process_tree,596.16
60000,43.011,2.663,1.884,40.18125,process_tree,1.83,process_tree,596.25
70000,49.83,4.107,3.27,27.756249999999998,process_tree,1.83,process_tree,596.29
80000,55.378,4.873,3.909,27.75,process_tree,1.83,process_tree,596.46
90000,62.139,7.582,7.473,35.762499999999996,process_tree,1.83,process_tree,596.11
100000,67.615,13.095,15.351,19.53125,process_tree,1.83,process_tree,596.3
110000,74.034,21.533,25.97,25.068749999999998,process_tree,1.83,process_tree,596.31
120000,80.611,24.617,24.247,38.3,process_tree,1.84,process_tree,599.96
130000,85.965,34.581,29.488,39.3,process_tree,1.83,process_tree,597.41
140000,92.485,65.1,38.651,42.39375,process_tree,1.84,process_tree,601.25
150000,98.005,80.692,34.106,25.98125,process_tree,1.83,process_tree,597.64
160000,104.404,80.333,34.407,40.0875,process_tree,1.83,process_tree,597.59
170000,109.853,80.482,31.918,24.85625,process_tree,1.83,process_tree,597.75
180000,116.346,85.95,28.112,50.8375,process_tree,1.83,process_tree,597.73
190000,122.756,93.418,14.187,32.24375,process_tree,1.84,process_tree,600.68
200000,128.247,76.036,35.049,40.75,process_tree,1.83,process_tree,597.8
210000,134.802,81.991,24.821,27.69375,process_tree,1.83,process_tree,597.95
220000,140.157,88.733,25.196,25.75,process_tree,1.84,process_tree,600.65
230000,146.733,68.18,45.042,31.14375,process_tree,1.83,process_tree,597.68
240000,152.203,87.173,29.358,25.0875,process_tree,1.84,process_tree,601.38
250000,158.51,100.0,0.0,45.5125,process_tree,1.83,process_tree,597.93
260000,165.187,78.85,32.212,35.51875,process_tree,1.83,process_tree,597.95
270000,170.676,96.663,8.83,25.89375,process_tree,1.83,process_tree,597.77
280000,177.053,78.75,30.99,43.50625,process_tree,1.84,process_tree,600.75
290000,182.587,80.64,30.531,25.0875,process_tree,1.83,process_tree,599.16
300000,189.005,85.08,27.973,44.1875,process_tree,1.83,process_tree,598.8
310000,195.495,65.594,37.262,27.75,process_tree,1.83,process_tree,597.94
320000,200.96,37.815,30.943,38.49375,process_tree,1.83,process_tree,597.72
330000,207.486,22.97,19.601,32.95,process_tree,1.83,process_tree,597.9
340000,212.98,24.767,14.238,25.75,process_tree,1.83,process_tree,598.99
350000,219.476,72.154,23.05,28.44375,process_tree,1.83,process_tree,598.41
360000,224.893,62.073,41.777,25.0875,process_tree,1.83,process_tree,598.3
370000,231.387,63.1,37.158,25.0875,process_tree,1.84,process_tree,601.44
380000,237.87,52.785,24.995,48.35,process_tree,1.84,process_tree,600.3
390000,243.391,65.067,35.249,28.65625,process_tree,1.83,process_tree,597.71
400000,249.918,88.714,17.98,26.724999999999998,process_tree,1.84,process_tree,600.65
410000,255.384,100.0,0.0,25.98125,process_tree,1.83,process_tree,597.98
420000,261.931,100.0,0.0,25.75,process_tree,1.83,process_tree,597.81
430000,267.295,100.0,0.0,25.0875,process_tree,1.84,process_tree,601.29
440000,273.767,93.2,22.553,27.775,process_tree,1.83,process_tree,598.22
450000,280.107,100.0,0.0,41.881249999999994,process_tree,1.84,process_tree,601.69
460000,285.683,100.0,0.0,27.537499999999998,process_tree,1.84,process_tree,599.27
470000,292.153,100.0,0.0,35.85625,process_tree,1.83,process_tree,597.93
480000,297.498,91.638,22.125,25.0875,process_tree,1.83,process_tree,599.13
490000,304.057,85.258,33.282,29.568749999999998,process_tree,1.83,process_tree,598.43
500000,309.608,100.0,0.0,25.0875,process_tree,1.86,process_tree,607.82
510000,316.231,92.464,23.832,42.23125,process_tree,1.87,process_tree,610.37
520000,322.76,100.0,0.0,26.881249999999998,process_tree,1.87,process_tree,609.68
530000,328.167,100.0,0.0,51.0625,process_tree,1.88,process_tree,613.03
540000,334.707,100.0,0.0,45.224999999999994,process_tree,1.87,process_tree,609.7
550000,340.148,100.0,0.0,23.96875,process_tree,1.87,process_tree,609.73
560000,346.617,100.0,0.0,33.84375,process_tree,1.87,process_tree,611.76
