step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,37.3,system,
10000,8.381,1.125,0.695,44.575,process_tree,1.85,process_tree,604.93
20000,12.377,1.206,0.752,31.125,process_tree,1.93,process_tree,629.43
30000,16.537,1.166,0.736,23.75,process_tree,1.99,process_tree,650.37
40000,20.656,1.153,0.679,34.05,process_tree,2.06,process_tree,673.68
50000,24.886,1.167,0.734,34.91875,process_tree,2.13,process_tree,696.57
60000,28.837,1.156,0.695,55.05,process_tree,2.2,process_tree,717.02
70000,32.955,1.175,0.718,45.068749999999994,process_tree,2.26,process_tree,737.98
80000,37.06,1.2,0.711,32.2375,process_tree,2.34,process_tree,763.94
90000,41.163,1.161,0.647,34.637499999999996,process_tree,2.41,process_tree,786.0
100000,45.294,1.157,0.735,27.9,process_tree,2.46,process_tree,803.33
110000,49.278,1.133,0.676,30.662499999999998,process_tree,2.53,process_tree,825.74
120000,53.633,1.197,0.718,38.29375,process_tree,2.6,process_tree,849.48
130000,57.558,1.179,0.712,26.862499999999997,process_tree,2.66,process_tree,868.09
140000,61.621,1.217,0.743,37.175,process_tree,2.72,process_tree,888.52
150000,65.898,1.204,0.79,31.35625,process_tree,2.79,process_tree,910.91
160000,69.881,1.193,0.768,28.443749999999998,process_tree,2.85,process_tree,932.02
170000,73.922,1.181,0.743,28.64375,process_tree,2.92,process_tree,954.24
180000,77.878,1.133,0.664,25.76875,process_tree,2.99,process_tree,975.45
190000,82.382,1.139,0.645,35.64375,process_tree,3.05,process_tree,997.57
200000,86.326,1.132,0.644,29.54375,process_tree,3.12,process_tree,1019.02
210000,90.444,1.145,0.658,40.1875,process_tree,3.19,process_tree,1041.43
220000,94.402,1.164,0.733,36.40625,process_tree,3.26,process_tree,1062.9
230000,98.436,1.186,0.705,34.1875,process_tree,3.32,process_tree,1083.9
240000,102.876,1.151,0.709,32.91875,process_tree,3.39,process_tree,1106.22
250000,106.872,1.154,0.688,49.04375,process_tree,3.46,process_tree,1128.3
260000,110.985,1.094,0.675,29.999999999999996,process_tree,3.52,process_tree,1148.94
270000,114.955,1.112,0.69,28.499999999999996,process_tree,3.59,process_tree,1171.26
280000,119.036,1.158,0.697,27.537499999999998,process_tree,3.65,process_tree,1193.31
290000,122.987,1.157,0.716,41.0875,process_tree,3.72,process_tree,1214.42
300000,127.109,1.212,0.78,19.7125,process_tree,3.78,process_tree,1235.46
310000,131.534,1.143,0.718,26.65,process_tree,3.85,process_tree,1258.41
320000,135.502,1.183,0.664,34.7375,process_tree,3.92,process_tree,1280.1
330000,139.563,1.113,0.69,26.86875,process_tree,3.98,process_tree,1300.82
340000,143.541,1.162,0.683,38.5,process_tree,4.05,process_tree,1323.42
350000,147.577,1.196,0.699,45.631249999999994,process_tree,4.12,process_tree,1345.22
360000,151.543,1.162,0.757,32.20625,process_tree,4.19,process_tree,1366.92
370000,155.659,1.243,0.743,41.73125,process_tree,4.25,process_tree,1388.07
380000,160.178,1.184,0.757,26.1125,process_tree,4.32,process_tree,1410.34
390000,358.444,1.35,0.915,41.075,process_tree,2.31,process_tree,754.92
400000,362.344,1.483,0.898,20.60625,process_tree,2.27,process_tree,741.36
410000,366.237,1.547,0.986,38.4125,process_tree,2.27,process_tree,742.45
420000,370.21,1.411,0.871,46.35625,process_tree,2.29,process_tree,747.39
430000,374.03,1.447,0.918,27.537499999999998,process_tree,2.31,process_tree,754.27
440000,377.99,1.469,0.928,28.662499999999998,process_tree,2.34,process_tree,764.94
450000,381.899,1.48,0.938,33.15,process_tree,2.36,process_tree,771.58
460000,385.809,1.399,0.819,39.3,process_tree,2.39,process_tree,779.24
470000,389.897,1.55,0.914,39.25,process_tree,2.5,process_tree,815.93
480000,393.727,1.523,0.974,38.66875,process_tree,2.55,process_tree,833.19
490000,397.767,1.53,0.933,32.05,process_tree,2.64,process_tree,862.91
500000,401.861,1.469,0.938,27.768749999999997,process_tree,2.73,process_tree,890.57
510000,405.829,1.572,1.01,43.6875,process_tree,2.67,process_tree,873.18
520000,409.849,1.378,0.887,42.0875,process_tree,2.74,process_tree,894.32
530000,413.981,1.497,0.986,35.375,process_tree,2.81,process_tree,916.47
540000,417.934,1.482,0.963,26.0875,process_tree,2.87,process_tree,938.13
550000,421.775,1.428,0.857,32.974999999999994,process_tree,2.94,process_tree,959.76
560000,426.116,1.444,0.904,29.54375,process_tree,3.01,process_tree,981.55
570000,429.956,1.43,0.873,41.88125,process_tree,3.07,process_tree,1002.93
580000,433.927,1.447,0.859,25.974999999999998,process_tree,3.14,process_tree,1024.68
590000,437.789,1.463,1.004,39.96875,process_tree,3.2,process_tree,1046.2
600000,441.731,1.449,0.832,38.425,process_tree,3.27,process_tree,1066.44
610000,446.04,1.479,0.958,41.75,process_tree,3.33,process_tree,1088.27
620000,449.945,1.379,0.803,25.068749999999998,process_tree,3.4,process_tree,1110.67
630000,453.938,1.479,0.881,37.51875,process_tree,3.46,process_tree,1131.09
640000,457.891,1.451,0.931,28.66875,process_tree,3.53,process_tree,1153.95
650000,461.878,1.459,0.979,45.4625,process_tree,3.6,process_tree,1174.65
660000,465.736,1.463,0.962,26.86875,process_tree,3.66,process_tree,1195.99
670000,470.191,1.44,0.883,33.96875,process_tree,3.73,process_tree,1217.62
680000,474.132,1.411,0.866,25.75,process_tree,3.8,process_tree,1239.5
690000,477.996,1.375,0.835,27.775,process_tree,3.86,process_tree,1261.59
700000,482.04,1.535,0.913,34.625,process_tree,3.93,process_tree,1283.18
710000,485.92,1.51,1.014,34.03125,process_tree,4.0,process_tree,1304.77
720000,489.927,1.4,0.828,34.925,process_tree,4.06,process_tree,1325.64
730000,493.835,1.386,0.864,27.54375,process_tree,4.13,process_tree,1347.93
740000,498.374,1.396,0.924,28.4375,process_tree,4.19,process_tree,1368.73
750000,502.335,1.453,0.899,30.23125,process_tree,4.26,process_tree,1390.93
760000,506.245,1.499,0.91,24.18125,process_tree,4.33,process_tree,1413.22
770000,715.223,1.546,1.011,27.912499999999998,process_tree,2.78,process_tree,908.01
780000,718.891,2.482,1.862,25.081249999999997,process_tree,2.68,process_tree,874.83
790000,722.718,2.269,1.698,57.325,process_tree,2.65,process_tree,865.7
800000,726.448,2.391,1.798,30.4,process_tree,2.66,process_tree,869.55
810000,730.139,2.355,1.58,23.28125,process_tree,2.69,process_tree,877.78
820000,734.026,2.424,1.824,35.8125,process_tree,2.71,process_tree,884.23
830000,737.662,2.549,1.73,25.0875,process_tree,2.73,process_tree,891.48
840000,741.624,2.543,1.877,29.393749999999997,process_tree,2.75,process_tree,897.73
850000,745.295,2.258,1.499,25.0875,process_tree,2.79,process_tree,910.38
860000,749.353,2.238,1.605,28.612499999999997,process_tree,2.8,process_tree,914.63
870000,753.014,2.529,2.11,24.3375,process_tree,2.85,process_tree,930.75
880000,757.028,2.253,1.601,52.01875,process_tree,2.92,process_tree,954.08
890000,760.725,2.527,1.872,28.8,process_tree,2.76,process_tree,902.59
900000,764.403,2.497,1.997,30.20625,process_tree,2.78,process_tree,908.99
910000,768.495,2.444,2.082,42.0875,process_tree,2.8,process_tree,914.81
920000,772.214,2.471,1.739,53.724999999999994,process_tree,2.84,process_tree,928.15
930000,775.904,2.401,1.54,67.49375,process_tree,2.91,process_tree,949.04
940000,779.678,2.519,1.757,32.2375,process_tree,2.97,process_tree,971.2
950000,783.632,2.419,1.679,51.74375,process_tree,3.04,process_tree,991.86
960000,787.551,2.478,1.829,31.3125,process_tree,3.11,process_tree,1014.55
970000,791.217,2.485,1.728,32.050000000000004,process_tree,3.17,process_tree,1035.48
980000,794.904,2.381,1.799,29.55625,process_tree,3.24,process_tree,1057.1
990000,799.068,2.386,1.716,38.4,process_tree,3.3,process_tree,1078.96
1000000,802.729,2.51,1.953,26.85625,process_tree,3.37,process_tree,1100.48
1010000,806.579,2.398,1.868,36.6375,process_tree,3.44,process_tree,1122.26
1020000,810.264,2.445,1.723,26.71875,process_tree,3.5,process_tree,1143.39
1030000,813.984,2.424,1.75,26.2625,process_tree,3.57,process_tree,1164.38
1040000,818.356,2.394,1.809,38.51875,process_tree,3.64,process_tree,1187.07
1050000,822.03,2.398,1.716,35.8125,process_tree,3.7,process_tree,1207.77
1060000,825.898,2.25,1.783,32.24375,process_tree,3.77,process_tree,1229.94
1070000,829.593,2.387,1.771,25.825,process_tree,3.83,process_tree,1251.5
1080000,833.43,2.511,1.849,44.875,process_tree,3.9,process_tree,1272.24
1090000,837.168,2.451,1.807,34.137499999999996,process_tree,3.96,process_tree,1294.34
1100000,840.843,2.436,1.827,36.71875,process_tree,4.03,process_tree,1315.3
