step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,37.7,system,
10000,13.026,1.815,1.357,29.53125,process_tree,1.8,process_tree,586.37
20000,21.551,3.822,3.235,29.568749999999998,process_tree,1.8,process_tree,589.21
30000,29.892,8.882,8.794,38.574999999999996,process_tree,1.8,process_tree,588.68
40000,38.399,26.0,28.809,25.0875,process_tree,1.8,process_tree,588.85
50000,46.776,79.329,39.587,26.862499999999997,process_tree,1.8,process_tree,588.93
60000,55.136,100.0,0.0,38.525,process_tree,1.8,process_tree,589.24
70000,63.628,91.833,27.086,27.54375,process_tree,1.8,process_tree,588.92
80000,72.099,85.0,35.178,25.0875,process_tree,1.8,process_tree,588.97
90000,80.44,44.75,48.73,25.75,process_tree,1.8,process_tree,588.98
100000,88.906,80.37,39.26,25.98125,process_tree,1.8,process_tree,589.1
110000,97.337,50.779,49.225,25.75,process_tree,1.8,process_tree,589.01
120000,105.612,43.292,48.565,25.974999999999998,process_tree,1.8,process_tree,588.91
130000,114.102,83.542,36.802,40.425,process_tree,1.8,process_tree,588.97
140000,122.508,80.22,39.562,34.70625,process_tree,1.8,process_tree,589.23
150000,130.936,77.431,41.206,44.568749999999994,process_tree,1.8,process_tree,588.93
160000,139.228,90.1,29.7,26.98125,process_tree,1.8,process_tree,589.26
170000,147.577,70.859,45.147,24.85625,process_tree,1.8,process_tree,589.17
180000,155.99,83.442,37.026,25.98125,process_tree,1.8,process_tree,589.25
190000,164.464,100.0,0.0,25.75,process_tree,1.8,process_tree,589.0
200000,172.847,80.24,39.52,30.86875,process_tree,1.8,process_tree,589.07
210000,181.153,82.055,38.068,26.862499999999997,process_tree,1.8,process_tree,589.18
220000,189.534,63.044,47.713,26.862499999999997,process_tree,1.8,process_tree,588.79
230000,197.952,67.278,46.278,25.89375,process_tree,1.8,process_tree,588.82
240000,206.377,71.929,44.386,42.775,process_tree,1.8,process_tree,589.03
250000,214.84,84.8,35.649,39.06875,process_tree,1.8,process_tree,589.16
260000,223.244,70.69,44.773,26.881249999999998,process_tree,1.8,process_tree,589.05
270000,231.668,62.131,47.903,26.95625,process_tree,1.8,process_tree,588.79
280000,240.182,100.0,0.0,24.85625,process_tree,1.8,process_tree,588.9
290000,248.551,100.0,0.0,26.65,process_tree,1.8,process_tree,589.11
300000,256.87,92.392,26.354,26.7125,process_tree,1.8,process_tree,589.04
310000,265.391,91.758,27.335,33.324999999999996,process_tree,1.8,process_tree,589.02
320000,273.859,64.191,47.372,25.98125,process_tree,1.8,process_tree,588.98
330000,282.192,100.0,0.0,37.631249999999994,process_tree,1.8,process_tree,588.8
340000,290.615,100.0,0.0,26.875,process_tree,1.8,process_tree,588.92
350000,298.914,91.091,28.173,25.0875,process_tree,1.8,process_tree,589.05
360000,307.305,100.0,0.0,27.54375,process_tree,1.8,process_tree,589.36
370000,315.657,100.0,0.0,33.15,process_tree,1.8,process_tree,589.22
380000,324.028,73.173,43.81,29.53125,process_tree,1.81,process_tree,589.48
390000,332.376,80.3,39.402,38.40625,process_tree,1.8,process_tree,589.38
400000,340.669,100.0,0.0,24.85625,process_tree,1.8,process_tree,589.29
410000,349.105,100.0,0.0,25.0875,process_tree,1.8,process_tree,589.07
420000,357.558,100.0,0.0,29.33125,process_tree,1.8,process_tree,589.29
430000,366.036,100.0,0.0,25.98125,process_tree,1.81,process_tree,589.61
440000,374.498,88.967,31.207,41.0,process_tree,1.8,process_tree,589.36
450000,382.938,73.136,43.87,25.98125,process_tree,1.8,process_tree,589.23
460000,391.193,80.267,39.467,25.0875,process_tree,1.8,process_tree,589.21
470000,399.573,71.821,44.556,38.724999999999994,process_tree,1.8,process_tree,589.18
480000,407.9,57.605,48.954,26.862499999999997,process_tree,1.8,process_tree,589.32
490000,416.356,100.0,0.0,41.199999999999996,process_tree,1.8,process_tree,588.95
500000,424.585,100.0,0.0,26.65,process_tree,1.83,process_tree,597.35
510000,433.02,100.0,0.0,27.75,process_tree,1.83,process_tree,598.29
520000,441.526,85.829,34.713,26.862499999999997,process_tree,1.83,process_tree,598.42
530000,450.05,100.0,0.0,32.19375,process_tree,1.83,process_tree,598.65
540000,458.39,100.0,0.0,27.01875,process_tree,1.83,process_tree,598.46
550000,466.851,100.0,0.0,27.756249999999998,process_tree,1.83,process_tree,598.31
560000,475.206,100.0,0.0,25.974999999999998,process_tree,1.83,process_tree,598.41
570000,483.395,100.0,0.0,26.862499999999997,process_tree,1.83,process_tree,598.37
