step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,38.6,system,
10000,10.884,1.154,0.728,8.00625,process_tree,1.8,process_tree,588.89
20000,18.115,1.559,0.952,8.9375,process_tree,1.81,process_tree,590.64
30000,24.638,2.294,1.311,7.1000000000000005,process_tree,1.81,process_tree,591.03
40000,31.894,3.208,2.416,12.48125,process_tree,1.81,process_tree,591.45
50000,38.231,4.573,3.87,6.2125,process_tree,1.81,process_tree,591.44
60000,45.242,6.566,5.549,13.4375,process_tree,1.81,process_tree,591.41
70000,51.472,8.966,9.179,19.7125,process_tree,1.81,process_tree,591.73
80000,58.395,9.353,9.377,9.81875,process_tree,1.81,process_tree,591.35
90000,64.583,20.836,21.204,19.7125,process_tree,1.81,process_tree,591.52
100000,71.511,13.204,10.233,17.21875,process_tree,1.81,process_tree,591.57
110000,77.601,21.107,16.153,24.85625,process_tree,1.81,process_tree,591.66
120000,84.481,67.756,38.173,8.9,process_tree,1.81,process_tree,591.87
130000,91.442,17.41,17.468,14.3375,process_tree,1.81,process_tree,591.25
140000,97.699,23.308,10.972,6.26875,process_tree,1.81,process_tree,591.31
150000,104.486,100.0,0.0,35.7375,process_tree,1.81,process_tree,591.26
160000,110.709,81.427,34.153,7.1625,process_tree,1.81,process_tree,591.45
170000,117.524,90.47,28.59,54.6375,process_tree,1.81,process_tree,591.43
180000,123.669,44.897,33.52,6.23125,process_tree,1.81,process_tree,591.55
190000,130.546,20.647,16.563,29.356250000000003,process_tree,1.81,process_tree,591.87
200000,136.748,94.27,11.84,6.26875,process_tree,1.81,process_tree,591.68
210000,143.607,52.241,43.113,9.825000000000001,process_tree,1.81,process_tree,591.57
220000,149.775,28.658,28.582,7.1875,process_tree,1.81,process_tree,591.41
230000,156.672,74.212,40.48,12.4875,process_tree,1.81,process_tree,591.4
240000,162.756,57.161,40.969,6.2125,process_tree,1.81,process_tree,591.68
250000,169.737,51.582,38.144,24.356250000000003,process_tree,1.81,process_tree,591.68
260000,175.912,37.43,29.704,5.375,process_tree,1.81,process_tree,591.66
270000,182.818,32.394,17.003,14.3,process_tree,1.81,process_tree,591.62
280000,188.876,74.647,34.328,6.2125,process_tree,1.81,process_tree,591.53
290000,195.727,97.156,8.045,22.3375,process_tree,1.81,process_tree,591.72
300000,201.906,98.0,6.928,6.26875,process_tree,1.81,process_tree,591.73
310000,208.8,20.926,22.396,22.275,process_tree,1.81,process_tree,592.0
320000,214.997,12.674,7.471,6.26875,process_tree,1.81,process_tree,591.94
330000,222.079,10.142,6.551,8.075,process_tree,1.81,process_tree,591.6
340000,228.328,19.72,11.931,22.4,process_tree,1.81,process_tree,591.71
350000,235.233,81.125,32.757,8.9375,process_tree,1.81,process_tree,591.65
360000,241.331,100.0,0.0,6.26875,process_tree,1.81,process_tree,591.69
370000,248.264,100.0,0.0,26.6375,process_tree,1.81,process_tree,591.64
380000,254.412,100.0,0.0,7.1625,process_tree,1.81,process_tree,591.56
390000,261.37,100.0,0.0,16.1,process_tree,1.81,process_tree,591.55
400000,267.53,100.0,0.0,8.04375,process_tree,1.81,process_tree,591.56
