step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,39.9,system,
10000,10.32,1.075,0.652,26.6625,process_tree,1.85,process_tree,604.14
20000,16.399,1.197,0.747,24.175,process_tree,1.86,process_tree,606.94
30000,22.515,1.272,0.733,32.79375,process_tree,1.86,process_tree,607.14
40000,28.537,1.357,0.78,31.1625,process_tree,1.86,process_tree,607.17
50000,34.647,1.406,0.851,26.862499999999997,process_tree,1.86,process_tree,607.72
60000,40.74,1.496,0.923,47.474999999999994,process_tree,1.86,process_tree,606.77
70000,46.741,1.544,0.906,29.099999999999998,process_tree,1.86,process_tree,606.75
80000,52.698,1.785,1.085,25.0875,process_tree,1.86,process_tree,608.08
90000,60.895,1.921,1.215,41.199999999999996,process_tree,1.86,process_tree,608.31
100000,66.925,2.003,1.374,24.287499999999998,process_tree,1.86,process_tree,607.71
110000,72.703,2.108,1.306,23.4375,process_tree,1.86,process_tree,608.48
120000,78.588,2.337,1.675,30.60625,process_tree,1.86,process_tree,608.84
130000,84.465,2.406,1.59,43.09375,process_tree,1.87,process_tree,609.19
140000,90.307,2.783,1.879,26.64375,process_tree,1.86,process_tree,608.26
150000,96.291,2.854,2.31,37.537499999999994,process_tree,1.87,process_tree,609.03
160000,101.971,3.167,2.483,26.86875,process_tree,1.87,process_tree,609.22
170000,107.816,3.145,2.379,24.85625,process_tree,1.87,process_tree,609.22
180000,115.921,3.388,2.796,43.7375,process_tree,1.86,process_tree,608.89
190000,121.598,3.601,2.85,27.775,process_tree,1.87,process_tree,609.04
200000,127.491,3.581,3.061,53.73125,process_tree,1.87,process_tree,609.97
210000,133.206,4.224,3.349,42.0875,process_tree,1.87,process_tree,609.72
220000,138.835,4.925,4.261,27.775,process_tree,1.87,process_tree,610.82
230000,144.568,5.223,4.96,32.93125,process_tree,1.87,process_tree,610.09
240000,150.237,4.623,4.196,26.65625,process_tree,1.87,process_tree,609.71
250000,156.008,4.993,4.42,48.35625,process_tree,1.87,process_tree,610.46
260000,161.803,4.905,4.881,25.0875,process_tree,1.87,process_tree,611.2
270000,169.598,6.146,6.365,29.549999999999997,process_tree,1.88,process_tree,614.25
280000,175.43,7.963,6.157,29.3375,process_tree,1.87,process_tree,611.42
290000,180.948,8.252,8.309,28.5125,process_tree,1.87,process_tree,611.04
300000,186.518,9.168,10.476,32.94375,process_tree,1.87,process_tree,611.27
310000,191.99,10.796,10.67,48.35625,process_tree,1.88,process_tree,612.72
320000,197.656,11.989,14.042,38.506249999999994,process_tree,1.87,process_tree,611.71
330000,203.061,14.79,15.441,29.61875,process_tree,1.88,process_tree,612.71
340000,208.706,20.236,22.115,47.5125,process_tree,1.87,process_tree,611.51
350000,214.223,20.825,20.801,24.1875,process_tree,1.88,process_tree,612.37
360000,219.692,46.738,35.256,22.19375,process_tree,1.87,process_tree,612.12
370000,227.482,40.341,39.625,22.19375,process_tree,1.88,process_tree,614.92
380000,233.097,44.0,39.141,32.95,process_tree,1.88,process_tree,614.71
390000,238.625,63.975,39.923,41.724999999999994,process_tree,1.87,process_tree,611.5
400000,244.167,60.22,33.012,43.7375,process_tree,1.88,process_tree,612.62
410000,249.611,72.18,33.845,24.868750000000002,process_tree,1.88,process_tree,612.77
420000,255.048,72.709,38.351,51.8125,process_tree,1.88,process_tree,612.5
430000,260.656,100.0,0.0,32.20625,process_tree,1.88,process_tree,614.59
440000,265.969,65.95,44.45,54.4,process_tree,1.88,process_tree,612.75
450000,271.732,94.05,11.983,24.85625,process_tree,1.88,process_tree,612.5
460000,279.385,96.255,11.844,31.175,process_tree,1.88,process_tree,614.13
470000,284.858,100.0,0.0,44.5875,process_tree,1.88,process_tree,614.2
480000,290.374,88.978,31.176,27.756249999999998,process_tree,1.88,process_tree,614.02
490000,295.686,84.823,35.594,29.099999999999998,process_tree,1.87,process_tree,612.23
500000,301.14,95.53,13.41,33.7375,process_tree,1.89,process_tree,618.5
510000,306.613,92.0,26.533,59.8,process_tree,1.91,process_tree,624.04
520000,312.249,100.0,0.0,28.662499999999998,process_tree,1.91,process_tree,623.15
530000,317.498,100.0,0.0,35.818749999999994,process_tree,1.91,process_tree,623.04
540000,323.097,100.0,0.0,47.28125,process_tree,1.92,process_tree,625.75
550000,328.599,100.0,0.0,21.81875,process_tree,1.91,process_tree,623.87
560000,336.056,91.218,27.771,23.2375,process_tree,1.92,process_tree,626.8
570000,341.515,100.0,0.0,36.4,process_tree,1.92,process_tree,626.84
580000,347.006,100.0,0.0,29.525,process_tree,1.92,process_tree,626.84
590000,352.319,100.0,0.0,30.443749999999998,process_tree,1.92,process_tree,626.85
600000,357.828,100.0,0.0,28.6375,process_tree,1.91,process_tree,624.18
610000,363.365,100.0,0.0,40.9875,process_tree,1.91,process_tree,624.54
