step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,39.9,system,
10000,12.015,1.458,1.081,25.0875,process_tree,1.79,process_tree,585.6
20000,19.402,3.011,2.373,29.3375,process_tree,1.8,process_tree,587.59
30000,26.926,5.741,5.121,25.0875,process_tree,1.81,process_tree,589.73
40000,34.156,14.067,10.767,26.65,process_tree,1.81,process_tree,590.4
50000,41.488,21.697,19.744,29.3,process_tree,1.81,process_tree,590.18
60000,48.436,58.207,37.588,36.64375,process_tree,1.81,process_tree,590.33
70000,55.883,92.644,14.524,27.756249999999998,process_tree,1.81,process_tree,590.26
80000,62.816,88.593,28.414,41.9625,process_tree,1.81,process_tree,590.31
90000,70.083,89.483,19.452,37.912499999999994,process_tree,1.81,process_tree,590.36
100000,77.217,77.146,41.725,36.7375,process_tree,1.81,process_tree,590.92
110000,84.363,75.9,40.458,25.75,process_tree,1.81,process_tree,590.34
120000,91.509,84.757,30.656,42.98125,process_tree,1.81,process_tree,590.39
130000,98.754,76.175,40.366,26.862499999999997,process_tree,1.81,process_tree,590.39
140000,105.733,87.323,27.812,25.89375,process_tree,1.81,process_tree,590.73
150000,112.962,80.538,36.259,41.881249999999994,process_tree,1.81,process_tree,590.39
160000,120.068,90.15,29.55,46.675,process_tree,1.81,process_tree,590.2
170000,127.398,100.0,0.0,26.881249999999998,process_tree,1.81,process_tree,590.14
180000,134.522,73.12,39.101,25.75,process_tree,1.81,process_tree,590.47
190000,141.685,50.25,32.397,28.66875,process_tree,1.81,process_tree,590.84
200000,148.727,91.888,21.464,39.40625,process_tree,1.81,process_tree,590.2
210000,155.856,92.482,15.957,25.75,process_tree,1.81,process_tree,590.27
220000,163.142,85.236,32.307,35.74375,process_tree,1.81,process_tree,590.19
230000,170.118,100.0,0.0,29.55625,process_tree,1.81,process_tree,590.26
240000,177.211,94.458,18.38,34.787499999999994,process_tree,1.81,process_tree,590.73
250000,184.572,100.0,0.0,28.4375,process_tree,1.81,process_tree,590.43
260000,191.568,100.0,0.0,26.95625,process_tree,1.81,process_tree,590.27
270000,198.888,90.964,28.575,27.768749999999997,process_tree,1.81,process_tree,590.47
280000,205.979,66.686,44.773,35.24375,process_tree,1.81,process_tree,590.56
290000,213.026,90.627,28.215,38.43125,process_tree,1.81,process_tree,590.28
300000,220.309,84.486,33.435,25.0875,process_tree,1.81,process_tree,590.51
310000,227.433,90.982,28.518,36.85,process_tree,1.81,process_tree,590.21
320000,234.661,88.989,31.144,34.7125,process_tree,1.81,process_tree,590.43
330000,241.852,100.0,0.0,32.0875,process_tree,1.81,process_tree,590.29
340000,248.669,90.936,28.662,39.2625,process_tree,1.81,process_tree,590.51
350000,256.116,76.313,35.575,26.125,process_tree,1.81,process_tree,590.49
360000,263.057,69.546,45.681,24.474999999999998,process_tree,1.81,process_tree,590.39
370000,270.213,46.45,49.26,26.86875,process_tree,1.81,process_tree,590.62
380000,277.554,61.892,48.203,35.05625,process_tree,1.81,process_tree,590.58
390000,284.618,78.757,40.677,43.525,process_tree,1.81,process_tree,590.58
400000,291.666,90.1,29.7,26.862499999999997,process_tree,1.81,process_tree,590.55
410000,298.898,78.886,40.431,29.525,process_tree,1.81,process_tree,591.22
420000,305.995,90.945,28.633,27.75,process_tree,1.81,process_tree,590.9
430000,313.101,84.638,36.026,26.65,process_tree,1.81,process_tree,590.69
440000,320.399,89.011,31.081,25.98125,process_tree,1.81,process_tree,590.71
450000,327.58,84.785,35.683,26.65,process_tree,1.81,process_tree,590.79
460000,334.555,69.523,45.716,26.98125,process_tree,1.81,process_tree,590.92
470000,341.829,71.693,44.758,27.54375,process_tree,1.81,process_tree,590.73
480000,349.121,69.081,45.86,28.424999999999997,process_tree,1.81,process_tree,590.71
490000,356.083,67.007,46.661,26.65,process_tree,1.81,process_tree,591.03
500000,363.312,64.6,47.495,26.125,process_tree,1.84,process_tree,600.53
