step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.7,system,
10000,10.81,1.177,0.676,25.974999999999998,process_tree,1.82,process_tree,595.34
20000,17.321,1.143,0.678,30.4375,process_tree,1.83,process_tree,597.38
30000,23.945,1.286,0.768,39.3125,process_tree,1.83,process_tree,597.39
40000,30.489,1.405,0.775,22.39375,process_tree,1.83,process_tree,598.15
50000,36.889,1.706,0.896,25.90625,process_tree,1.83,process_tree,598.4
60000,43.274,1.854,1.05,28.656249999999996,process_tree,1.83,process_tree,598.09
70000,49.685,2.259,1.3,34.04375,process_tree,1.83,process_tree,599.04
80000,55.961,2.426,1.4,26.64375,process_tree,1.84,process_tree,599.29
90000,62.293,2.853,1.829,24.85625,process_tree,1.83,process_tree,598.74
100000,69.887,3.192,2.131,22.712500000000002,process_tree,1.83,process_tree,598.32
110000,76.049,3.385,2.285,41.75,process_tree,1.83,process_tree,599.14
120000,82.409,3.595,2.637,29.375,process_tree,1.84,process_tree,599.62
130000,88.682,3.924,3.037,48.375,process_tree,1.84,process_tree,599.37
140000,94.911,4.021,3.235,31.2,process_tree,1.84,process_tree,599.88
150000,100.949,4.455,3.751,26.86875,process_tree,1.84,process_tree,599.76
160000,107.193,4.646,3.847,38.30625,process_tree,1.84,process_tree,599.48
170000,113.336,4.738,4.761,33.08125,process_tree,1.84,process_tree,599.75
180000,119.385,6.099,5.096,26.65,process_tree,1.84,process_tree,600.04
190000,125.602,6.795,7.015,25.0875,process_tree,1.84,process_tree,599.61
200000,132.976,5.896,6.148,59.10625,process_tree,1.84,process_tree,599.5
210000,139.019,7.456,8.222,30.23125,process_tree,1.84,process_tree,600.11
220000,145.105,6.903,7.214,35.68125,process_tree,1.84,process_tree,600.2
230000,151.128,9.111,10.208,33.96875,process_tree,1.84,process_tree,599.63
240000,157.178,11.749,11.298,38.2,process_tree,1.84,process_tree,600.16
250000,163.209,15.224,16.291,34.9625,process_tree,1.84,process_tree,600.25
260000,169.305,17.849,20.9,33.7625,process_tree,1.84,process_tree,599.96
270000,175.277,15.904,15.299,56.4375,process_tree,1.84,process_tree,600.23
280000,181.372,21.761,25.666,25.0875,process_tree,1.84,process_tree,600.16
290000,187.262,29.727,29.727,24.85625,process_tree,1.84,process_tree,599.66
300000,193.219,22.441,30.466,24.85625,process_tree,1.84,process_tree,600.12
310000,200.614,32.659,35.922,29.54375,process_tree,1.84,process_tree,599.98
320000,206.528,35.863,35.76,44.78125,process_tree,1.84,process_tree,599.79
330000,212.542,39.968,35.891,61.40625,process_tree,1.84,process_tree,599.69
340000,218.476,46.767,36.019,46.35625,process_tree,1.84,process_tree,600.07
350000,224.44,58.832,44.784,27.756249999999998,process_tree,1.84,process_tree,600.04
360000,230.481,50.741,42.602,26.862499999999997,process_tree,1.84,process_tree,600.11
370000,236.465,47.219,40.717,32.01875,process_tree,1.84,process_tree,600.2
380000,242.345,29.971,28.726,25.95625,process_tree,1.84,process_tree,600.26
390000,248.338,31.671,28.038,21.81875,process_tree,1.84,process_tree,599.98
400000,254.319,29.854,28.517,25.0875,process_tree,1.84,process_tree,600.39
410000,261.53,47.478,42.46,26.86875,process_tree,1.84,process_tree,600.27
420000,267.511,47.773,41.931,53.2625,process_tree,1.84,process_tree,600.07
430000,273.64,50.9,36.438,44.568749999999994,process_tree,1.84,process_tree,599.76
440000,279.533,41.27,40.207,46.5625,process_tree,1.84,process_tree,600.38
450000,285.516,34.8,33.116,29.3375,process_tree,1.84,process_tree,600.44
460000,291.824,52.163,39.907,32.24375,process_tree,1.84,process_tree,600.12
470000,297.705,37.077,37.533,19.7125,process_tree,1.84,process_tree,600.98
480000,303.774,31.131,28.515,37.60625,process_tree,1.84,process_tree,600.83
490000,309.767,39.63,32.708,35.60625,process_tree,1.84,process_tree,600.41
500000,315.733,20.69,19.85,25.0875,process_tree,1.87,process_tree,609.92
510000,321.86,57.571,40.457,25.0875,process_tree,1.87,process_tree,610.54
520000,329.133,65.347,35.012,46.3875,process_tree,1.87,process_tree,611.08
530000,335.041,50.958,37.583,37.4,process_tree,1.87,process_tree,610.68
540000,340.996,24.536,21.899,42.1875,process_tree,1.87,process_tree,611.83
550000,346.907,53.088,32.656,37.631249999999994,process_tree,1.87,process_tree,611.45
560000,352.932,77.264,38.529,45.65625,process_tree,1.87,process_tree,611.34
570000,358.946,63.729,41.531,41.9625,process_tree,1.87,process_tree,612.13
580000,364.972,60.79,34.011,27.01875,process_tree,1.87,process_tree,611.96
590000,370.887,91.892,26.892,24.93125,process_tree,1.87,process_tree,611.46
600000,376.79,91.3,26.1,25.0875,process_tree,1.87,process_tree,612.07
610000,382.71,94.218,18.284,25.0875,process_tree,1.87,process_tree,611.72
620000,389.877,98.15,5.55,40.2125,process_tree,1.87,process_tree,611.66
630000,395.945,86.942,28.347,32.349999999999994,process_tree,1.87,process_tree,611.84
640000,401.85,69.057,35.407,25.75,process_tree,1.87,process_tree,611.91
650000,407.795,65.181,38.034,46.16875,process_tree,1.87,process_tree,612.19
660000,413.852,90.927,28.69,28.656249999999996,process_tree,1.87,process_tree,612.13
670000,419.687,86.033,31.756,25.974999999999998,process_tree,1.87,process_tree,612.21
680000,425.69,98.033,6.523,43.35625,process_tree,1.87,process_tree,611.89
690000,431.574,65.567,43.552,37.168749999999996,process_tree,1.87,process_tree,611.77
700000,437.417,76.177,37.563,26.706249999999997,process_tree,1.88,process_tree,612.31
710000,443.515,80.5,36.699,24.85625,process_tree,1.87,process_tree,611.98
720000,449.451,100.0,0.0,25.0875,process_tree,1.87,process_tree,611.91
730000,456.745,75.854,41.104,26.974999999999998,process_tree,1.87,process_tree,611.5
740000,462.685,81.238,36.127,35.825,process_tree,1.87,process_tree,612.15
750000,468.623,100.0,0.0,25.0875,process_tree,1.87,process_tree,612.04
760000,474.448,83.95,35.906,29.549999999999997,process_tree,1.87,process_tree,611.64
770000,480.371,89.377,26.503,28.662499999999998,process_tree,1.87,process_tree,612.2
780000,486.412,100.0,0.0,42.98125,process_tree,1.87,process_tree,612.12
790000,492.338,79.471,39.33,43.825,process_tree,1.87,process_tree,611.89
