step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,43.2,system,
10000,9.806,1.157,0.733,33.75,process_tree,1.84,process_tree,602.39
20000,15.668,1.327,0.857,28.6375,process_tree,1.85,process_tree,604.62
30000,21.448,1.58,1.01,51.04375,process_tree,1.85,process_tree,605.07
40000,26.782,2.052,1.406,40.162499999999994,process_tree,1.85,process_tree,605.59
50000,34.222,3.046,2.232,34.3625,process_tree,1.85,process_tree,605.62
60000,39.602,4.532,3.198,28.443749999999998,process_tree,1.86,process_tree,606.54
70000,44.814,8.931,9.404,36.6875,process_tree,1.86,process_tree,606.82
80000,49.912,16.044,13.245,28.337500000000002,process_tree,1.86,process_tree,606.56
90000,54.916,56.465,37.735,24.18125,process_tree,1.86,process_tree,607.22
100000,61.86,80.046,36.664,34.025,process_tree,1.86,process_tree,607.39
110000,66.968,100.0,0.0,35.60625,process_tree,1.86,process_tree,607.85
120000,71.872,100.0,0.0,27.91875,process_tree,1.87,process_tree,609.7
130000,77.105,100.0,0.0,34.71875,process_tree,1.87,process_tree,609.75
140000,83.902,89.488,27.813,53.525,process_tree,1.87,process_tree,609.38
150000,88.966,84.086,24.513,32.025,process_tree,1.86,process_tree,608.18
160000,94.195,100.0,0.0,43.15,process_tree,1.87,process_tree,609.2
170000,99.166,90.1,29.7,29.21875,process_tree,1.86,process_tree,608.44
180000,104.295,100.0,0.0,41.724999999999994,process_tree,1.86,process_tree,608.36
190000,111.048,100.0,0.0,45.29375,process_tree,1.86,process_tree,608.66
200000,116.197,100.0,0.0,27.768749999999997,process_tree,1.86,process_tree,608.67
210000,121.204,100.0,0.0,25.0875,process_tree,1.87,process_tree,609.34
220000,126.454,100.0,0.0,37.525,process_tree,1.86,process_tree,608.87
