step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.2,system,
10000,10.232,1.127,0.705,8.2,process_tree,1.84,process_tree,601.45
20000,15.955,1.236,0.726,15.131250000000001,process_tree,1.85,process_tree,603.21
30000,21.677,1.533,0.972,9.81875,process_tree,1.85,process_tree,603.38
40000,29.278,1.663,1.001,17.9,process_tree,1.85,process_tree,603.6
50000,34.877,2.299,1.424,35.74375,process_tree,1.85,process_tree,603.84
60000,40.398,3.005,2.054,36.7375,process_tree,1.85,process_tree,604.04
70000,45.983,3.926,3.157,48.525,process_tree,1.85,process_tree,603.73
80000,53.507,4.405,3.764,42.78125,process_tree,1.85,process_tree,604.68
90000,58.955,7.355,6.497,28.656249999999996,process_tree,1.85,process_tree,604.37
100000,64.265,13.272,11.059,25.974999999999998,process_tree,1.85,process_tree,604.14
110000,69.659,30.794,30.9,32.84375,process_tree,1.85,process_tree,604.49
120000,76.899,45.456,34.567,51.49375,process_tree,1.86,process_tree,606.25
130000,82.246,53.107,44.608,33.08125,process_tree,1.86,process_tree,606.66
140000,87.391,86.546,31.822,41.724999999999994,process_tree,1.85,process_tree,605.01
150000,92.646,91.64,16.739,25.0875,process_tree,1.86,process_tree,606.45
160000,99.994,100.0,0.0,49.275,process_tree,1.86,process_tree,606.67
170000,105.21,100.0,0.0,32.025,process_tree,1.85,process_tree,605.59
180000,110.452,100.0,0.0,47.26875,process_tree,1.86,process_tree,607.05
190000,115.689,100.0,0.0,42.075,process_tree,1.86,process_tree,607.33
200000,122.875,100.0,0.0,30.25625,process_tree,1.86,process_tree,607.33
