step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,43.5,system,
10000,13.317,1.387,0.928,29.64375,process_tree,1.81,process_tree,590.58
20000,22.195,2.611,1.791,30.431250000000002,process_tree,1.82,process_tree,592.89
30000,31.064,4.805,3.193,25.974999999999998,process_tree,1.82,process_tree,593.8
40000,39.565,8.429,6.082,39.40625,process_tree,1.82,process_tree,594.82
50000,48.414,6.593,6.628,26.6375,process_tree,1.82,process_tree,595.93
60000,57.062,13.782,13.746,26.862499999999997,process_tree,1.83,process_tree,596.61
70000,65.385,20.083,17.143,38.275,process_tree,1.82,process_tree,595.71
80000,73.971,28.716,26.062,45.08125,process_tree,1.83,process_tree,597.78
90000,81.417,29.439,29.14,24.85625,process_tree,1.83,process_tree,596.99
100000,90.081,29.152,32.3,25.0875,process_tree,1.83,process_tree,597.64
110000,98.991,23.713,29.892,25.0875,process_tree,1.83,process_tree,597.2
120000,107.662,29.662,28.607,31.06875,process_tree,1.83,process_tree,597.46
130000,116.123,21.469,20.556,25.98125,process_tree,1.83,process_tree,597.45
140000,124.82,11.588,6.803,25.0875,process_tree,1.83,process_tree,597.23
150000,133.521,12.713,7.332,25.0875,process_tree,1.83,process_tree,597.09
160000,142.111,13.076,15.589,25.974999999999998,process_tree,1.83,process_tree,597.04
170000,150.463,21.888,21.351,32.05,process_tree,1.83,process_tree,597.52
180000,159.23,10.288,20.25,23.975,process_tree,1.83,process_tree,597.43
190000,168.001,7.193,11.765,26.881249999999998,process_tree,1.83,process_tree,597.78
200000,176.854,6.518,10.846,27.75,process_tree,1.83,process_tree,597.0
210000,185.186,6.5,15.083,41.4375,process_tree,1.83,process_tree,597.25
220000,194.154,6.151,5.713,32.2375,process_tree,1.83,process_tree,597.44
230000,202.825,17.586,12.871,24.1875,process_tree,1.83,process_tree,597.39
240000,211.46,28.289,30.958,35.74375,process_tree,1.83,process_tree,597.45
250000,220.234,14.107,21.169,25.0875,process_tree,1.83,process_tree,598.33
260000,228.901,19.024,28.465,35.818749999999994,process_tree,1.83,process_tree,598.69
270000,237.735,14.7,14.874,31.349999999999998,process_tree,1.83,process_tree,598.36
280000,244.966,21.753,24.371,24.93125,process_tree,1.83,process_tree,599.07
290000,253.752,9.968,16.196,23.29375,process_tree,1.83,process_tree,597.64
300000,262.361,9.533,14.833,25.2,process_tree,1.83,process_tree,597.88
310000,270.975,34.35,36.598,25.0875,process_tree,1.83,process_tree,597.54
320000,279.251,30.551,37.632,25.0875,process_tree,1.83,process_tree,598.41
330000,288.097,5.892,18.059,25.0875,process_tree,1.84,process_tree,599.65
340000,297.046,3.119,15.347,24.85625,process_tree,1.84,process_tree,599.62
350000,306.394,0.839,5.937,24.1875,process_tree,1.84,process_tree,601.29
360000,315.92,0.524,0.836,23.08125,process_tree,1.83,process_tree,598.96
370000,325.43,0.455,1.616,25.0875,process_tree,1.84,process_tree,599.59
380000,336.356,0.34,0.219,25.96875,process_tree,1.84,process_tree,599.59
390000,345.968,0.317,0.199,46.35625,process_tree,1.83,process_tree,598.92
400000,355.641,0.332,0.219,36.5,process_tree,1.84,process_tree,599.84
410000,365.272,0.32,0.207,28.64375,process_tree,1.83,process_tree,598.08
420000,374.868,0.321,0.205,25.08125,process_tree,1.83,process_tree,598.1
430000,384.555,0.308,0.19,34.01875,process_tree,1.83,process_tree,599.18
440000,394.25,0.304,0.204,26.881249999999998,process_tree,1.84,process_tree,599.66
450000,403.956,0.321,0.204,25.75,process_tree,1.83,process_tree,598.62
460000,413.631,0.306,0.198,24.85625,process_tree,1.83,process_tree,598.36
470000,423.262,0.319,0.201,24.85625,process_tree,1.84,process_tree,599.66
480000,432.885,0.315,0.21,24.85625,process_tree,1.84,process_tree,599.8
490000,443.896,0.322,0.205,37.43125,process_tree,1.83,process_tree,598.37
500000,453.614,0.303,0.198,27.756249999999998,process_tree,1.86,process_tree,607.66
510000,463.269,0.305,0.2,33.83125,process_tree,1.87,process_tree,609.5
520000,473.063,0.324,0.201,39.381249999999994,process_tree,1.87,process_tree,609.62
530000,482.717,0.31,0.207,52.631249999999994,process_tree,1.87,process_tree,610.98
540000,492.384,0.322,0.201,43.66875,process_tree,1.87,process_tree,609.85
550000,502.169,0.328,0.199,26.65,process_tree,1.87,process_tree,610.52
560000,511.871,0.321,0.197,25.98125,process_tree,1.87,process_tree,610.67
570000,521.45,0.314,0.205,25.0875,process_tree,1.88,process_tree,612.31
580000,531.113,0.327,0.208,25.0875,process_tree,1.88,process_tree,613.15
590000,542.217,0.331,0.202,26.724999999999998,process_tree,1.87,process_tree,610.57
