step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,40.7,system,
10000,11.361,1.369,0.781,35.74375,process_tree,1.8,process_tree,589.32
20000,18.164,3.123,2.423,26.65625,process_tree,1.81,process_tree,591.2
30000,24.87,7.198,8.149,25.0875,process_tree,1.81,process_tree,592.52
40000,31.274,32.097,33.694,24.85625,process_tree,1.81,process_tree,592.15
50000,37.863,24.449,23.492,25.0875,process_tree,1.82,process_tree,592.72
60000,44.349,88.043,29.289,23.29375,process_tree,1.82,process_tree,592.9
70000,50.896,87.44,25.815,25.0875,process_tree,1.82,process_tree,592.94
80000,57.391,61.95,42.114,24.93125,process_tree,1.82,process_tree,593.36
90000,63.888,61.221,34.789,25.0875,process_tree,1.82,process_tree,592.77
100000,70.979,69.592,40.019,29.66875,process_tree,1.82,process_tree,592.91
110000,77.369,71.406,36.933,42.775,process_tree,1.82,process_tree,592.73
120000,83.975,69.72,37.171,45.65625,process_tree,1.82,process_tree,592.76
130000,90.458,68.321,38.475,45.4625,process_tree,1.81,process_tree,592.62
140000,96.948,99.864,0.431,25.825,process_tree,1.81,process_tree,592.51
150000,103.41,96.892,7.363,24.85625,process_tree,1.81,process_tree,592.31
160000,109.968,100.0,0.0,25.974999999999998,process_tree,1.82,process_tree,592.7
170000,116.451,48.912,44.426,25.0875,process_tree,1.82,process_tree,593.26
180000,122.918,92.323,26.594,21.5,process_tree,1.82,process_tree,593.32
190000,129.39,75.108,43.114,25.0875,process_tree,1.82,process_tree,593.24
200000,135.911,100.0,0.0,24.85625,process_tree,1.82,process_tree,593.33
210000,142.374,64.486,40.43,24.93125,process_tree,1.82,process_tree,593.25
220000,149.012,100.0,0.0,25.0875,process_tree,1.82,process_tree,593.14
230000,156.449,100.0,0.0,38.3125,process_tree,1.82,process_tree,593.14
240000,163.158,83.517,36.859,38.19375,process_tree,1.81,process_tree,592.18
250000,170.139,10.106,27.487,26.11875,process_tree,1.82,process_tree,592.69
260000,176.964,30.65,26.805,23.29375,process_tree,1.81,process_tree,592.07
270000,183.515,90.09,29.73,25.9625,process_tree,1.82,process_tree,593.05
280000,190.12,77.8,38.452,24.8625,process_tree,1.82,process_tree,592.7
290000,196.624,73.456,37.108,26.65,process_tree,1.81,process_tree,592.63
300000,203.214,89.314,26.42,24.85625,process_tree,1.82,process_tree,593.2
310000,209.666,82.011,22.043,25.0875,process_tree,1.81,process_tree,591.94
320000,216.215,91.3,27.512,25.0875,process_tree,1.82,process_tree,592.97
330000,222.724,99.025,3.234,25.0875,process_tree,1.82,process_tree,592.94
340000,229.285,100.0,0.0,24.85625,process_tree,1.82,process_tree,592.93
350000,235.782,100.0,0.0,24.85625,process_tree,1.82,process_tree,593.62
360000,242.297,100.0,0.0,25.0875,process_tree,1.82,process_tree,593.31
370000,248.828,100.0,0.0,24.85625,process_tree,1.82,process_tree,593.5
