step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.2,system,
10000,9.25,1.113,0.635,6.26875,process_tree,1.81,process_tree,590.98
20000,14.936,1.12,0.715,18.66875,process_tree,1.82,process_tree,593.06
30000,20.635,1.197,0.683,24.93125,process_tree,1.82,process_tree,593.11
40000,26.176,1.278,0.75,16.98125,process_tree,1.82,process_tree,593.2
50000,31.773,1.33,0.75,19.85625,process_tree,1.82,process_tree,593.42
60000,37.361,1.419,0.785,13.425,process_tree,1.82,process_tree,593.81
70000,42.889,1.514,0.868,23.1625,process_tree,1.82,process_tree,593.65
80000,48.511,1.652,0.883,19.64375,process_tree,1.82,process_tree,593.8
90000,53.33,1.815,1.076,6.26875,process_tree,1.82,process_tree,594.33
100000,58.906,1.971,1.099,6.23125,process_tree,1.82,process_tree,593.92
110000,64.245,2.262,1.287,10.7125,process_tree,1.82,process_tree,594.18
120000,69.691,2.352,1.375,23.112499999999997,process_tree,1.82,process_tree,594.18
130000,75.001,2.596,1.544,23.143749999999997,process_tree,1.82,process_tree,594.2
140000,80.386,2.692,1.777,9.83125,process_tree,1.82,process_tree,594.39
150000,85.74,2.943,1.928,32.03125,process_tree,1.82,process_tree,594.8
160000,91.086,3.213,2.206,16.0375,process_tree,1.82,process_tree,594.29
170000,95.911,3.494,2.524,8.95625,process_tree,1.82,process_tree,594.96
180000,101.006,4.128,3.181,20.60625,process_tree,1.82,process_tree,595.43
190000,106.346,4.03,2.949,14.275,process_tree,1.82,process_tree,595.17
200000,111.636,4.404,3.532,43.74375,process_tree,1.82,process_tree,595.09
210000,117.076,4.392,3.748,32.2375,process_tree,1.82,process_tree,595.29
220000,122.415,5.78,4.911,29.525,process_tree,1.82,process_tree,595.32
230000,127.636,5.787,4.988,28.575,process_tree,1.82,process_tree,595.05
240000,132.417,5.579,5.146,25.0875,process_tree,1.82,process_tree,595.49
250000,137.562,6.189,6.103,22.2125,process_tree,1.82,process_tree,595.44
260000,143.022,6.852,6.903,25.98125,process_tree,1.82,process_tree,595.81
270000,148.15,7.859,8.148,28.4375,process_tree,1.82,process_tree,595.71
280000,153.522,8.021,7.353,37.36875,process_tree,1.82,process_tree,595.68
290000,158.603,11.793,12.27,26.6625,process_tree,1.83,process_tree,596.3
300000,163.969,9.473,11.279,45.6,process_tree,1.83,process_tree,596.25
310000,168.593,11.676,13.395,23.96875,process_tree,1.83,process_tree,596.78
320000,174.02,13.048,12.531,37.537499999999994,process_tree,1.83,process_tree,597.36
330000,179.162,17.147,22.228,44.78125,process_tree,1.83,process_tree,597.07
340000,184.092,21.48,23.751,26.8,process_tree,1.83,process_tree,597.62
350000,189.582,26.409,32.823,27.75,process_tree,1.83,process_tree,597.82
360000,193.838,29.35,34.44,25.0875,process_tree,1.83,process_tree,597.48
370000,199.152,31.065,31.676,29.3375,process_tree,1.83,process_tree,597.81
380000,204.29,44.796,37.615,33.125,process_tree,1.83,process_tree,597.77
390000,209.371,41.167,44.141,35.8375,process_tree,1.83,process_tree,597.52
400000,214.492,52.906,44.538,44.775,process_tree,1.83,process_tree,598.19
410000,219.241,64.495,42.865,24.85625,process_tree,1.83,process_tree,597.75
420000,224.454,33.9,40.639,25.0875,process_tree,1.83,process_tree,597.7
430000,229.425,62.125,39.182,42.63125,process_tree,1.83,process_tree,597.88
440000,234.528,78.3,31.375,34.825,process_tree,1.83,process_tree,597.4
450000,239.675,84.9,29.47,30.41875,process_tree,1.83,process_tree,597.87
460000,244.996,100.0,0.0,53.756249999999994,process_tree,1.83,process_tree,597.62
470000,249.096,100.0,0.0,19.7125,process_tree,1.83,process_tree,597.68
480000,254.357,88.846,27.878,26.65,process_tree,1.83,process_tree,597.97
490000,259.348,57.813,43.252,41.8875,process_tree,1.83,process_tree,598.4
500000,264.49,71.123,34.519,33.887499999999996,process_tree,1.86,process_tree,606.27
510000,269.867,94.462,19.186,39.3875,process_tree,1.87,process_tree,609.15
520000,274.964,90.982,28.518,43.287499999999994,process_tree,1.87,process_tree,609.71
530000,279.314,100.0,0.0,24.85625,process_tree,1.87,process_tree,609.74
540000,284.51,89.9,21.202,27.775,process_tree,1.87,process_tree,609.95
550000,289.803,99.325,1.786,43.50625,process_tree,1.87,process_tree,609.73
560000,294.779,87.207,31.565,40.98125,process_tree,1.87,process_tree,610.02
570000,299.933,91.592,26.849,24.88125,process_tree,1.87,process_tree,610.0
580000,304.326,90.48,28.56,25.0875,process_tree,1.87,process_tree,610.12
590000,309.587,83.657,31.923,23.29375,process_tree,1.87,process_tree,610.46
600000,314.539,97.733,6.411,35.08125,process_tree,1.87,process_tree,610.26
610000,319.991,73.608,34.954,21.48125,process_tree,1.87,process_tree,610.38
620000,324.868,100.0,0.0,48.35,process_tree,1.87,process_tree,610.47
630000,329.872,100.0,0.0,27.01875,process_tree,1.87,process_tree,610.18
640000,334.503,100.0,0.0,25.0875,process_tree,1.87,process_tree,610.41
650000,339.503,100.0,0.0,25.0875,process_tree,1.87,process_tree,610.39
660000,344.494,100.0,0.0,34.787499999999994,process_tree,1.87,process_tree,610.13
