step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,42.4,system,
10000,15.757,1.632,1.126,22.4,process_tree,1.81,process_tree,592.21
20000,26.591,4.414,4.784,25.0875,process_tree,1.83,process_tree,598.2
30000,38.761,14.687,18.575,24.85625,process_tree,1.84,process_tree,599.95
40000,49.737,71.806,36.268,25.0875,process_tree,1.84,process_tree,600.12
50000,61.082,67.331,37.532,24.85625,process_tree,1.84,process_tree,599.43
60000,72.226,100.0,0.0,25.0875,process_tree,1.84,process_tree,599.9
70000,83.239,90.96,27.12,25.0875,process_tree,1.83,process_tree,599.09
80000,94.335,94.2,11.927,25.0875,process_tree,1.84,process_tree,599.46
90000,105.52,100.0,0.0,25.0875,process_tree,1.83,process_tree,599.0
100000,116.546,100.0,0.0,25.0875,process_tree,1.83,process_tree,599.0
110000,127.568,83.7,29.499,25.0875,process_tree,1.83,process_tree,599.1
120000,139.239,43.088,37.101,26.881249999999998,process_tree,1.83,process_tree,598.98
130000,150.232,77.177,41.67,25.0875,process_tree,1.84,process_tree,599.93
140000,161.485,100.0,0.0,25.0875,process_tree,1.84,process_tree,600.01
150000,172.712,61.816,47.208,22.4,process_tree,1.84,process_tree,599.88
160000,184.07,7.239,24.455,25.75,process_tree,1.84,process_tree,599.87
170000,195.392,3.573,16.693,25.0875,process_tree,1.84,process_tree,599.89
180000,206.323,13.603,32.28,24.85625,process_tree,1.84,process_tree,599.24
190000,218.166,34.856,46.447,24.93125,process_tree,1.84,process_tree,600.17
200000,229.399,18.961,38.51,23.96875,process_tree,1.84,process_tree,599.45
210000,240.789,26.616,43.856,25.0875,process_tree,1.84,process_tree,599.91
220000,251.622,17.541,36.841,31.26875,process_tree,1.84,process_tree,599.36
230000,263.177,63.01,45.996,25.0875,process_tree,1.84,process_tree,599.77
240000,273.911,62.853,46.555,25.0875,process_tree,1.84,process_tree,599.31
250000,284.913,43.495,48.941,24.85625,process_tree,1.84,process_tree,599.57
260000,296.22,9.582,27.911,26.0875,process_tree,1.84,process_tree,599.48
270000,307.982,25.11,42.542,25.0875,process_tree,1.84,process_tree,600.69
280000,318.644,23.54,41.626,25.0875,process_tree,1.84,process_tree,601.15
290000,329.883,5.045,20.324,25.0875,process_tree,1.84,process_tree,599.75
300000,341.386,19.295,38.593,25.0875,process_tree,1.84,process_tree,601.07
310000,352.205,36.346,46.743,24.93125,process_tree,1.84,process_tree,600.71
320000,363.266,71.8,44.592,25.0875,process_tree,1.84,process_tree,599.68
330000,374.8,44.264,49.405,25.0875,process_tree,1.84,process_tree,599.94
340000,386.257,56.456,49.374,24.85625,process_tree,1.84,process_tree,600.84
350000,397.307,71.677,43.068,22.4,process_tree,1.84,process_tree,600.4
360000,408.39,71.514,45.04,25.0875,process_tree,1.84,process_tree,600.2
370000,419.184,23.548,40.646,25.0875,process_tree,1.84,process_tree,599.97
380000,430.653,43.236,49.16,23.9875,process_tree,1.84,process_tree,599.46
390000,441.431,32.157,45.146,23.29375,process_tree,1.84,process_tree,599.77
400000,452.583,83.45,37.007,24.93125,process_tree,1.84,process_tree,599.77
410000,463.707,84.631,36.044,24.85625,process_tree,1.84,process_tree,599.92
420000,474.789,83.367,37.193,24.93125,process_tree,1.84,process_tree,600.78
430000,485.782,90.03,29.91,24.85625,process_tree,1.84,process_tree,599.92
440000,497.154,78.914,40.377,24.85625,process_tree,1.84,process_tree,599.71
450000,508.298,76.84,39.336,25.0875,process_tree,1.84,process_tree,600.82
460000,519.303,91.717,27.473,25.0875,process_tree,1.84,process_tree,599.94
470000,530.254,94.218,18.284,24.85625,process_tree,1.84,process_tree,600.18
480000,541.619,92.362,26.46,24.85625,process_tree,1.84,process_tree,599.74
490000,553.083,32.721,46.306,24.85625,process_tree,1.84,process_tree,600.73
500000,564.186,61.157,45.646,24.1875,process_tree,1.87,process_tree,610.14
510000,575.532,89.122,30.767,24.85625,process_tree,1.87,process_tree,610.34
520000,586.754,85.814,34.748,23.96875,process_tree,1.87,process_tree,610.52
530000,597.918,73.86,43.356,25.0875,process_tree,1.87,process_tree,610.48
540000,609.213,100.0,0.0,25.0875,process_tree,1.87,process_tree,611.27
550000,620.455,88.933,31.301,24.93125,process_tree,1.87,process_tree,610.56
560000,631.625,91.045,28.317,24.85625,process_tree,1.87,process_tree,611.2
570000,643.047,100.0,0.0,25.0875,process_tree,1.87,process_tree,610.55
580000,654.13,92.315,26.62,25.0875,process_tree,1.87,process_tree,610.46
590000,665.17,91.725,27.445,25.0875,process_tree,1.87,process_tree,610.78
600000,676.658,75.342,42.713,24.85625,process_tree,1.87,process_tree,610.99
610000,687.876,100.0,0.0,24.85625,process_tree,1.87,process_tree,611.12
620000,698.952,100.0,0.0,24.85625,process_tree,1.87,process_tree,611.48
630000,710.305,95.53,13.41,25.0875,process_tree,1.87,process_tree,610.92
640000,721.284,100.0,0.0,24.85625,process_tree,1.87,process_tree,611.17
650000,732.514,100.0,0.0,25.0875,process_tree,1.87,process_tree,611.19
660000,743.72,89.63,29.64,25.0875,process_tree,1.87,process_tree,611.19
670000,755.239,28.092,44.596,24.85625,process_tree,1.87,process_tree,611.46
680000,766.569,5.944,22.114,25.0875,process_tree,1.87,process_tree,611.6
690000,778.408,1.82,10.692,27.75,process_tree,1.87,process_tree,610.14
700000,790.521,0.33,0.251,25.0875,process_tree,1.87,process_tree,611.41
710000,802.749,0.382,0.302,24.85625,process_tree,1.87,process_tree,611.04
720000,815.731,0.779,1.959,25.0875,process_tree,1.87,process_tree,611.09
730000,827.887,0.372,1.115,25.0875,process_tree,1.87,process_tree,611.0
740000,840.153,0.338,0.224,24.85625,process_tree,1.87,process_tree,611.51
750000,853.178,0.354,0.254,27.75,process_tree,1.87,process_tree,610.47
760000,865.315,0.405,0.301,24.85625,process_tree,1.87,process_tree,611.74
770000,877.567,0.391,0.333,25.0875,process_tree,1.87,process_tree,611.02
780000,890.347,0.411,0.528,25.0875,process_tree,1.87,process_tree,610.42
790000,902.452,0.447,0.575,24.85625,process_tree,1.87,process_tree,611.31
800000,914.42,0.623,1.183,25.0875,process_tree,1.87,process_tree,610.98
810000,927.199,0.616,0.972,25.74375,process_tree,1.87,process_tree,610.23
820000,939.14,0.85,1.619,24.1875,process_tree,1.87,process_tree,610.89
830000,950.667,1.614,3.599,25.0875,process_tree,1.87,process_tree,611.03
840000,962.484,1.087,2.966,25.0875,process_tree,1.87,process_tree,610.97
850000,975.148,1.407,4.409,24.85625,process_tree,1.87,process_tree,612.03
860000,986.274,3.636,10.4,25.0875,process_tree,1.87,process_tree,611.59
870000,997.522,10.894,27.958,24.85625,process_tree,1.87,process_tree,610.91
880000,1009.362,22.469,36.888,22.85625,process_tree,1.87,process_tree,611.95
890000,1020.881,21.513,37.51,19.7375,process_tree,1.87,process_tree,611.68
900000,1031.843,41.122,48.82,25.974999999999998,process_tree,1.87,process_tree,611.8
910000,1042.739,29.926,40.784,23.96875,process_tree,1.87,process_tree,612.2
920000,1053.946,5.542,14.994,25.0875,process_tree,1.87,process_tree,611.46
930000,1065.575,47.967,49.615,24.85625,process_tree,1.87,process_tree,611.07
940000,1076.51,55.547,46.399,25.0875,process_tree,1.87,process_tree,612.07
950000,1087.516,41.236,48.897,24.93125,process_tree,1.87,process_tree,611.83
960000,1098.609,82.273,37.613,25.0875,process_tree,1.87,process_tree,612.09
970000,1110.014,48.533,49.166,25.0875,process_tree,1.87,process_tree,611.92
980000,1121.115,66.733,47.046,24.85625,process_tree,1.87,process_tree,611.82
990000,1132.658,53.665,49.169,25.0875,process_tree,1.87,process_tree,612.01
1000000,1143.362,48.583,46.734,24.85625,process_tree,1.88,process_tree,612.89
1010000,1154.943,62.65,48.219,24.85625,process_tree,1.88,process_tree,613.29
1020000,1166.051,58.935,49.082,26.862499999999997,process_tree,1.88,process_tree,612.48
1030000,1176.938,22.462,41.447,24.85625,process_tree,1.88,process_tree,613.04
1040000,1188.338,22.324,41.254,25.0875,process_tree,1.88,process_tree,613.32
1050000,1199.246,21.591,40.687,24.85625,process_tree,1.88,process_tree,613.07
1060000,1210.516,53.147,49.696,25.0875,process_tree,1.88,process_tree,612.54
1070000,1222.183,37.124,47.392,25.0875,process_tree,1.88,process_tree,612.38
1080000,1233.269,40.993,48.927,25.0875,process_tree,1.88,process_tree,613.34
1090000,1244.302,42.581,49.172,25.0875,process_tree,1.88,process_tree,613.27
1100000,1255.336,35.38,47.419,24.93125,process_tree,1.88,process_tree,612.89
1110000,1266.719,56.519,49.305,25.0875,process_tree,1.88,process_tree,612.57
1120000,1277.783,71.571,44.95,24.85625,process_tree,1.88,process_tree,613.02
1130000,1289.102,57.314,49.29,24.1875,process_tree,1.88,process_tree,613.33
1140000,1300.311,84.677,35.936,25.0875,process_tree,1.88,process_tree,613.03
1150000,1311.445,65.018,47.367,25.0875,process_tree,1.88,process_tree,613.23
1160000,1322.576,85.814,34.748,25.75,process_tree,1.88,process_tree,613.24
1170000,1333.933,90.03,29.91,20.60625,process_tree,1.88,process_tree,613.46
1180000,1345.211,58.147,49.077,24.85625,process_tree,1.88,process_tree,613.12
1190000,1356.561,23.537,41.882,25.0875,process_tree,1.88,process_tree,613.29
1200000,1367.4,56.506,49.318,25.0875,process_tree,1.88,process_tree,612.64
1210000,1378.717,84.7,35.882,25.0875,process_tree,1.88,process_tree,612.61
1220000,1389.523,67.1,37.054,24.93125,process_tree,1.87,process_tree,611.87
1230000,1400.733,88.757,27.539,25.0875,process_tree,1.88,process_tree,613.07
1240000,1412.866,57.471,49.108,26.881249999999998,process_tree,1.88,process_tree,613.13
1250000,1423.914,66.522,46.747,23.29375,process_tree,1.88,process_tree,613.32
1260000,1434.904,45.645,49.619,24.85625,process_tree,1.88,process_tree,613.21
