step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.1,system,
10000,8.243,1.16,0.678,40.09375,process_tree,1.85,process_tree,604.15
20000,12.464,1.232,0.698,46.73125,process_tree,1.92,process_tree,628.44
30000,16.327,1.2,0.77,34.262499999999996,process_tree,1.99,process_tree,649.96
40000,20.609,1.155,0.716,29.568749999999998,process_tree,2.06,process_tree,673.17
50000,24.632,1.243,0.741,31.34375,process_tree,2.13,process_tree,695.87
60000,28.552,1.217,0.721,27.756249999999998,process_tree,2.19,process_tree,716.14
70000,32.751,1.223,0.71,33.15,process_tree,2.26,process_tree,737.24
80000,36.684,1.203,0.673,45.5125,process_tree,2.34,process_tree,763.64
90000,40.966,1.194,0.673,27.75,process_tree,2.4,process_tree,785.24
100000,44.839,1.197,0.696,28.64375,process_tree,2.46,process_tree,802.65
110000,48.91,1.149,0.669,25.75,process_tree,2.53,process_tree,824.95
120000,53.125,1.208,0.73,46.43125,process_tree,2.6,process_tree,849.64
130000,57.118,1.213,0.771,41.881249999999994,process_tree,2.66,process_tree,868.36
140000,61.064,1.236,0.778,26.881249999999998,process_tree,2.72,process_tree,887.93
150000,65.314,1.215,0.673,47.075,process_tree,2.79,process_tree,909.78
160000,69.349,1.139,0.71,25.98125,process_tree,2.85,process_tree,931.27
170000,73.243,1.197,0.704,26.7875,process_tree,2.92,process_tree,953.77
180000,77.282,1.226,0.766,54.24375,process_tree,2.98,process_tree,974.59
190000,81.232,1.182,0.674,33.074999999999996,process_tree,3.05,process_tree,995.8
200000,85.652,1.147,0.645,28.662499999999998,process_tree,3.12,process_tree,1018.21
210000,89.579,1.169,0.681,23.425,process_tree,3.19,process_tree,1040.66
220000,201.716,1.182,0.673,52.95625,process_tree,2.32,process_tree,757.2
230000,205.642,1.431,0.869,26.09375,process_tree,2.25,process_tree,733.56
240000,209.544,1.381,0.825,45.4625,process_tree,2.24,process_tree,731.62
250000,213.406,1.47,0.916,29.51875,process_tree,2.24,process_tree,730.86
260000,217.555,1.497,0.904,49.24375,process_tree,2.27,process_tree,740.5
270000,221.493,1.488,0.931,42.775,process_tree,2.28,process_tree,745.64
280000,225.457,1.465,0.843,40.30625,process_tree,2.32,process_tree,758.8
290000,229.474,1.416,0.903,31.299999999999997,process_tree,2.34,process_tree,764.36
300000,233.371,1.444,0.975,37.525,process_tree,2.41,process_tree,786.26
310000,237.338,1.442,0.851,39.5625,process_tree,2.47,process_tree,807.41
320000,241.33,1.422,0.91,29.3875,process_tree,2.55,process_tree,832.39
330000,245.384,1.459,0.834,25.98125,process_tree,2.62,process_tree,854.21
340000,249.204,1.411,0.815,25.75,process_tree,2.6,process_tree,850.0
350000,253.431,1.473,0.868,29.525,process_tree,2.67,process_tree,872.33
360000,257.248,1.43,0.909,51.75,process_tree,2.74,process_tree,894.94
370000,261.153,1.403,0.831,29.5375,process_tree,2.8,process_tree,915.31
380000,265.413,1.404,0.842,40.79375,process_tree,2.87,process_tree,938.13
390000,269.247,1.4,0.809,25.825,process_tree,2.94,process_tree,959.74
400000,273.233,1.446,0.872,29.549999999999997,process_tree,3.01,process_tree,981.55
410000,277.051,1.454,0.882,30.30625,process_tree,3.07,process_tree,1002.05
420000,281.376,1.397,0.833,44.78125,process_tree,3.14,process_tree,1025.12
430000,285.143,1.494,0.882,35.756249999999994,process_tree,3.2,process_tree,1045.77
440000,397.325,1.617,1.108,27.54375,process_tree,2.34,process_tree,764.5
450000,401.051,2.519,1.821,30.456249999999997,process_tree,2.31,process_tree,753.72
460000,404.792,2.248,1.541,25.75,process_tree,2.31,process_tree,752.95
470000,408.5,2.29,1.529,41.881249999999994,process_tree,2.33,process_tree,761.18
480000,412.4,2.301,1.608,26.881249999999998,process_tree,2.35,process_tree,767.7
490000,416.161,2.463,1.78,39.19375,process_tree,2.38,process_tree,778.69
500000,420.098,2.408,1.638,37.55625,process_tree,2.41,process_tree,787.97
510000,423.82,2.386,1.57,32.85,process_tree,2.48,process_tree,808.26
520000,427.779,2.369,1.584,26.86875,process_tree,2.51,process_tree,820.17
530000,431.566,2.112,1.487,69.85625,process_tree,2.54,process_tree,829.02
540000,435.161,2.301,1.583,25.90625,process_tree,2.59,process_tree,845.81
550000,439.245,2.27,1.609,34.70625,process_tree,2.66,process_tree,867.45
560000,442.969,2.385,1.623,38.6125,process_tree,2.65,process_tree,865.24
570000,446.641,2.328,1.515,27.91875,process_tree,2.72,process_tree,887.02
