step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.1,system,
10000,13.094,1.22,0.698,23.275,process_tree,1.81,process_tree,589.64
20000,21.816,1.981,1.367,37.4,process_tree,1.81,process_tree,591.81
30000,30.243,4.578,4.443,18.8125,process_tree,1.81,process_tree,592.24
40000,38.329,22.079,15.236,25.75,process_tree,1.81,process_tree,592.66
50000,46.622,62.405,36.011,25.0875,process_tree,1.82,process_tree,593.05
60000,54.81,77.425,39.268,25.0875,process_tree,1.82,process_tree,593.46
70000,64.151,100.0,0.0,32.025,process_tree,1.82,process_tree,593.51
80000,72.323,100.0,0.0,28.5125,process_tree,1.82,process_tree,594.01
90000,80.686,67.5,38.234,31.293750000000003,process_tree,1.82,process_tree,593.87
100000,88.803,92.32,23.04,25.9625,process_tree,1.82,process_tree,593.98
110000,97.033,69.55,39.492,28.44375,process_tree,1.82,process_tree,594.12
120000,105.338,97.789,6.254,25.974999999999998,process_tree,1.82,process_tree,594.16
130000,113.486,100.0,0.0,21.30625,process_tree,1.82,process_tree,594.17
140000,121.635,100.0,0.0,25.0875,process_tree,1.82,process_tree,594.41
150000,129.789,100.0,0.0,25.0875,process_tree,1.82,process_tree,594.61
160000,137.924,100.0,0.0,25.0875,process_tree,1.82,process_tree,594.84
170000,147.396,100.0,0.0,33.925,process_tree,1.82,process_tree,594.99
180000,155.726,100.0,0.0,32.23125,process_tree,1.82,process_tree,594.91
190000,163.934,91.692,27.556,34.94375,process_tree,1.82,process_tree,595.08
200000,172.264,100.0,0.0,27.756249999999998,process_tree,1.82,process_tree,595.2
210000,180.56,91.1,28.144,26.85,process_tree,1.82,process_tree,595.09
220000,188.74,100.0,0.0,47.46875,process_tree,1.82,process_tree,594.89
230000,197.004,100.0,0.0,54.64375,process_tree,1.82,process_tree,595.08
240000,205.138,100.0,0.0,37.525,process_tree,1.82,process_tree,594.93
250000,213.349,100.0,0.0,39.412499999999994,process_tree,1.82,process_tree,594.94
260000,221.739,92.346,26.514,26.862499999999997,process_tree,1.82,process_tree,595.15
270000,229.959,90.982,28.518,24.85625,process_tree,1.82,process_tree,595.06
280000,238.146,100.0,0.0,24.85625,process_tree,1.82,process_tree,595.0
290000,246.401,100.0,0.0,24.85625,process_tree,1.82,process_tree,595.17
300000,255.766,100.0,0.0,27.73125,process_tree,1.82,process_tree,594.98
310000,263.909,91.692,27.556,41.875,process_tree,1.82,process_tree,595.03
320000,272.275,100.0,0.0,31.14375,process_tree,1.82,process_tree,595.18
330000,280.559,100.0,0.0,26.125,process_tree,1.82,process_tree,595.05
340000,288.774,75.208,42.941,25.75,process_tree,1.82,process_tree,595.08
350000,296.812,100.0,0.0,44.6375,process_tree,1.82,process_tree,595.11
360000,305.115,78.743,40.704,24.85625,process_tree,1.82,process_tree,595.51
370000,313.231,69.081,45.86,22.19375,process_tree,1.82,process_tree,595.41
380000,321.574,100.0,0.0,21.30625,process_tree,1.82,process_tree,595.51
390000,329.631,100.0,0.0,25.0875,process_tree,1.82,process_tree,595.63
400000,337.571,100.0,0.0,24.85625,process_tree,1.82,process_tree,595.5
410000,347.037,100.0,0.0,26.862499999999997,process_tree,1.82,process_tree,595.51
420000,355.335,100.0,0.0,43.7375,process_tree,1.82,process_tree,595.34
