step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.4,system,
10000,11.412,0.94,0.62,8.875,process_tree,1.8,process_tree,586.8
20000,18.56,1.134,0.717,25.974999999999998,process_tree,1.8,process_tree,588.86
30000,25.568,1.255,0.744,26.881249999999998,process_tree,1.8,process_tree,588.39
40000,32.878,1.338,0.773,20.525,process_tree,1.81,process_tree,589.54
50000,39.909,1.552,0.865,25.0875,process_tree,1.8,process_tree,589.16
60000,46.778,1.685,0.872,26.862499999999997,process_tree,1.8,process_tree,589.11
70000,53.851,1.687,0.852,40.512499999999996,process_tree,1.8,process_tree,589.34
80000,61.026,1.784,0.946,11.65,process_tree,1.8,process_tree,589.02
90000,68.027,1.789,1.048,17.025,process_tree,1.8,process_tree,589.13
100000,74.873,2.149,1.257,25.0875,process_tree,1.8,process_tree,589.01
110000,81.773,2.132,1.181,42.9375,process_tree,1.8,process_tree,589.2
120000,88.691,2.289,1.226,26.125,process_tree,1.81,process_tree,589.41
130000,95.55,2.321,1.388,43.58125,process_tree,1.8,process_tree,589.07
140000,102.603,2.436,1.525,19.7125,process_tree,1.81,process_tree,589.45
150000,109.344,2.63,1.528,54.41875,process_tree,1.81,process_tree,589.53
160000,116.461,2.692,1.768,24.85625,process_tree,1.8,process_tree,589.12
170000,123.368,2.658,1.691,18.0625,process_tree,1.8,process_tree,589.2
180000,130.182,2.734,1.624,19.7125,process_tree,1.8,process_tree,589.32
190000,137.032,2.772,1.76,34.787499999999994,process_tree,1.81,process_tree,589.42
200000,143.898,3.051,2.135,32.025,process_tree,1.8,process_tree,589.4
210000,150.565,3.029,2.105,50.26875,process_tree,1.81,process_tree,589.55
220000,157.337,3.021,2.207,43.756249999999994,process_tree,1.81,process_tree,589.75
230000,164.326,3.131,2.296,41.9625,process_tree,1.81,process_tree,590.09
240000,171.231,3.292,2.552,33.14375,process_tree,1.8,process_tree,589.31
250000,177.961,3.3,2.355,25.75,process_tree,1.81,process_tree,589.56
260000,184.877,3.575,2.975,24.85625,process_tree,1.81,process_tree,589.63
270000,191.713,3.441,2.762,24.85625,process_tree,1.81,process_tree,589.65
280000,198.531,3.608,2.604,69.38125,process_tree,1.81,process_tree,589.78
290000,205.335,4.146,3.572,28.86875,process_tree,1.81,process_tree,590.22
300000,212.198,4.055,3.018,25.0875,process_tree,1.81,process_tree,589.69
310000,218.94,4.494,3.516,42.39375,process_tree,1.81,process_tree,590.2
320000,226.878,4.834,4.139,32.1875,process_tree,1.81,process_tree,590.39
330000,233.907,4.769,3.921,26.881249999999998,process_tree,1.81,process_tree,589.94
340000,240.798,4.903,4.06,45.29375,process_tree,1.81,process_tree,589.88
350000,247.716,5.306,4.215,24.118750000000002,process_tree,1.81,process_tree,589.89
360000,254.474,4.712,4.31,25.0875,process_tree,1.81,process_tree,590.14
370000,261.066,5.048,4.644,41.1125,process_tree,1.81,process_tree,590.14
380000,267.872,4.963,4.628,47.3,process_tree,1.81,process_tree,590.06
390000,274.629,5.774,5.15,24.85625,process_tree,1.81,process_tree,590.18
400000,281.133,5.714,5.657,24.85625,process_tree,1.81,process_tree,590.11
410000,287.844,6.397,6.256,35.60625,process_tree,1.81,process_tree,590.21
420000,294.803,5.337,5.436,24.1875,process_tree,1.81,process_tree,590.23
430000,301.352,5.248,5.132,37.6125,process_tree,1.81,process_tree,590.25
440000,308.231,5.781,5.19,25.98125,process_tree,1.81,process_tree,590.82
450000,314.762,5.914,6.194,24.85625,process_tree,1.81,process_tree,591.2
460000,321.68,5.728,5.565,40.318749999999994,process_tree,1.81,process_tree,590.97
470000,328.272,5.609,4.779,24.85625,process_tree,1.81,process_tree,590.38
480000,334.949,5.464,4.694,35.74375,process_tree,1.81,process_tree,590.41
490000,341.529,6.894,6.203,41.9375,process_tree,1.81,process_tree,590.77
500000,348.384,7.267,7.38,25.08125,process_tree,1.84,process_tree,600.19
510000,355.058,8.439,9.151,25.943749999999998,process_tree,1.84,process_tree,601.34
520000,361.643,9.191,11.151,25.974999999999998,process_tree,1.84,process_tree,601.32
530000,368.406,5.551,6.567,29.0125,process_tree,1.84,process_tree,601.55
540000,374.911,8.03,8.065,36.41875,process_tree,1.84,process_tree,601.57
550000,381.732,7.215,7.168,34.943749999999994,process_tree,1.84,process_tree,601.63
560000,388.345,6.474,6.522,25.98125,process_tree,1.84,process_tree,601.85
570000,395.134,8.036,9.136,45.4625,process_tree,1.84,process_tree,601.96
580000,401.519,8.282,9.204,36.50625,process_tree,1.84,process_tree,601.81
590000,408.304,9.491,10.128,42.1125,process_tree,1.84,process_tree,601.74
600000,414.985,11.141,10.467,25.0875,process_tree,1.84,process_tree,601.87
610000,421.469,9.945,14.523,24.1875,process_tree,1.84,process_tree,601.74
620000,427.988,12.152,14.914,27.756249999999998,process_tree,1.84,process_tree,601.74
630000,434.587,9.77,11.251,37.4,process_tree,1.85,process_tree,602.52
640000,441.458,11.449,14.756,38.29375,process_tree,1.84,process_tree,602.41
650000,447.866,12.103,10.979,34.943749999999994,process_tree,1.85,process_tree,602.59
660000,454.487,13.291,15.494,38.625,process_tree,1.84,process_tree,602.43
670000,461.345,15.175,18.7,24.85625,process_tree,1.84,process_tree,602.42
