step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.2,system,
10000,7.986,1.176,0.717,23.087500000000002,process_tree,1.85,process_tree,604.0
20000,12.136,1.2,0.816,31.9625,process_tree,1.92,process_tree,627.9
30000,16.048,1.179,0.734,49.0625,process_tree,1.99,process_tree,649.48
40000,20.229,1.201,0.709,27.612499999999997,process_tree,2.06,process_tree,673.3
50000,24.232,1.185,0.755,41.90625,process_tree,2.13,process_tree,695.5
60000,28.08,1.259,0.717,39.425,process_tree,2.2,process_tree,716.81
70000,32.127,1.201,0.723,37.6125,process_tree,2.26,process_tree,736.71
80000,36.015,1.2,0.76,26.65,process_tree,2.32,process_tree,758.67
90000,40.246,1.16,0.7,43.650000000000006,process_tree,2.39,process_tree,781.85
100000,44.08,1.13,0.691,42.59375,process_tree,2.46,process_tree,802.89
110000,48.077,1.193,0.753,36.11875,process_tree,2.53,process_tree,824.77
120000,52.23,1.15,0.74,33.08125,process_tree,2.6,process_tree,848.82
130000,56.06,1.201,0.751,31.131249999999998,process_tree,2.66,process_tree,868.83
140000,60.044,1.184,0.736,38.425,process_tree,2.72,process_tree,888.01
150000,64.17,1.13,0.634,33.074999999999996,process_tree,2.78,process_tree,909.33
160000,68.261,1.216,0.77,33.325,process_tree,2.85,process_tree,931.34
170000,72.081,1.169,0.744,54.4625,process_tree,2.92,process_tree,953.49
180000,76.094,1.123,0.678,34.181250000000006,process_tree,2.98,process_tree,974.39
190000,80.358,1.117,0.672,33.81875,process_tree,3.05,process_tree,996.29
200000,84.27,1.127,0.637,29.31875,process_tree,3.12,process_tree,1018.14
210000,88.286,1.201,0.713,38.5,process_tree,3.19,process_tree,1040.12
220000,92.062,1.196,0.646,24.88125,process_tree,3.25,process_tree,1061.75
230000,96.143,1.188,0.75,26.65,process_tree,3.32,process_tree,1083.01
240000,99.961,1.21,0.721,25.0875,process_tree,3.38,process_tree,1104.81
250000,104.36,1.183,0.803,27.54375,process_tree,3.45,process_tree,1126.88
260000,108.197,1.145,0.732,28.462500000000002,process_tree,3.52,process_tree,1147.92
270000,112.164,1.138,0.666,34.03125,process_tree,3.58,process_tree,1169.92
280000,116.128,1.198,0.699,28.64375,process_tree,3.65,process_tree,1191.75
290000,119.928,1.164,0.72,30.456249999999997,process_tree,3.71,process_tree,1212.97
300000,124.001,1.152,0.716,28.662499999999998,process_tree,3.78,process_tree,1235.65
310000,128.322,1.189,0.72,31.125,process_tree,3.85,process_tree,1256.83
320000,132.398,1.123,0.694,40.84375,process_tree,3.92,process_tree,1278.61
330000,136.247,1.204,0.716,32.2375,process_tree,3.98,process_tree,1299.46
340000,140.179,1.182,0.733,29.5,process_tree,4.05,process_tree,1321.89
350000,144.131,1.211,0.678,37.60625,process_tree,4.11,process_tree,1343.53
360000,147.954,1.167,0.675,36.7375,process_tree,4.18,process_tree,1365.5
370000,151.963,1.167,0.764,32.2125,process_tree,4.25,process_tree,1386.27
380000,156.434,1.113,0.634,31.131249999999998,process_tree,4.31,process_tree,1408.68
390000,160.44,1.205,0.795,37.4,process_tree,4.38,process_tree,1429.87
400000,164.253,1.183,0.711,26.862499999999997,process_tree,4.45,process_tree,1452.16
410000,168.136,1.189,0.733,39.08125,process_tree,4.51,process_tree,1473.73
420000,172.171,1.189,0.8,27.768749999999997,process_tree,4.58,process_tree,1494.84
430000,176.077,1.148,0.752,28.64375,process_tree,4.65,process_tree,1516.88
440000,377.455,1.39,0.896,29.568749999999998,process_tree,2.39,process_tree,781.45
450000,381.324,1.405,0.915,27.54375,process_tree,2.38,process_tree,778.07
460000,385.205,1.394,0.828,38.512499999999996,process_tree,2.38,process_tree,778.34
470000,389.093,1.36,0.867,25.0875,process_tree,2.39,process_tree,781.09
480000,393.056,1.333,0.799,32.01875,process_tree,2.41,process_tree,787.84
490000,396.993,1.427,0.974,32.2375,process_tree,2.45,process_tree,798.41
500000,400.884,1.309,0.75,39.96875,process_tree,2.49,process_tree,814.69
510000,404.934,1.41,0.794,27.6875,process_tree,2.54,process_tree,829.0
520000,408.675,1.409,0.852,31.30625,process_tree,2.59,process_tree,846.7
530000,412.915,1.476,0.99,38.60625,process_tree,2.65,process_tree,866.06
540000,416.689,1.43,0.91,42.543749999999996,process_tree,2.73,process_tree,892.5
550000,420.603,1.449,0.948,46.24375,process_tree,2.79,process_tree,912.59
560000,424.59,1.385,0.868,45.662499999999994,process_tree,2.69,process_tree,879.45
570000,428.399,1.44,0.914,27.537499999999998,process_tree,2.76,process_tree,900.72
580000,432.32,1.435,0.884,38.3,process_tree,2.83,process_tree,922.93
590000,436.335,1.432,0.855,29.549999999999997,process_tree,2.89,process_tree,943.73
600000,440.346,1.413,0.946,26.86875,process_tree,2.96,process_tree,966.75
610000,444.055,1.462,0.931,27.775,process_tree,3.02,process_tree,987.15
620000,448.05,1.438,0.921,26.881249999999998,process_tree,3.09,process_tree,1009.34
630000,451.792,1.441,0.9,39.325,process_tree,3.16,process_tree,1030.55
640000,455.982,1.442,0.974,38.29375,process_tree,3.22,process_tree,1052.71
650000,459.884,1.422,0.926,25.75,process_tree,3.29,process_tree,1074.22
660000,463.626,1.397,0.842,40.3125,process_tree,3.35,process_tree,1094.84
670000,467.624,1.419,0.846,28.6375,process_tree,3.42,process_tree,1117.77
680000,471.419,1.396,0.871,27.756249999999998,process_tree,3.49,process_tree,1138.29
690000,475.761,1.358,0.862,40.3,process_tree,3.55,process_tree,1159.72
700000,479.539,1.403,0.889,31.456249999999997,process_tree,3.62,process_tree,1181.34
710000,483.307,1.362,0.866,39.7125,process_tree,3.68,process_tree,1202.3
720000,487.272,1.378,0.837,42.5625,process_tree,3.75,process_tree,1223.52
730000,491.034,1.375,0.812,27.8625,process_tree,3.82,process_tree,1245.76
740000,494.985,1.418,0.891,37.474999999999994,process_tree,3.88,process_tree,1267.02
750000,499.243,1.389,0.855,57.31875,process_tree,3.95,process_tree,1288.83
760000,503.211,1.364,0.911,39.318749999999994,process_tree,4.01,process_tree,1310.67
770000,507.071,1.428,0.862,37.6125,process_tree,4.08,process_tree,1332.82
780000,510.816,1.413,0.851,31.16875,process_tree,4.15,process_tree,1354.0
790000,514.78,1.417,0.871,36.724999999999994,process_tree,4.21,process_tree,1375.73
800000,518.515,1.384,0.808,38.19375,process_tree,4.28,process_tree,1397.14
810000,522.47,1.375,0.847,42.8625,process_tree,4.35,process_tree,1418.97
820000,526.23,1.507,0.934,40.0875,process_tree,4.41,process_tree,1440.5
830000,530.67,1.392,0.844,26.99375,process_tree,4.48,process_tree,1462.06
840000,534.549,1.418,0.891,25.974999999999998,process_tree,4.54,process_tree,1483.52
850000,538.332,1.393,0.936,26.0875,process_tree,4.61,process_tree,1505.83
860000,542.279,1.396,0.899,27.537499999999998,process_tree,4.68,process_tree,1526.94
870000,743.357,1.96,1.522,36.506249999999994,process_tree,2.69,process_tree,877.45
880000,747.164,1.988,1.35,34.93125,process_tree,2.62,process_tree,855.06
890000,750.768,2.144,1.528,30.18125,process_tree,2.63,process_tree,858.54
900000,754.55,1.965,1.314,40.95625,process_tree,2.66,process_tree,867.24
910000,758.263,2.232,1.429,34.1,process_tree,2.69,process_tree,877.05
920000,761.956,2.115,1.438,41.2,process_tree,2.73,process_tree,890.27
930000,765.761,2.087,1.494,28.43125,process_tree,2.75,process_tree,897.91
940000,769.559,2.234,1.524,31.125,process_tree,2.78,process_tree,909.23
950000,773.384,2.055,1.383,39.10625,process_tree,2.81,process_tree,918.0
960000,777.262,2.104,1.451,45.28125,process_tree,2.84,process_tree,929.0
970000,780.878,2.227,1.654,51.04375,process_tree,2.9,process_tree,947.03
980000,784.684,2.198,1.476,28.45,process_tree,2.97,process_tree,971.14
990000,788.636,2.163,1.469,42.6125,process_tree,2.75,process_tree,898.14
1000000,792.442,2.118,1.554,43.68125,process_tree,2.77,process_tree,904.5
1010000,796.086,2.075,1.452,34.03125,process_tree,2.81,process_tree,918.8
1020000,799.842,2.12,1.652,28.75,process_tree,2.88,process_tree,939.67
1030000,803.931,2.153,1.436,27.775,process_tree,2.95,process_tree,961.86
1040000,807.619,2.016,1.354,41.05625,process_tree,3.01,process_tree,982.84
1050000,811.448,2.067,1.459,26.58125,process_tree,3.08,process_tree,1005.3
1060000,815.166,2.157,1.498,31.5,process_tree,3.14,process_tree,1026.07
1070000,819.174,2.171,1.519,40.043749999999996,process_tree,3.21,process_tree,1048.07
1080000,822.944,2.165,1.533,35.08125,process_tree,3.28,process_tree,1069.75
1090000,826.572,2.169,1.386,46.55625,process_tree,3.34,process_tree,1091.02
1100000,830.454,2.042,1.475,32.2375,process_tree,3.41,process_tree,1112.82
1110000,834.051,2.185,1.5,25.0875,process_tree,3.47,process_tree,1133.89
1120000,838.13,2.072,1.352,33.75,process_tree,3.54,process_tree,1155.83
1130000,841.88,2.1,1.374,25.0875,process_tree,3.61,process_tree,1177.48
1140000,845.549,2.012,1.433,45.53125,process_tree,3.67,process_tree,1199.55
1150000,849.402,2.111,1.346,35.818749999999994,process_tree,3.74,process_tree,1220.89
1160000,853.004,2.111,1.466,44.775,process_tree,3.8,process_tree,1242.46
1170000,856.689,2.129,1.494,22.5375,process_tree,3.87,process_tree,1263.55
1180000,860.902,2.065,1.441,35.818749999999994,process_tree,3.93,process_tree,1284.89
1190000,864.531,2.23,1.602,27.8625,process_tree,4.0,process_tree,1307.0
1200000,868.349,2.036,1.406,26.7125,process_tree,4.07,process_tree,1329.01
1210000,871.971,2.025,1.479,27.9125,process_tree,4.14,process_tree,1350.26
1220000,875.811,2.145,1.591,37.4,process_tree,4.2,process_tree,1371.33
1230000,879.491,2.077,1.379,54.41875,process_tree,4.27,process_tree,1393.42
1240000,883.095,2.107,1.515,39.3,process_tree,4.33,process_tree,1414.82
1250000,887.419,2.104,1.408,30.28125,process_tree,4.4,process_tree,1436.63
1260000,891.081,2.15,1.48,42.9875,process_tree,4.47,process_tree,1458.09
1270000,894.894,2.154,1.477,33.75625,process_tree,4.53,process_tree,1479.34
1280000,898.519,2.237,1.548,31.974999999999998,process_tree,4.6,process_tree,1501.32
1290000,902.143,2.053,1.444,46.087500000000006,process_tree,4.66,process_tree,1522.69
1300000,1103.109,3.0,2.8,30.23125,process_tree,2.74,process_tree,895.67
1310000,1106.556,4.188,3.357,36.5875,process_tree,2.68,process_tree,874.82
1320000,1110.154,4.151,3.47,39.39375,process_tree,2.7,process_tree,880.45
1330000,1113.587,4.439,3.794,27.75,process_tree,2.74,process_tree,893.76
1340000,1117.329,4.193,3.523,28.75625,process_tree,2.75,process_tree,899.46
1350000,1120.919,4.251,4.001,29.549999999999997,process_tree,2.8,process_tree,913.2
1360000,1124.334,4.613,3.472,34.037499999999994,process_tree,2.82,process_tree,919.91
1370000,1128.156,4.019,3.578,53.7375,process_tree,2.86,process_tree,933.1
1380000,1131.608,3.99,3.595,31.10625,process_tree,2.89,process_tree,943.72
1390000,1135.262,4.075,3.498,27.537499999999998,process_tree,2.93,process_tree,955.72
1400000,1138.806,4.865,4.132,29.50625,process_tree,2.99,process_tree,977.09
1410000,1142.502,4.261,3.281,36.724999999999994,process_tree,3.07,process_tree,1001.11
1420000,1146.178,4.351,3.723,32.84375,process_tree,3.07,process_tree,1003.38
1430000,1149.593,4.27,3.677,41.08125,process_tree,2.85,process_tree,930.57
1440000,1153.339,4.359,4.009,48.1875,process_tree,2.87,process_tree,937.11
1450000,1156.906,3.952,3.3,36.53125,process_tree,2.89,process_tree,943.18
1460000,1160.427,4.312,4.077,50.8375,process_tree,2.93,process_tree,958.23
1470000,1164.026,4.242,3.129,40.2875,process_tree,3.0,process_tree,978.93
1480000,1167.834,4.61,3.519,26.86875,process_tree,3.06,process_tree,1000.78
1490000,1171.208,4.78,4.007,47.4875,process_tree,3.13,process_tree,1022.56
1500000,1174.836,4.22,3.195,35.756249999999994,process_tree,3.2,process_tree,1044.2
1510000,1178.352,4.149,3.192,32.20625,process_tree,3.26,process_tree,1065.68
1520000,1182.171,4.068,3.232,26.875,process_tree,3.33,process_tree,1085.77
1530000,1185.69,4.928,3.676,50.25625,process_tree,3.39,process_tree,1108.25
1540000,1189.176,4.442,4.166,27.768749999999997,process_tree,3.46,process_tree,1130.07
1550000,1192.882,4.235,3.119,27.75,process_tree,3.52,process_tree,1150.58
1560000,1196.394,4.239,3.509,25.075,process_tree,3.59,process_tree,1173.0
1570000,1200.262,4.16,3.415,27.825,process_tree,3.66,process_tree,1194.53
1580000,1203.827,5.018,4.03,28.656249999999996,process_tree,3.72,process_tree,1215.39
1590000,1207.393,4.136,3.352,47.05625,process_tree,3.79,process_tree,1237.72
1600000,1210.96,4.669,3.822,38.14375,process_tree,3.86,process_tree,1259.28
1610000,1214.357,4.703,4.298,34.7125,process_tree,3.92,process_tree,1280.64
1620000,1217.779,4.105,3.47,38.18125,process_tree,3.99,process_tree,1302.1
1630000,1221.493,4.522,4.037,49.41875,process_tree,4.06,process_tree,1324.21
1640000,1225.434,4.476,3.769,40.03125,process_tree,4.12,process_tree,1345.56
1650000,1228.91,4.393,3.484,26.825,process_tree,4.18,process_tree,1366.42
1660000,1232.471,4.198,3.462,45.5,process_tree,4.25,process_tree,1387.14
1670000,1235.978,4.06,3.523,45.6,process_tree,4.32,process_tree,1409.79
1680000,1239.595,4.457,4.131,39.318749999999994,process_tree,4.38,process_tree,1430.79
1690000,1243.067,4.374,3.657,32.025,process_tree,4.45,process_tree,1452.17
1700000,1246.475,4.288,3.486,33.9375,process_tree,4.51,process_tree,1473.52
1710000,1250.759,3.885,3.252,33.15,process_tree,4.58,process_tree,1495.75
1720000,1254.188,3.715,3.264,37.7875,process_tree,4.65,process_tree,1516.93
1730000,1454.841,5.42,4.662,57.068749999999994,process_tree,2.85,process_tree,930.19
1740000,1458.122,10.239,10.47,22.89375,process_tree,2.75,process_tree,897.82
1750000,1461.663,16.189,16.703,33.68125,process_tree,2.75,process_tree,897.61
1760000,1464.995,14.541,15.288,40.0875,process_tree,2.78,process_tree,906.59
1770000,1468.268,15.181,14.405,55.9375,process_tree,2.82,process_tree,920.16
1780000,1471.668,12.385,12.337,25.968749999999996,process_tree,2.88,process_tree,941.51
1790000,1474.989,13.908,14.294,32.91875,process_tree,2.92,process_tree,953.28
1800000,1478.46,13.899,13.208,36.724999999999994,process_tree,2.97,process_tree,970.75
1810000,1481.904,14.283,11.577,47.4625,process_tree,3.01,process_tree,982.25
