step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.2,system,
10000,11.845,1.227,0.713,25.0875,process_tree,1.82,process_tree,593.88
20000,19.101,1.995,1.279,24.85625,process_tree,1.83,process_tree,597.32
30000,26.432,3.372,2.676,25.98125,process_tree,1.83,process_tree,596.81
40000,33.59,4.723,4.121,24.85625,process_tree,1.83,process_tree,596.46
50000,40.576,6.852,6.026,45.537499999999994,process_tree,1.84,process_tree,599.36
60000,47.399,7.788,7.931,40.0875,process_tree,1.83,process_tree,598.92
70000,54.56,7.73,8.3,36.631249999999994,process_tree,1.83,process_tree,598.69
80000,61.405,10.129,9.587,37.6125,process_tree,1.83,process_tree,598.57
90000,68.446,11.568,10.547,23.96875,process_tree,1.83,process_tree,598.39
100000,75.116,15.227,13.308,26.862499999999997,process_tree,1.83,process_tree,598.92
110000,82.149,20.13,16.714,24.85625,process_tree,1.83,process_tree,597.74
120000,88.93,27.098,26.552,25.075,process_tree,1.83,process_tree,598.16
130000,95.922,10.598,13.421,33.15,process_tree,1.84,process_tree,599.27
140000,102.853,11.479,8.676,44.3875,process_tree,1.83,process_tree,598.82
150000,109.586,12.169,15.632,33.131249999999994,process_tree,1.83,process_tree,598.98
160000,116.522,8.766,6.484,43.275,process_tree,1.83,process_tree,598.8
170000,123.646,15.829,12.911,34.85625,process_tree,1.83,process_tree,598.75
180000,130.509,16.398,12.597,27.75,process_tree,1.84,process_tree,599.52
190000,137.329,15.229,12.099,39.19375,process_tree,1.84,process_tree,599.44
200000,144.245,15.479,13.029,25.974999999999998,process_tree,1.83,process_tree,598.66
210000,150.873,28.369,27.976,34.03125,process_tree,1.84,process_tree,599.29
220000,157.686,34.932,31.407,25.98125,process_tree,1.84,process_tree,599.59
230000,164.504,23.98,25.596,30.412499999999998,process_tree,1.84,process_tree,599.22
240000,171.634,11.1,9.121,26.881249999999998,process_tree,1.84,process_tree,599.36
250000,178.439,23.598,22.053,29.29375,process_tree,1.83,process_tree,598.91
260000,185.28,20.827,19.42,29.412499999999998,process_tree,1.83,process_tree,599.15
270000,192.315,20.748,20.891,25.0875,process_tree,1.84,process_tree,599.61
280000,198.958,58.65,37.258,24.85625,process_tree,1.84,process_tree,599.29
