step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.6,system,
10000,9.814,1.216,0.748,6.3,process_tree,1.81,process_tree,591.38
20000,16.001,1.174,0.685,28.424999999999997,process_tree,1.82,process_tree,593.53
30000,22.31,1.329,0.784,21.64375,process_tree,1.82,process_tree,594.33
40000,28.679,1.382,0.877,6.2125,process_tree,1.82,process_tree,594.25
50000,33.995,1.598,1.047,6.23125,process_tree,1.82,process_tree,595.07
60000,40.221,2.037,1.295,20.54375,process_tree,1.82,process_tree,594.75
70000,46.424,2.471,1.607,8.200000000000001,process_tree,1.82,process_tree,594.74
80000,52.477,2.755,1.832,39.362500000000004,process_tree,1.82,process_tree,594.7
90000,57.76,2.896,2.217,22.4,process_tree,1.82,process_tree,595.12
100000,63.864,3.988,3.472,7.11875,process_tree,1.82,process_tree,595.09
110000,69.88,3.968,3.175,10.681249999999999,process_tree,1.82,process_tree,595.11
120000,75.985,5.015,4.952,23.275,process_tree,1.82,process_tree,595.2
130000,82.02,5.43,4.283,17.549999999999997,process_tree,1.82,process_tree,594.96
140000,87.005,7.467,5.838,6.23125,process_tree,1.82,process_tree,595.21
150000,93.035,7.173,5.98,12.4875,process_tree,1.82,process_tree,595.2
160000,98.891,8.282,8.056,20.59375,process_tree,1.82,process_tree,595.32
170000,104.851,10.453,8.331,8.9,process_tree,1.82,process_tree,595.58
180000,109.869,17.342,16.603,6.2125,process_tree,1.82,process_tree,595.43
190000,115.658,14.183,12.994,6.26875,process_tree,1.82,process_tree,595.07
200000,121.565,12.11,9.763,30.81875,process_tree,1.82,process_tree,595.11
210000,127.367,16.84,14.046,13.3375,process_tree,1.82,process_tree,595.57
220000,132.353,14.787,15.479,6.23125,process_tree,1.82,process_tree,595.37
230000,138.404,12.356,10.488,7.1625,process_tree,1.82,process_tree,595.29
240000,144.333,13.178,10.773,23.143749999999997,process_tree,1.82,process_tree,595.06
250000,150.177,12.178,12.561,7.10625,process_tree,1.82,process_tree,595.11
260000,156.043,28.047,21.974,32.13125,process_tree,1.82,process_tree,595.5
270000,160.98,29.522,27.295,6.26875,process_tree,1.82,process_tree,595.26
280000,166.895,15.966,16.652,14.15,process_tree,1.82,process_tree,595.28
290000,172.763,15.812,13.475,12.78125,process_tree,1.82,process_tree,595.3
300000,178.74,12.546,7.288,33.98125,process_tree,1.82,process_tree,595.06
310000,183.703,15.962,11.895,6.26875,process_tree,1.82,process_tree,595.38
320000,189.567,16.502,10.408,8.04375,process_tree,1.82,process_tree,595.28
330000,195.486,16.421,14.026,12.53125,process_tree,1.82,process_tree,595.48
340000,201.299,44.618,35.474,37.56875,process_tree,1.82,process_tree,595.08
350000,206.251,92.227,24.58,6.2125,process_tree,1.82,process_tree,595.26
360000,212.096,90.127,20.7,15.175,process_tree,1.82,process_tree,595.16
370000,217.94,48.429,33.313,7.1625,process_tree,1.82,process_tree,595.17
380000,223.789,25.927,15.305,29.674999999999997,process_tree,1.82,process_tree,595.29
390000,228.71,28.404,18.883,14.20625,process_tree,1.82,process_tree,595.41
400000,234.58,74.138,28.5,9.925,process_tree,1.82,process_tree,595.2
410000,240.338,71.671,33.049,26.06875,process_tree,1.82,process_tree,595.33
420000,246.231,65.364,27.387,19.53125,process_tree,1.82,process_tree,595.13
430000,251.119,87.254,22.479,17.91875,process_tree,1.82,process_tree,595.43
440000,256.781,57.275,26.1,9.3875,process_tree,1.82,process_tree,595.18
450000,262.679,74.658,17.036,21.4625,process_tree,1.82,process_tree,595.47
460000,268.543,81.975,24.223,12.525,process_tree,1.82,process_tree,595.1
470000,274.274,77.36,35.082,33.137499999999996,process_tree,1.82,process_tree,595.27
480000,279.345,97.544,6.945,6.2125,process_tree,1.82,process_tree,595.12
490000,285.021,100.0,0.0,9.825000000000001,process_tree,1.82,process_tree,595.08
500000,290.849,100.0,0.0,9.799999999999999,process_tree,1.85,process_tree,603.17
510000,296.78,100.0,0.0,29.424999999999997,process_tree,1.86,process_tree,605.76
520000,301.675,100.0,0.0,6.2125,process_tree,1.85,process_tree,605.57
530000,307.533,100.0,0.0,17.83125,process_tree,1.86,process_tree,606.17
