step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.8,system,
10000,12.231,1.455,0.96,22.712500000000002,process_tree,1.8,process_tree,587.35
20000,20.08,3.676,3.128,24.85625,process_tree,1.81,process_tree,589.58
30000,27.88,11.595,13.1,25.0875,process_tree,1.81,process_tree,589.7
40000,35.444,35.008,35.492,25.0875,process_tree,1.81,process_tree,589.85
50000,43.566,35.088,36.277,26.65,process_tree,1.81,process_tree,590.48
60000,51.294,33.975,32.719,21.49375,process_tree,1.81,process_tree,590.05
70000,58.879,55.262,35.458,23.29375,process_tree,1.81,process_tree,589.99
80000,66.521,34.983,33.214,25.0875,process_tree,1.81,process_tree,590.0
90000,74.197,31.145,28.13,24.85625,process_tree,1.81,process_tree,590.25
100000,82.221,37.0,38.65,31.35625,process_tree,1.81,process_tree,590.15
110000,89.772,68.82,35.534,26.65,process_tree,1.81,process_tree,590.06
120000,97.428,41.655,48.458,25.0875,process_tree,1.81,process_tree,590.15
130000,104.996,42.488,43.232,25.0875,process_tree,1.81,process_tree,590.53
140000,112.626,54.329,43.279,25.0875,process_tree,1.81,process_tree,590.2
150000,120.257,54.254,27.627,25.2,process_tree,1.81,process_tree,590.49
160000,127.811,69.311,34.504,25.0875,process_tree,1.81,process_tree,590.6
170000,135.843,73.513,43.923,25.0875,process_tree,1.81,process_tree,590.27
180000,143.393,92.15,13.597,22.19375,process_tree,1.81,process_tree,590.29
190000,150.92,100.0,0.0,25.0875,process_tree,1.81,process_tree,589.98
200000,158.519,83.65,36.561,24.85625,process_tree,1.81,process_tree,590.21
210000,166.056,95.108,16.947,25.0875,process_tree,1.81,process_tree,590.21
220000,174.112,93.309,11.343,25.068749999999998,process_tree,1.81,process_tree,590.17
230000,181.708,89.792,22.83,25.0875,process_tree,1.81,process_tree,590.14
240000,189.295,89.538,27.681,25.0875,process_tree,1.81,process_tree,590.07
250000,196.832,100.0,0.0,24.85625,process_tree,1.81,process_tree,590.01
260000,204.467,100.0,0.0,25.0875,process_tree,1.81,process_tree,589.88
270000,212.027,100.0,0.0,24.85625,process_tree,1.81,process_tree,590.12
280000,220.045,100.0,0.0,28.6375,process_tree,1.81,process_tree,589.89
290000,227.712,91.808,27.169,24.85625,process_tree,1.81,process_tree,590.08
300000,235.339,45.813,42.982,24.1875,process_tree,1.81,process_tree,590.16
310000,242.884,91.742,27.39,25.0875,process_tree,1.81,process_tree,590.34
320000,250.366,100.0,0.0,25.0875,process_tree,1.81,process_tree,590.37
330000,258.316,100.0,0.0,23.087500000000002,process_tree,1.81,process_tree,590.37
340000,265.906,100.0,0.0,24.85625,process_tree,1.81,process_tree,590.38
350000,273.49,100.0,0.0,25.0875,process_tree,1.81,process_tree,590.38
360000,281.421,100.0,0.0,32.2375,process_tree,1.81,process_tree,590.32
