step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,41.8,system,
10000,10.021,1.197,0.796,32.91875,process_tree,1.84,process_tree,601.8
20000,15.623,1.247,0.783,25.98125,process_tree,1.85,process_tree,604.25
30000,21.184,1.503,0.999,24.93125,process_tree,1.85,process_tree,604.08
40000,28.413,1.8,1.048,37.625,process_tree,1.85,process_tree,603.5
50000,33.84,2.096,1.377,40.20625,process_tree,1.85,process_tree,604.31
60000,39.381,2.729,2.017,26.881249999999998,process_tree,1.85,process_tree,604.61
70000,46.402,3.826,3.325,34.7125,process_tree,1.85,process_tree,604.94
80000,51.581,5.658,4.563,24.1875,process_tree,1.85,process_tree,605.14
90000,56.686,9.437,8.259,28.6375,process_tree,1.85,process_tree,605.55
100000,61.702,16.243,15.648,22.05,process_tree,1.85,process_tree,605.68
110000,68.413,50.188,32.499,53.293749999999996,process_tree,1.86,process_tree,605.74
120000,73.462,61.174,38.186,34.86875,process_tree,1.86,process_tree,606.48
130000,78.308,83.567,26.315,27.54375,process_tree,1.86,process_tree,606.0
140000,85.079,93.34,19.98,22.4,process_tree,1.86,process_tree,606.29
150000,90.021,100.0,0.0,37.40625,process_tree,1.86,process_tree,606.51
160000,94.939,92.423,26.247,25.7625,process_tree,1.86,process_tree,606.61
170000,101.709,100.0,0.0,40.1875,process_tree,1.87,process_tree,609.06
180000,106.564,100.0,0.0,29.325,process_tree,1.87,process_tree,610.18
190000,111.514,100.0,0.0,43.75,process_tree,1.87,process_tree,610.42
200000,116.564,100.0,0.0,25.974999999999998,process_tree,1.86,process_tree,607.0
210000,123.279,100.0,0.0,31.98125,process_tree,1.86,process_tree,607.19
