step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,42.4,system,
10000,8.398,1.185,0.703,28.206249999999997,process_tree,1.85,process_tree,604.27
20000,12.463,1.201,0.734,46.425,process_tree,1.92,process_tree,627.48
30000,16.55,1.205,0.735,39.06875,process_tree,1.99,process_tree,650.54
40000,20.713,1.153,0.71,31.14375,process_tree,2.06,process_tree,671.81
50000,24.946,1.131,0.655,32.349999999999994,process_tree,2.13,process_tree,694.58
60000,56.808,1.215,0.755,58.693749999999994,process_tree,2.06,process_tree,672.32
70000,60.954,1.296,0.853,26.86875,process_tree,2.05,process_tree,669.32
80000,65.099,1.307,0.834,36.70625,process_tree,2.07,process_tree,674.36
90000,69.087,1.314,0.791,37.63125,process_tree,2.09,process_tree,681.12
100000,73.208,1.246,0.72,30.2625,process_tree,2.11,process_tree,689.27
110000,77.261,1.286,0.824,34.7125,process_tree,2.17,process_tree,708.53
120000,109.079,1.465,0.94,54.3875,process_tree,2.08,process_tree,680.74
130000,112.979,1.723,1.181,30.443749999999998,process_tree,2.09,process_tree,682.8
140000,117.045,1.618,0.985,21.325,process_tree,2.11,process_tree,690.51
150000,120.909,1.733,1.133,25.9625,process_tree,2.14,process_tree,700.07
160000,124.913,1.645,1.084,24.8625,process_tree,2.16,process_tree,705.93
170000,128.787,1.734,1.186,41.724999999999994,process_tree,2.2,process_tree,717.31
180000,160.462,2.567,2.121,37.4,process_tree,2.09,process_tree,681.89
190000,164.294,3.018,2.342,28.43125,process_tree,2.1,process_tree,685.2
200000,167.989,3.027,2.46,43.9,process_tree,2.12,process_tree,692.3
210000,171.744,2.726,2.467,33.074999999999996,process_tree,2.15,process_tree,701.9
220000,175.529,3.16,2.274,51.05,process_tree,2.17,process_tree,709.44
230000,207.223,3.073,2.427,34.33125,process_tree,2.08,process_tree,679.45
240000,210.836,7.259,6.637,26.65625,process_tree,2.08,process_tree,680.59
250000,214.442,9.152,8.338,36.69375,process_tree,2.1,process_tree,687.11
260000,218.051,9.093,8.007,40.86875,process_tree,2.13,process_tree,697.07
270000,221.685,8.924,8.453,47.43125,process_tree,2.15,process_tree,701.89
280000,225.07,9.791,10.873,45.537499999999994,process_tree,2.17,process_tree,709.85
290000,256.671,11.238,13.369,50.618750000000006,process_tree,2.08,process_tree,679.99
300000,260.099,32.1,28.845,33.162499999999994,process_tree,2.09,process_tree,682.95
310000,263.449,39.007,29.44,66.83125,process_tree,2.12,process_tree,691.29
320000,267.063,26.656,24.122,52.95,process_tree,2.14,process_tree,698.04
330000,270.363,34.179,29.274,37.6125,process_tree,2.16,process_tree,705.7
340000,273.849,31.097,33.196,36.29375,process_tree,2.2,process_tree,717.98
350000,305.248,37.529,34.64,37.51875,process_tree,2.1,process_tree,684.3
360000,308.576,96.508,12.098,40.9375,process_tree,2.11,process_tree,689.48
370000,312.171,92.758,19.739,38.20625,process_tree,2.14,process_tree,697.81
380000,315.481,85.217,33.093,42.98125,process_tree,2.16,process_tree,706.77
390000,318.869,100.0,0.0,42.86875,process_tree,2.19,process_tree,715.3
400000,322.366,90.782,21.553,34.925,process_tree,2.21,process_tree,722.19
410000,353.547,93.691,19.951,29.293750000000003,process_tree,2.11,process_tree,688.03
420000,356.945,86.38,27.701,26.862499999999997,process_tree,2.12,process_tree,691.1
430000,360.458,100.0,0.0,33.025,process_tree,2.14,process_tree,699.31
440000,363.806,89.764,28.393,29.318749999999998,process_tree,2.18,process_tree,710.96
450000,367.27,94.66,16.02,35.412499999999994,process_tree,2.19,process_tree,716.39
460000,398.519,97.622,5.595,34.725,process_tree,2.11,process_tree,688.43
470000,401.764,100.0,0.0,46.38125,process_tree,2.12,process_tree,692.07
480000,405.304,100.0,0.0,31.956249999999997,process_tree,2.13,process_tree,695.55
490000,408.649,89.1,30.83,37.625,process_tree,2.14,process_tree,699.62
500000,412.054,98.273,5.462,34.65,process_tree,2.19,process_tree,714.23
510000,415.547,100.0,0.0,27.54375,process_tree,2.22,process_tree,725.95
520000,446.744,93.15,20.55,31.33125,process_tree,2.16,process_tree,704.95
530000,450.111,100.0,0.0,38.512499999999996,process_tree,2.17,process_tree,709.66
540000,453.617,100.0,0.0,35.8375,process_tree,2.19,process_tree,714.88
550000,457.02,100.0,0.0,27.912499999999998,process_tree,2.2,process_tree,717.34
560000,460.359,96.236,11.902,29.549999999999997,process_tree,2.21,process_tree,722.75
570000,463.84,100.0,0.0,30.66875,process_tree,2.25,process_tree,735.02
580000,495.062,100.0,0.0,53.756249999999994,process_tree,2.16,process_tree,704.71
590000,498.556,100.0,0.0,40.3125,process_tree,2.18,process_tree,710.7
600000,501.965,100.0,0.0,29.375,process_tree,2.2,process_tree,717.48
610000,505.325,89.133,30.736,30.6,process_tree,2.2,process_tree,718.75
620000,508.747,85.408,34.257,41.0625,process_tree,2.24,process_tree,732.78
630000,512.15,100.0,0.0,24.93125,process_tree,2.27,process_tree,740.97
640000,543.395,100.0,0.0,40.98125,process_tree,2.17,process_tree,710.01
650000,546.893,100.0,0.0,42.425,process_tree,2.2,process_tree,717.04
660000,550.298,98.764,3.91,23.975,process_tree,2.21,process_tree,720.25
670000,553.796,100.0,0.0,38.19375,process_tree,2.21,process_tree,722.6
