step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,42.2,system,
10000,11.617,1.262,0.727,6.26875,process_tree,1.8,process_tree,588.22
20000,19.746,1.597,0.913,50.150000000000006,process_tree,1.81,process_tree,590.13
30000,27.864,2.405,1.562,7.125,process_tree,1.81,process_tree,590.23
40000,34.866,4.231,3.215,25.0875,process_tree,1.81,process_tree,591.27
50000,42.825,10.569,9.114,24.8875,process_tree,1.81,process_tree,591.85
60000,49.898,37.406,27.963,24.85625,process_tree,1.81,process_tree,591.96
70000,57.448,84.911,21.301,32.925,process_tree,1.82,process_tree,593.62
80000,65.35,96.342,12.133,39.474999999999994,process_tree,1.82,process_tree,593.39
90000,72.188,91.0,28.461,23.89375,process_tree,1.82,process_tree,593.77
100000,79.921,100.0,0.0,27.8625,process_tree,1.82,process_tree,593.9
110000,86.912,100.0,0.0,25.0875,process_tree,1.82,process_tree,594.25
120000,94.791,100.0,0.0,37.59375,process_tree,1.82,process_tree,594.54
130000,101.454,100.0,0.0,24.85625,process_tree,1.82,process_tree,594.52
140000,109.122,100.0,0.0,42.09375,process_tree,1.82,process_tree,594.99
150000,116.906,100.0,0.0,33.81875,process_tree,1.82,process_tree,594.91
160000,123.752,100.0,0.0,25.98125,process_tree,1.82,process_tree,594.92
170000,131.592,100.0,0.0,50.1375,process_tree,1.82,process_tree,594.73
180000,138.641,88.978,31.176,24.85625,process_tree,1.82,process_tree,594.95
190000,146.164,91.109,28.116,26.84375,process_tree,1.82,process_tree,595.3
200000,153.767,84.792,35.666,26.65,process_tree,1.82,process_tree,595.04
210000,160.655,90.927,28.69,25.0875,process_tree,1.82,process_tree,595.09
220000,168.409,100.0,0.0,28.64375,process_tree,1.82,process_tree,595.4
230000,175.368,84.646,36.008,25.0875,process_tree,1.82,process_tree,595.47
240000,183.19,100.0,0.0,24.93125,process_tree,1.82,process_tree,595.77
250000,189.85,100.0,0.0,24.85625,process_tree,1.82,process_tree,595.72
260000,197.57,92.323,26.594,25.90625,process_tree,1.82,process_tree,595.88
270000,205.396,100.0,0.0,44.48125,process_tree,1.83,process_tree,595.99
280000,212.185,83.533,36.822,26.724999999999998,process_tree,1.82,process_tree,595.91
290000,220.231,84.815,35.614,42.63125,process_tree,1.82,process_tree,595.73
300000,226.98,100.0,0.0,24.85625,process_tree,1.82,process_tree,595.8
310000,234.714,100.0,0.0,41.1875,process_tree,1.83,process_tree,595.95
320000,242.622,100.0,0.0,43.887499999999996,process_tree,1.82,process_tree,595.56
330000,249.668,100.0,0.0,25.0875,process_tree,1.82,process_tree,595.63
340000,257.379,100.0,0.0,27.775,process_tree,1.82,process_tree,595.89
